date,ours,control,topix,nikkei
2023-04-25,0.9984272949515084,1.0020115794248972,1.0032536185741576,1.0009285593968584
2023-04-26,0.9874781346701277,0.9950182637478501,0.9934931055061721,0.9938080785077364
2023-04-27,0.9903625337873196,0.9932086423221478,0.9972113635649774,0.9952492786485572
2023-04-28,1.0007584111859884,1.005207097844546,1.0106902489099305,1.0091950877746143
2023-05-01,1.0062510632777804,1.0151496966361284,1.0202185564537547,1.0185237831834981
2023-05-02,1.0116586614019902,1.0148586644067485,1.0190566150876483,1.0197397765910954
2023-05-08,1.0185421852646093,1.0190420697607199,1.0171973718400833,1.0124630102892904
2023-05-09,1.0248401349648204,1.02509338525034,1.0297467497794164,1.022707969913965
2023-05-10,1.013929391038183,1.0094742769104428,1.0244016824335325,1.0184888102240166
2023-05-11,1.0148615233938734,1.0072145495740807,1.0225424391859674,1.0186476229794748
2023-05-12,1.0133111491428857,1.0108877129967422,1.0302116177003888,1.027795852452909
2023-05-15,1.0195569282024421,1.0039607947785092,1.0390426233627543,1.0361207829407366
2023-05-16,1.0346426026689548,1.0113761228141163,1.045549746292907,1.0436976882737168
2023-05-17,1.038083317671388,1.0128016492421397,1.0488032506489022,1.0524618982584695
2023-05-18,1.0483997786337242,1.012821836768892,1.0615850625487213,1.06926080415129
2023-05-19,1.0498724845718432,1.0135096124574547,1.062282135993855,1.0774591625806818
2023-05-22,1.0600417806528506,1.0132399058019637,1.068556939181684,1.0871981071978585
2023-05-23,1.0598528556178086,1.0053603961236475,1.0629793236571514,1.0826848194541459
2023-05-24,1.0562952803428811,0.999581991267806,1.0569371828661336,1.073064113494904
2023-05-25,1.060598243497817,1.0008467659441154,1.0539159982524622,1.077206701529425
2023-05-26,1.0583548491463004,0.9905098138420142,1.0539159982524622,1.081234876073455
2023-05-29,1.059137852228149,0.9943508956045473,1.0620498162515313,1.0923292960967859
2023-05-30,1.0622268111120485,0.9874866724396805,1.0604230069644525,1.0956384757746003
2023-05-31,1.042778534239918,0.9721955571590422,1.0460146142138793,1.0802406057644458
2023-06-01,1.0498089031021656,0.9750882817993243,1.0550779396185685,1.0893380834626951
2023-06-02,1.0637108557346981,0.9862284464225112,1.0725076312009754,1.1024952933363812
2023-06-05,1.0785801104277857,0.9914728968300156,1.0906345104466786,1.1267388630591426
2023-06-06,1.0808195705194386,0.9901906326258577,1.0983035747429377,1.1368582752238034
2023-06-07,1.0683641235446177,0.9940005346794818,1.0836626338137159,1.1161179441200417
2023-06-08,1.060992836003186,0.9942719605157087,1.0766907571807531,1.106588837259754
2023-06-09,1.0763619975030354,1.0046127136970746,1.0927261876547298,1.1284084803415766
2023-06-12,1.0941301150318132,1.0171681142703413,1.0996978358513678,1.1343129678231014
2023-06-13,1.1059497660306044,1.0127493023446552,1.1141064570382657,1.1547598539387136
2023-06-14,1.1076908774288103,1.010620178998353,1.1271208171167335,1.171678842766629
2023-06-15,1.113526740525017,1.0137290010907885,1.1273531368590575,1.1710866248785339
2023-06-16,1.1179755760170582,1.020025749905988,1.1306066412150528,1.178801304546034
2023-06-19,1.119742152855204,1.0303783403387075,1.1250291399086827,1.1670624121150703
2023-06-20,1.1267538717787253,1.0344440847168108,1.1220080695131738,1.1677090020261092
2023-06-21,1.138763686015884,1.0377311256095192,1.128979831927974,1.1742220326639243
2023-06-22,1.1235042441244902,1.0373888606702713,1.1292123801066227,1.1633712621454189
2023-06-23,1.1147911023550305,1.0324520080633377,1.1115501403455672,1.1464674373741537
2023-06-26,1.1090238359580702,1.0296976948345904,1.1094585773556784,1.1435741763492355
2023-06-27,1.1038498374516386,1.0269610535198466,1.1062050729996833,1.137961699418069
2023-06-28,1.1239190575469993,1.039580540395113,1.1287475121856505,1.1608920071896756
2023-06-29,1.133833472713157,1.0439949747642978,1.128514964007002,1.1622962534807317
2023-06-30,1.1316708974171228,1.0430438426303361,1.124564386205873,1.1607189183628668
2023-07-03,1.1400544131262456,1.0518345051763611,1.1410645703826598,1.180453776881535
2023-07-04,1.139708288345824,1.0506968636968472,1.133860259789211,1.1688844213361829
2023-07-05,1.13533047754584,1.048589941166388,1.1329306381654283,1.1659529769433934
2023-07-06,1.1102166273222662,1.0411982337108647,1.1199165065232852,1.146169484152946
2023-07-07,1.1078603442285886,1.0475352431892002,1.0852895573189574,1.1327188975976719
2023-07-10,1.1064079971526153,1.0490406754806714,1.0830580770801272,1.125770139404129
2023-07-11,1.1069608293850515,1.050567566276169,1.0788655852110327,1.1262541596988282
2023-07-12,1.0930483361423498,1.0460577702797595,1.0716451698566851,1.117173758640951
2023-07-13,1.1030915088330722,1.0449733607411797,1.0816606178631498,1.1337999172397701
2023-07-14,1.1028861717136798,1.0361039540822528,1.0800301535948742,1.1328182153380746
2023-07-18,1.1133644919980215,1.0442869419565075,1.086318891398516,1.1364075202245483
2023-07-19,1.1234525692515163,1.0503847312385237,1.09819758028823,1.15047156800854
2023-07-20,1.1165927970037623,1.047440896826401,1.0886480281661994,1.1362896230994213
2023-07-21,1.1111649392746425,1.0473623643326209,1.090511383267611,1.1297752263303762
2023-07-24,1.1206338370336089,1.0541756162518399,1.099129257838936,1.1436486305012568
2023-07-25,1.1308707419283335,1.0568654651114409,1.1012255037734833,1.1430040897870624
2023-07-26,1.1353862892949835,1.058755170899522,1.0998280445565058,1.142508525683472
2023-07-27,1.1441057603484865,1.062415677148026,1.107514241577125,1.1503012114441906
2023-07-28,1.1442527570678689,1.0573135125817497,1.1040205364256004,1.1456872398288456
2023-07-31,1.1632981969336775,1.0663861572963107,1.118461252916133,1.1601306622553378
2023-08-01,1.1882007846852054,1.0804110426971467,1.1259145591036164,1.1707750103450287
2023-08-02,1.1752005019591587,1.0784973694561302,1.1089117007941023,1.1438846979777568
2023-08-03,1.1542253998999839,1.0617795868255469,1.0930734108684297,1.1247051718039802
2023-08-04,1.1518877614049623,1.0665990401386898,1.0961013343536825,1.1258757413481881
2023-08-07,1.1636696160954823,1.0694915694177634,1.1016912854397545,1.128037439099577
