code,company_name,market,sector,bm_raw,ep_raw,market_equity_final,gross_profitability,sloan_accruals,distress_review_flag,distress_exclusion_flag,liquidity_flag,avg_daily_value_60d,microcap_flag,one_time_profit_suspected,human_review_required,anomaly_flags,extreme_high_bm_top1pct,extreme_high_ep_top1pct,extreme_high_bm_and_ep_top1pct,scale_check,market_equity_inconsistent,gross_profitability_extreme,sloan_accruals_extreme,liquidity_review_flag,conservative_exclusion_reason,sector_adjusted_exclusion_reason
9022,Central Japan Railway Company,Prime Market (Domestic),Land Transportation,1.440271462091525,0.1435745252390004,3234494414848.0,,-0.0155626835302325,False,False,pass,11293249795.0,False,False,False,,False,False,False,False,False,False,False,False,,
9501,"Tokyo Electric Power Company Holdings,Incorporated",Prime Market (Domestic),Electric Power and Gas,4.226769719047491,0.1806820610884888,895750242304.0,,-0.0093855600671043,False,False,pass,35605341998.17322,False,False,False,,False,False,False,False,False,False,False,False,,
3449,TECHNOFLEX CORPORATION,Standard Market(Domestic),Metal Products,0.2051511562030555,0.0249425482505608,125215073000.0,0.2281266765761364,-0.0559738581627888,False,False,pass,702634568.3333334,False,False,False,,False,False,False,False,False,False,False,False,,
6178,"JAPAN POST HOLDINGS Co.,Ltd.",Prime Market (Domestic),Services,2.6772767414158203,0.1049588846484818,5710855274496.0,,-0.0072026890199981,True,False,pass,10722098913.333334,False,False,True,,False,False,False,False,False,False,False,False,human_review_required,human_review_required
6777,santec Holdings Corporation,Standard Market(Domestic),Electric Appliances,0.0717914877265351,0.0169789284007887,298478436352.0,0.4748010261529192,-0.0337393987202654,False,False,pass,6644598083.333333,False,False,False,,False,False,False,False,False,False,False,False,,
6627,"Tera Probe,Inc.",Standard Market(Domestic),Electric Appliances,0.5967157611284497,0.0692301212535427,100430880000.0,0.1170989581924219,-0.1499138838245903,False,False,pass,1317274283.3333333,False,False,False,,False,False,False,False,False,False,False,False,,
6524,"KOHOKU KOGYO CO.,LTD.",Standard Market(Domestic),Electric Appliances,0.1490712140299637,0.0190273909977241,157246992000.0,0.2687594900949892,-0.0123151413083521,False,False,pass,1717554650.0,False,False,False,,False,False,False,False,False,False,False,False,,
6387,SAMCO INC.,Prime Market (Domestic),Machinery,0.1527584580361542,0.0191229016155036,88758915050.0,0.2626564737791084,0.028995065807867,False,False,pass,1829675283.3333333,False,False,False,,False,False,False,False,False,False,False,False,,
5076,INFRONEER Holdings Inc.,Prime Market (Domestic),Construction,0.5997394164036857,0.0162855136252086,611770695680.0,0.1553212945906334,,False,False,pass,4740891821.666667,False,False,False,,False,False,False,False,False,False,False,False,,
6800,"YOKOWO CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.4317243202794022,0.0185866322780292,120516722260.0,0.2058916070164398,-0.065480790642233,False,False,pass,835476995.0,False,False,False,,False,False,False,False,False,False,False,False,,
9513,"Electric Power Development Co.,Ltd.",Prime Market (Domestic),Electric Power and Gas,2.1029238785306843,0.1473266078664402,695936745472.0,,-0.0389371569487104,False,False,pass,5372123065.0,False,False,False,,False,False,False,False,False,False,False,False,,
8050,SEIKO GROUP CORPORATION,Prime Market (Domestic),Precision Instruments,0.5157494513490897,0.0440894071969794,306377446620.0,0.3712205743751963,-0.0512435982390294,False,False,pass,1845328000.0,False,False,False,,False,False,False,False,False,False,False,False,,
6617,"TAKAOKA TOKO CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.5010486279930164,0.0322692928826608,132633832900.0,0.2240611691831204,-0.0065920036130085,False,False,pass,971058550.0,False,False,False,,False,False,False,False,False,False,False,False,,
6356,"NIPPON GEAR CO.,LTD.",Standard Market(Domestic),Machinery,0.5913700192449329,0.0729892320740976,21241489408.0,0.2800242960595509,0.0174169526347404,False,False,pass,5332541846.666667,False,False,False,,False,False,False,False,False,False,False,False,,
1909,"Nippon Dry-Chemical CO.,LTD.",Standard Market(Domestic),Machinery,1.2144395139194808,0.1672963333050793,25129170000.0,0.2908272956083912,-0.0902868256360876,False,False,pass,1098486153.3333333,False,False,False,,False,False,False,False,False,False,False,False,,
4971,MEC COMPANY LTD.,Prime Market (Domestic),Chemicals,0.1492858484837371,0.0282524895413633,204118932300.0,0.3103557016798286,0.0435483866645432,False,False,pass,2863908933.3333335,False,False,False,,False,False,False,False,False,False,False,False,,
6278,UNION TOOL CO.,Prime Market (Domestic),Machinery,0.1804780932235105,0.0137933831091845,443256012800.0,0.1640053023350668,-0.0150096436691197,False,False,pass,5832879450.0,False,False,False,,False,False,False,False,False,False,False,False,,
9503,"The Kansai Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,1.2188312850108118,0.1769487958063141,2549534162944.0,,-0.0101556344725725,False,False,pass,10170685626.666666,False,False,False,,False,False,False,False,False,False,False,False,,
6941,"YAMAICHI ELECTRONICS CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.2132620550405995,0.0281703330106701,186045759488.0,0.3277803637892563,-0.0720908710237881,False,False,pass,3975964583.3333335,False,False,False,,False,False,False,False,False,False,False,False,,
6871,"MICRONICS JAPAN CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.1175132493174806,0.0214613081589773,562081300480.0,0.3413648940682245,-0.009384636010189,False,False,pass,12744986383.333334,False,False,False,,False,False,False,False,False,False,False,False,,
6264,"Marumae Co.,Ltd.",Prime Market (Domestic),Machinery,0.28777957195989,0.0478714897730319,28325565100.0,0.1395633778363484,-0.0923344529760236,False,False,pass,1848958473.3333333,False,False,False,,False,False,False,False,False,False,False,False,,
6920,Lasertec Corporation,Prime Market (Domestic),Electric Appliances,0.0610169935927361,0.0246079587499395,3440025272320.0,0.4498044605447192,0.0225599070710231,False,False,pass,170069025650.0,False,False,False,,False,False,False,False,False,False,False,False,,
5985,SUNCALL CORPORATION,Standard Market(Domestic),Metal Products,0.5206857952483901,,51071107072.0,0.1530939987025932,-0.0462379547689282,False,True,pass,4600344573.333333,False,False,False,,False,False,False,False,False,False,False,False,distress_exclusion,distress_exclusion
2153,E・J Holdings Inc.,Prime Market (Domestic),Services,1.1683039330293012,0.109889804055233,29147381120.0,0.2740189575282152,-0.019949911167241,False,False,pass,114817305.0,False,False,False,,False,False,False,False,False,False,False,False,,
6648,KAWADEN CORPORATION,Standard Market(Domestic),Electric Appliances,3.203906598028923,0.3544637115342725,5538332800.0,0.3153164610373536,0.0177810487014362,False,False,pass,162615866.66666666,False,False,False,,False,False,False,False,False,False,False,False,,
6327,"KITAGAWA SEIKI CO.,LTD.",Standard Market(Domestic),Machinery,0.1251903641282876,0.0097311795189204,40559112000.0,0.1586034812865975,0.0083796721483673,False,False,pass,1635228620.0,False,False,False,,False,False,False,False,False,False,False,False,,
4368,"FUSO CHEMICAL CO.,LTD.",Prime Market (Domestic),Chemicals,0.6594766442037818,0.0736668006654409,157775075000.0,0.1835390380964812,-0.0805018258570139,False,False,pass,2355934975.1916504,False,False,False,,False,False,False,False,False,False,False,False,,
6745,HOCHIKI CORPORATION,Prime Market (Domestic),Electric Appliances,1.2254997659566285,0.1588247366139235,48405558000.0,0.4143996430762366,-0.047870637207813,False,False,pass,705398966.8503824,False,False,False,,False,False,False,False,False,False,False,False,,
9502,"Chubu Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,1.3340947932095752,0.0976056164418323,2142673829888.0,,-0.0098584336286686,False,False,pass,8361451579.166667,False,False,False,,False,False,False,False,False,False,False,False,,
6695,"Castrico Co.,Ltd.",PRO Market,Electric Appliances,4.3441902237926975,0.2343669022379269,339600000.0,0.3326533251810742,,False,False,exclude,0.0,True,False,True,,False,False,False,False,False,False,False,False,liquidity_exclusion;human_review_required,liquidity_exclusion;human_review_required
1662,"Japan Petroleum Exploration Co.,Ltd.",Prime Market (Domestic),Mining,1.2417513764926127,0.1846125181732306,448766967808.0,0.1454772461186799,-0.0713848372396512,False,False,pass,7950185018.333333,False,False,False,,False,False,False,False,False,False,False,False,,
6994,SHIZUKI ELECTRIC COMPANY INC.,Standard Market(Domestic),Electric Appliances,0.7255173173130077,0.038336101675116,32731131888.0,0.1834253046010357,-0.06171374962826,False,False,pass,528394041.6666667,False,False,False,,False,False,False,False,False,False,False,False,,
6834,"SEIKOH GIKEN Co.,Ltd.",Standard Market(Domestic),Electric Appliances,0.1149044537905491,0.0091546024459823,244936032256.0,0.2119651332894882,-0.0248047116203135,False,False,pass,10655836183.333334,False,False,False,,False,False,False,False,False,False,False,False,,
7762,"Citizen Watch Co.,Ltd.",Prime Market (Domestic),Precision Instruments,0.4683332533859975,0.0423322042568875,564015042900.0,0.3237861928230402,-0.0286138217105476,False,False,pass,2374966998.3333335,False,False,False,,False,False,False,False,False,False,False,False,,
6492,OKANO VALVE MFG.CO.LTD.,Standard Market(Domestic),Machinery,0.4382918269037628,0.0301300522619451,27381300000.0,0.1687633188973671,0.008832632054804,False,False,pass,936786283.3333334,False,False,False,,False,False,False,False,False,False,False,False,,
6914,"OPTEX GROUP Company,Limited",Prime Market (Domestic),Electric Appliances,0.3598865870372973,0.0422962401442434,156018595920.0,0.4400118051634759,-0.0372968304237443,False,False,pass,650260945.0,False,False,False,,False,False,False,False,False,False,False,False,,
7999,"MUTOH HOLDINGS CO.,LTD.",Standard Market(Domestic),Electric Appliances,0.711222831024803,0.0422617370735759,34593940080.0,0.2542729336359994,0.0047738393603055,False,False,pass,105031466.66666669,False,False,False,,False,False,False,False,False,False,False,False,,
6741,"Nippon Signal Company,Limited",Prime Market (Domestic),Electric Appliances,1.0348167608821128,0.0857414704089785,99170214360.0,0.1544694417709335,0.0164085239869093,False,False,pass,286578320.0,False,False,False,,False,False,False,False,False,False,False,False,,
6929,"NIPPON CERAMIC CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.5939645483094717,0.0862036203174327,84242401575.0,0.1520786387267339,0.0413927780586891,False,False,pass,466737675.0,False,False,False,,False,False,False,False,False,False,False,False,,
6785,"SUZUKI CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.5684164974464275,0.0646415609144579,49086918000.0,0.174122847246066,-0.0605904974809152,False,False,pass,185626705.0,False,False,False,,False,False,False,False,False,False,False,False,,
6824,"NEW COSMOS ELECTRIC CO.,LTD.",Standard Market(Domestic),Electric Appliances,0.9632949384378446,0.071556591997554,53214105000.0,0.2905165886528073,-0.0161064294042865,False,False,pass,72165825.0,False,False,False,,False,False,False,False,False,False,False,False,,
6703,"Oki Electric Industry Company,Limited",Prime Market (Domestic),Electric Appliances,0.4843886872987587,0.0456620547860828,300884400940.0,0.275841008358376,-0.0611771361180491,False,False,pass,2528427016.6666665,False,False,False,,False,False,False,False,False,False,False,False,,
6248,"Yokota Manufacturing Co., Ltd.",Standard Market(Domestic),Machinery,0.929914140765411,0.1017738651921581,3138998400.0,0.3002051008529735,-0.0412188415084238,False,False,review,8235570.0,False,False,True,,False,False,False,False,False,False,False,True,human_review_required,human_review_required
3723,NIHON FALCOM CORPORATION,Growth Market(Domestic),Information & Communication,0.4504572455379195,0.0374241697689237,24147015300.0,0.2002783765773947,-0.0098655466871439,False,False,pass,35234886.666666664,False,False,False,,False,False,False,False,False,False,False,False,,
6814,"FURUNO ELECTRIC CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.4655885756400852,0.0870113123636959,192814009400.0,0.4126793242975581,-0.0347021137634351,False,False,pass,2906114066.6666665,False,False,False,,False,False,False,False,False,False,False,False,,
3105,Nisshinbo Holdings Inc.,Prime Market (Domestic),Electric Appliances,0.8368486162759706,0.0454517404375529,378313345858.0,0.1581814316126028,-0.0433213872224685,False,False,pass,2026098104.1666667,False,False,False,,False,False,False,False,False,False,False,False,,
9880,INNOTECH CORPORATION,Prime Market (Domestic),Electric Appliances,0.4553227632876693,0.0227263558122251,57393539500.0,0.2690976121128368,-0.0085902588511398,False,False,pass,702919663.3333334,False,False,False,,False,False,False,False,False,False,False,False,,
6490,PILLAR Corporation,Prime Market (Domestic),Machinery,0.3321611538101955,0.0373230444294567,222355923180.0,0.2286879812350211,-0.0597795723500431,False,False,pass,1152533633.3333333,False,False,False,,False,False,False,False,False,False,False,False,,
6894,"PULSTEC INDUSTRIAL CO.,LTD.",Standard Market(Domestic),Electric Appliances,1.329493896212372,0.1238615798431121,2905969716.0,0.1876671301743502,0.0405013305257946,False,False,review,3330735.0,False,False,True,,False,False,False,False,False,False,False,True,human_review_required,human_review_required
6961,ENPLAS CORPORATION,Prime Market (Domestic),Electric Appliances,0.4913362989680658,0.0354762707683111,114414506150.0,0.2782954998008761,-0.0499987785314691,False,False,pass,3183918650.0,False,False,False,,False,False,False,False,False,False,False,False,,
6960,"FUKUDA DENSHI CO.,LTD.",Standard Market(Domestic),Electric Appliances,0.5433234759518076,0.0558332378701715,334334900000.0,0.3335246090520104,-0.0666937741789328,False,False,pass,515949750.0,False,False,False,,False,False,False,False,False,False,False,False,,
6419,Mars Group Holdings Corporation,Prime Market (Domestic),Machinery,1.4243868130896205,0.1587026516418462,54922062800.0,0.2396333941204467,-0.0226435415364907,False,False,pass,281123513.3333333,False,False,False,,False,False,False,False,False,False,False,False,,
7747,"ASAHI INTECC CO.,LTD.",Prime Market (Domestic),Precision Instruments,0.1516914680088793,0.0217102989019672,997775300000.0,0.4204993089597126,-0.0981338406085223,False,False,pass,3720063671.6666665,False,False,False,,False,False,False,False,False,False,False,False,,
5214,"Nippon Electric Glass Co.,Ltd.",Prime Market (Domestic),Glass and Ceramics Products,0.9776307078586786,0.0621376869201745,507534180352.0,0.1140697420777772,-0.0293460577870448,False,False,pass,4979816046.666667,False,False,False,,False,False,False,False,False,False,False,False,,
7749,"MEDIKIT CO.,LTD.",Standard Market(Domestic),Precision Instruments,1.0840546737232457,0.0723457555675829,41654745000.0,0.1652009120804153,-0.0105929739323605,False,False,review,4741586.666666667,False,False,True,,False,False,False,False,False,False,False,True,human_review_required,human_review_required
6866,HIOKI E.E.CORPORATION,Prime Market (Domestic),Electric Appliances,0.2463351866539076,0.0305850357497619,178440922700.0,0.3963920070914637,-0.0414262846717618,False,False,pass,739085916.6666666,False,False,False,,False,False,False,False,False,False,False,False,,
6996,NICHICON CORPORATION,Prime Market (Domestic),Electric Appliances,0.4268733273560666,0.0385151404802524,266622421000.0,0.1470853973891641,-0.0404336214297693,False,False,pass,1880553048.3333333,False,False,False,,False,False,False,False,False,False,False,False,,
