code,ticker,company_name,market,sector,market_equity_final,market_equity_method,book_equity,net_income,pbr_raw,per_raw,bm_raw,bm_method,ep_raw,ep_method,bm_winsorized,ep_winsorized,bm_available,ep_available,value_metric_quality_flag,notes,anomaly_flags,gross_profitability,gross_profitability_available,available_signal_score,available_signal_max,sloan_accruals,sloan_accruals_winsorized,distress_review_flag,distress_exclusion_flag,distress_reason,avg_daily_value_60d,liquidity_flag,liquidity_exclusion_flag,anomaly_flags_review,microcap_flag,one_time_profit_suspected,bm_percentile,ep_percentile,gross_profitability_percentile,sloan_accruals_percentile,piotroski_available_ratio,phase1_final_candidate,selection_cell,distress_flags,liquidity,human_review_required,tie_break_reason,adoption_rationale,latest_price
9513,9513.T,"Electric Power Development Co.,Ltd.",Prime Market (Domestic),Electric Power and Gas,695936745472.0,raw_market_cap,1463502000000.0,102530000000.0,0.49702734,12.151945,2.1029238785306843,book_equity_over_market_equity,0.1473266078664402,net_income_over_market_equity,2.1029238785306843,0.1473266078664402,True,True,A_raw_market_cap,,,,False,5.0,6,-0.0389371569487104,-0.0389371569487104,False,False,,5372123065.0,pass,False,,False,False,0.89640660407899,0.8854545454545455,,0.6622149837133551,0.8333333333333334,False,HighValuexQualityMissingOrLow,,5372123065.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",3954.0
8050,8050.T,SEIKO GROUP CORPORATION,Prime Market (Domestic),Precision Instruments,306377446620.0,close_times_edinet_shares_outstanding,158014000000.0,13508000000.0,,,0.5157494513490897,book_equity_over_market_equity,0.0440894071969794,net_income_over_market_equity,0.5157494513490897,0.0440894071969794,True,True,B_price_times_shares,,,0.3712205743751963,True,6.0,6,-0.0512435982390294,-0.0512435982390294,False,False,,1845328000.0,pass,False,,False,False,0.2534800906442214,0.2145454545454545,0.6886916502301118,0.7534201954397395,1.0,False,OtherValuexHighQuality,,1845328000.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",7420.0
6617,6617.T,"TAKAOKA TOKO CO.,LTD.",Prime Market (Domestic),Electric Appliances,132633832900.0,close_times_edinet_shares_outstanding,66456000000.0,4280000000.0,,,0.5010486279930164,book_equity_over_market_equity,0.0322692928826608,net_income_over_market_equity,0.5010486279930164,0.0322692928826608,True,True,B_price_times_shares,,,0.2240611691831204,True,5.0,6,-0.0065920036130085,-0.0065920036130085,False,False,,971058550.0,pass,False,,False,False,0.2408546455163483,0.1301818181818181,0.4217619986850756,0.3833876221498371,0.8333333333333334,False,OtherValuexQualityMissingOrLow,,971058550.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",8180.0
6356,6356.T,"NIPPON GEAR CO.,LTD.",Standard Market(Domestic),Machinery,21241489408.0,raw_market_cap,12561580000.0,1550400000.0,3.8963141,12.129095,0.5913700192449329,book_equity_over_market_equity,0.0729892320740976,net_income_over_market_equity,0.5913700192449329,0.0729892320740976,True,True,A_raw_market_cap,,,0.2800242960595509,True,3.0,6,0.0174169526347404,0.0174169526347404,False,False,,5332541846.666667,pass,False,,False,False,0.3020394949821949,0.4978181818181818,0.5486522024983563,0.22442996742671,0.5,False,OtherValuexHighQuality,,5332541846.666667,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",1492.0
1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Standard Market(Domestic),Machinery,25129170000.0,close_times_edinet_shares_outstanding,30517857000.0,4204018000.0,,,1.2144395139194808,book_equity_over_market_equity,0.1672963333050793,net_income_over_market_equity,1.2144395139194808,0.1672963333050793,True,True,B_price_times_shares,,,0.2908272956083912,True,6.0,6,-0.0902868256360876,-0.0902868256360876,False,False,,1098486153.3333333,pass,False,,False,False,0.6798316607316284,0.9105454545454544,0.5706771860618014,0.9,1.0,False,OtherValuexHighQuality,,1098486153.3333333,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",3750.0
4971,4971.T,MEC COMPANY LTD.,Prime Market (Domestic),Chemicals,204118932300.0,close_times_edinet_shares_outstanding,30472068000.0,5766868000.0,,,0.1492858484837371,book_equity_over_market_equity,0.0282524895413633,net_income_over_market_equity,0.1492858484837371,0.0282524895413633,True,True,B_price_times_shares,,,0.3103557016798286,True,5.0,6,0.0435483866645432,0.0435483866645432,False,False,,2863908933.3333335,pass,False,,False,False,0.0275169957915182,0.1058181818181818,0.6074950690335306,0.1234527687296417,0.8333333333333334,False,OtherValuexHighQuality,,2863908933.3333335,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",11100.0
6278,6278.T,UNION TOOL CO.,Prime Market (Domestic),Machinery,443256012800.0,raw_market_cap,79998000000.0,6114000000.0,4.873522,65.073906,0.1804780932235105,book_equity_over_market_equity,0.0137933831091845,net_income_over_market_equity,0.1804780932235105,0.0137933831091845,True,True,A_raw_market_cap,,,0.1640053023350668,True,5.0,6,-0.0150096436691197,-0.0150096436691197,False,False,,5832879450.0,pass,False,,False,False,0.0407898996438977,0.0367272727272727,0.2439184746877054,0.4576547231270358,0.8333333333333334,False,OtherValuexQualityMissingOrLow,,5832879450.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",23070.0
9503,9503.T,"The Kansai Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,2549534162944.0,raw_market_cap,3107452000000.0,451137000000.0,0.73788524,6.7068167,1.2188312850108118,book_equity_over_market_equity,0.1769487958063141,net_income_over_market_equity,1.2188312850108118,0.1769487958063141,True,True,A_raw_market_cap,,,,False,5.0,6,-0.0101556344725725,-0.0101556344725725,False,False,,10170685626.666666,pass,False,,False,False,0.6824214956296536,0.9254545454545454,,0.4149837133550489,0.8333333333333334,False,OtherValuexQualityMissingOrLow,,10170685626.666666,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",2288.5
6941,6941.T,"YAMAICHI ELECTRONICS CO.,LTD.",Prime Market (Domestic),Electric Appliances,186045759488.0,raw_market_cap,39676501000.0,5240971000.0,3.9948258,20.459528,0.2132620550405995,book_equity_over_market_equity,0.0281703330106701,net_income_over_market_equity,0.2132620550405995,0.0281703330106701,True,True,A_raw_market_cap,,,0.3277803637892563,True,5.0,6,-0.0720908710237881,-0.0720908710237881,False,False,,3975964583.3333335,pass,False,,False,False,0.0582712852055681,0.1054545454545454,0.6318211702827088,0.852442996742671,0.8333333333333334,False,OtherValuexHighQuality,,3975964583.3333335,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",10080.0
6871,6871.T,"MICRONICS JAPAN CO.,LTD.",Prime Market (Domestic),Electric Appliances,562081300480.0,raw_market_cap,66052000000.0,12063000000.0,7.5972314,46.622295,0.1175132493174806,book_equity_over_market_equity,0.0214613081589773,net_income_over_market_equity,0.1175132493174806,0.0214613081589773,True,True,A_raw_market_cap,,,0.3413648940682245,True,6.0,6,-0.009384636010189,-0.009384636010189,False,False,,12744986383.333334,pass,False,,False,False,0.0161864681126578,0.0665454545454545,0.6482577251808022,0.4061889250814332,1.0,False,OtherValuexHighQuality,,12744986383.333334,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",14500.0
6264,6264.T,"Marumae Co.,Ltd.",Prime Market (Domestic),Machinery,28325565100.0,close_times_edinet_shares_outstanding,8151519000.0,1355987000.0,,,0.28777957195989,book_equity_over_market_equity,0.0478714897730319,net_income_over_market_equity,0.28777957195989,0.0478714897730319,True,True,B_price_times_shares,,,0.1395633778363484,True,5.0,6,-0.0923344529760236,-0.0923344529760236,False,False,,1848958473.3333333,pass,False,,False,False,0.0958238912269342,0.2429090909090909,0.1765285996055227,0.9055374592833876,0.8333333333333334,False,OtherValuexQualityMissingOrLow,,1848958473.3333333,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",2237.0
6920,6920.T,Lasertec Corporation,Prime Market (Domestic),Electric Appliances,3440025272320.0,raw_market_cap,209900000000.0,84652000000.0,15.255912,39.684425,0.0610169935927361,book_equity_over_market_equity,0.0246079587499395,net_income_over_market_equity,0.0974144095975895,0.0246079587499395,True,True,A_raw_market_cap,,,0.4498044605447192,True,4.0,6,0.0225599070710231,0.0225599070710231,False,False,,170069025650.0,pass,False,,False,False,0.0051796697960505,0.0821818181818181,0.7705456936226167,0.1947882736156352,0.6666666666666666,False,OtherValuexHighQuality,,170069025650.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",38380.0
