rank,code,company_name,market,sector,market_equity,bm_raw,bm_percentile,ep_raw,ep_percentile,gross_profitability,gross_profitability_percentile,piotroski_available_score,piotroski_available_max,piotroski_available_ratio,sloan_accruals,sloan_accruals_percentile,distress_flags,distress_review_flag,distress_exclusion_flag,liquidity,liquidity_flag,liquidity_exclusion_flag,anomaly_flags,selection_cell,tie_break_reason,final20_type,human_review_required,adoption_rationale,inclusion_note
1,7544,"Three F Co.,Ltd.",Standard Market(Domestic),Retail Trade,4188640435.0,1.3880398879356184,0.7461961799935254,0.2122407052588174,0.9538181818181818,2.036123654046544,0.9990138067061144,5.0,6,0.8333333333333334,-0.0369791187563241,0.6449511400651466,,False,False,4006080.0,review,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
2,3317,"FLYING GARDEN CO.,LTD.",Standard Market(Domestic),Retail Trade,1972790820.0,1.6520494555018257,0.8297183554548397,0.1784989044099465,0.9272727272727272,1.1616371980464553,0.9842209072978304,4.0,6,0.6666666666666666,-0.0710421705863648,0.8478827361563518,,False,False,6076041.666666667,review,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
3,3539,"JM HOLDINGS CO.,LTD.",Prime Market (Domestic),Retail Trade,31797792000.0,1.4261053094504172,0.7601165425704112,0.2040707732159516,0.9476363636363636,0.7348633819666947,0.9181459566074952,6.0,6,1.0,-0.0021099389228206,0.3462540716612378,,False,False,144716800.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
4,4350,"MEDICAL SYSTEM NETWORK Co.,Ltd.",Standard Market(Domestic),Retail Trade,15322134400.0,1.4402040488562742,0.7649724830042085,0.1742577065503354,0.9221818181818182,0.7187827614541127,0.9122287968441816,6.0,6,1.0,-0.02579017551447,0.5547231270358306,,False,False,30067965.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
5,3352,"BUFFALO CO.,LTD.",Standard Market(Domestic),Retail Trade,3983905800.0,1.556795845925875,0.8057623826481062,0.0875035750092283,0.6127272727272727,0.6990297689468096,0.9063116370808678,5.0,6,0.8333333333333334,-0.0280647401896692,0.5765472312703583,,False,False,3053288.3333333335,review,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
6,4925,"HABA LABORATORIES,INC.",Standard Market(Domestic),Chemicals,6447457500.0,1.384594625090588,0.7449012625445128,0.089425327735778,0.6272727272727273,0.655566518744623,0.8888888888888888,5.0,6,0.8333333333333334,-0.084312615999018,0.8889250814332248,,False,False,3281358.3333333335,review,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
7,9990,SAC'S BAR HOLDINGS INC.,Prime Market (Domestic),Retail Trade,20688014400.0,1.4279661367598429,0.7607640012949175,0.1230264031525422,0.8261818181818181,0.6444542100866973,0.8872452333990796,4.0,6,0.6666666666666666,-0.0145722900362938,0.4543973941368078,,False,False,64096080.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
8,7120,SHINKO Inc.,Standard Market(Domestic),Wholesale Trade,1574272000.0,1.279665775672819,0.7086435739721593,0.3257836002927067,0.9810909090909092,0.6316430674376796,0.8833004602235371,6.0,6,1.0,-0.0634639298439008,0.8234527687296417,,False,False,27234391.666666668,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
9,8278,"FUJI CO.,LTD.",Prime Market (Domestic),Retail Trade,167319394358.0,1.3580434047819971,0.7348656523146649,0.0976097245789434,0.692,0.6015240407310001,0.8698224852071006,5.0,6,0.8333333333333334,-0.0517714202800415,0.7560260586319218,,False,False,256673550.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
10,7614,"OM2Network Co.,Ltd.",Standard Market(Domestic),Retail Trade,10262033694.0,1.764642617631226,0.8527031401748139,0.0920144123627353,0.6509090909090909,0.6000804539005734,0.8685075608152532,4.0,6,0.6666666666666666,-0.0230547050812306,0.5319218241042345,,False,False,7071513.333333333,review,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
