fiscal_year,row_count,revenue_coverage,gross_profit_coverage,operating_income_coverage,net_income_coverage,total_assets_coverage,equity_coverage,operating_cf_coverage,current_assets_coverage,current_liabilities_coverage,shares_outstanding_pti_coverage,strict_fact_complete_rate,capex,cost_of_sales,current_assets,current_liabilities,employees,equity,financing_cf,gross_profit,liabilities,net_income,operating_cf,operating_income,ordinary_income,rd_expense,revenue,shares_issued,total_assets,treasury_shares
2021,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,4.0,4.0,30.0,70.0,2.0,2.0,4.0,24.0,2.0,18.0,4.0,,20.0,6.0,22.0,8.0
2022,5,1.0,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8,4.0,28.0,32.0,32.0,192.0,746.0,16.0,28.0,32.0,202.0,16.0,128.0,32.0,,196.0,70.0,186.0,28.0
2023,3287,0.9720109522360816,0.910556738667478,0.9838758746577426,1.0,1.0,1.0,0.9260724064496502,0.9841801034377852,0.9841801034377852,1.0,0.8518405841192577,562.0,19526.0,22934.0,22934.0,108324.0,605078.0,11996.0,20858.0,27730.0,152206.0,12048.0,71534.0,28116.0,4.0,124786.0,46006.0,129366.0,25914.0
2024,3576,0.973434004474273,0.9149888143176734,0.985738255033557,1.0,1.0,1.0,0.9256152125279642,0.985738255033557,0.985738255033557,1.0,0.8557046979865772,598.0,21292.0,25026.0,25026.0,117138.0,658560.0,13056.0,22764.0,30158.0,166120.0,13100.0,77570.0,30256.0,8.0,135214.0,50108.0,140440.0,28392.0
2025,3583,0.973206809935808,0.9134803237510466,0.9854870220485626,1.0,1.0,1.0,0.921295004186436,0.985766117778398,0.985766117778398,1.0,0.8509628802679319,600.0,21432.0,25198.0,25198.0,118360.0,663552.0,13016.0,22900.0,30286.0,167464.0,13052.0,78416.0,30396.0,8.0,136358.0,50262.0,141666.0,28890.0
2026,260,0.9884615384615385,0.9653846153846154,1.0,1.0,1.0,1.0,0.9538461538461539,1.0,1.0,1.0,0.926923076923077,38.0,1546.0,1840.0,1840.0,7568.0,46152.0,974.0,1670.0,2116.0,11872.0,980.0,5342.0,1964.0,4.0,9128.0,3680.0,9646.0,2040.0
