rank,code,ticker,company_name,sector,exploratory_weighted_score,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty,missingness_penalty,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,anomaly_flags,is_phase1_top5,phase1_top5_name,phase3_handoff_note
700,4377,4377.T,ONE CAREER Inc.,Information & Communication,0.7601269440747297,0.0314017481385561,0.209090909090909,0.935568704799474,0.8333333333333334,0.9348534201954397,1.0,0.6544046466602129,0.0,0.0,0.0,0.0,0.1582199332413259,0.0433424870012811,0.8058007000029765,0.8333333333333334,-0.1116523028147245,183376095.0,False,,False,,Sensitivity reference pool.
701,8153,8153.T,"MOS FOOD SERVICES,INC.",Wholesale Trade,0.760116383209632,0.2385885399805762,0.108,0.8504273504273504,0.8333333333333334,0.7583061889250814,1.0,0.8099386898999678,0.0,0.0,0.0,0.0,0.4936714746909973,0.0287791768277875,0.5640265091342335,0.8333333333333334,-0.0521439667596249,552478033.3333334,False,,False,,Sensitivity reference pool.
702,6538,6538.T,Disruptors Inc.,Services,0.7599409049073401,0.2473292327614114,0.3236363636363636,0.9214332675871136,1.0,0.8302931596091205,1.0,0.2749273959341723,0.0,0.0,0.0,0.0,0.5089113936020577,0.0559135494127164,0.7513199577613516,1.0,-0.065036487005505,14370473.333333334,False,,False,,Sensitivity reference pool.
703,5906,5906.T,"MK SEIKO CO.,LTD.",Metal Products,0.7598862320777227,0.7672385885399806,0.7978181818181819,0.6614069690992768,0.8333333333333334,0.16449511400651462,1.0,0.3730235559858019,0.0,0.0,0.0,0.0,1.4481698918662715,0.1158053099609556,0.3490856553075332,0.8333333333333334,0.0308350147225126,31201090.0,False,,False,,Sensitivity reference pool.
704,6302,6302.T,"SUMITOMO HEAVY INDUSTRIES,LTD.",Machinery,0.7597603777685775,0.6416315959857559,0.2989090909090909,0.3359631821170282,0.8333333333333334,0.5355048859934853,1.0,0.9512746047111972,0.0,0.0,0.0,0.0,1.113332001441348,0.0534469059234131,0.1949691738594328,0.8333333333333334,-0.0236439349455095,4214246596.6666665,False,,False,,Sensitivity reference pool.
705,2585,2585.T,"LIFEDRINK COMPANY,INC.",Foods,0.7596916172008432,0.0297831013272903,0.16,0.8625904010519395,0.8333333333333334,0.7905537459283387,1.0,0.919974185221039,0.0,0.0,0.0,0.0,0.154652502682046,0.0368644616372101,0.585900563134279,0.8333333333333334,-0.0567553599674251,2207372208.3333335,False,,False,,Sensitivity reference pool.
706,4480,4480.T,"MEDLEY,INC.",Information & Communication,0.7595705661036337,0.0644221430883781,0.5001818181818182,0.849112426035503,0.5,0.9407166123778502,1.0,0.8344627299128751,0.0,0.0,0.0,0.16666666666666666,0.2327451542356208,,0.5620575972074081,0.5,-0.1158779915098377,696719653.3333334,False,,False,,Sensitivity reference pool.
707,2410,2410.T,"CAREER DESIGN CENTER CO.,LTD.",Services,0.7595236649156023,0.1298154742635157,0.5669090909090909,0.989809335963182,0.5,0.9576547231270358,1.0,0.45111326234269117,0.0,0.0,0.0,0.0,0.340555980788729,0.0809938097325387,1.2514598785546556,0.5,-0.1307003432319761,51596796.666666664,False,,False,,Sensitivity reference pool.
708,5563,5563.T,"Nippon Denko Co.,Ltd.",Iron and Steel,0.7592023056495961,0.6364519261897054,0.2316363636363636,0.1623931623931624,0.8333333333333334,0.9429967426710097,1.0,0.7867053888351081,0.0,0.0,0.0,0.0,1.1051702824135474,0.0462918914492123,0.1336522921148679,0.8333333333333334,-0.1185304837217385,460523865.0,False,,False,,Sensitivity reference pool.
709,2433,2433.T,HAKUHODO DY HOLDINGS INCORPORATED,Services,0.758859510420024,0.5723535124635805,0.1178181818181818,0.6982248520710059,0.5,0.8368078175895766,1.0,0.8664085188770572,0.0,0.0,0.0,0.0,0.9960339045325776,0.0301327210640666,0.380500308991412,0.5,-0.0670735011665519,1050303739.1666666,False,,False,,Sensitivity reference pool.
710,3577,3577.T,Tokai Senko K.K.,Textiles and Apparels,0.7588396725060829,0.954677889284558,0.9170909090909092,0.1854043392504931,1.0,0.5133550488599348,1.0,0.020974507905776058,0.0,0.0,0.0,0.0,2.9038247219094724,0.1718794865203481,0.142990924373585,1.0,-0.0204073780112974,1449486.6666666667,False,,False,,Sensitivity reference pool.
711,4625,4625.T,"ATOMIX CO.,LTD.",Chemicals,0.758804315034299,0.9320168339268372,0.3189090909090909,0.4079552925706772,0.8333333333333334,0.7615635179153094,1.0,0.3375282349144885,0.0,0.0,0.0,0.0,2.5108564778431703,0.0555051043079544,0.2193827960796476,0.8333333333333334,-0.0524225317711661,23745646.666666668,False,,False,,Sensitivity reference pool.
712,7863,7863.T,"HIRAGA CO.,LTD.",Other Products,0.7587864053489933,0.8089996762706377,0.8061818181818182,0.522353714661407,0.8333333333333334,0.6009771986970684,1.0,0.01936108422071636,0.0,0.0,0.0,0.0,1.5679604917766492,0.1180446145602542,0.2680942739693837,0.8333333333333334,-0.0311652407102089,1426268.3333333333,False,,False,,Sensitivity reference pool.
713,4071,4071.T,"Plus Alpha Consulting Co.,LTD.",Information & Communication,0.758748283272369,0.0216898672709614,0.1247272727272727,0.8918474687705457,0.8333333333333334,0.9107491856677524,1.0,0.80864795095192,0.0,0.0,0.0,0.0,0.1336762738308317,0.0311257183032001,0.6617358576372956,0.8333333333333334,-0.0945741464016035,547287396.6666666,False,,False,,Sensitivity reference pool.
714,3842,3842.T,"Nextgen,Inc.",Information & Communication,0.7585773873532489,0.4007769504694076,0.4316363636363636,0.7186061801446417,0.8333333333333334,0.9807817589576547,1.0,0.22491126169732173,0.0,0.0,0.0,0.0,0.7239078478904357,0.067280063942709,0.3987560874277406,0.8333333333333334,-0.1888596411518043,9342446.666666666,False,,False,,Sensitivity reference pool.
715,8244,8244.T,"Kintetsu Department Store CO.,Ltd.",Retail Trade,0.7584847381284167,0.3577209452897378,0.3010909090909091,0.8070348454963839,0.6666666666666666,0.9068403908794789,1.0,0.5501774766053565,0.0,0.0,0.0,0.0,0.6629378875382267,0.0536571003792533,0.4943140857189367,0.6666666666666666,-0.0928226543654836,98360835.0,False,,False,,Sensitivity reference pool.
