rank,code,ticker,company_name,sector,exploratory_weighted_score,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty,missingness_penalty,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,anomaly_flags,is_phase1_top5,phase1_top5_name,phase3_handoff_note
1,1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Machinery,1.0,0.6798316607316284,0.9105454545454544,0.5706771860618014,1.0,0.9,1.0,0.8699580509841884,0.0,0.0,0.0,0.0,1.2144395139194808,0.1672963333050793,0.2908272956083912,1.0,-0.0902868256360876,1098486153.3333333,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
2,6745,6745.T,HOCHIKI CORPORATION,Electric Appliances,0.9930546992801543,0.6859825186144384,0.9014545454545456,0.7357001972386588,1.0,0.7328990228013029,1.0,0.8363988383349468,0.0,0.0,0.0,0.0,1.2254997659566285,0.1588247366139235,0.4143996430762366,1.0,-0.047870637207813,705398966.8503824,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
3,9507,9507.T,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,0.9907385986691828,0.7934606668824863,0.9618181818181818,0.6729125575279421,1.0,0.5801302931596091,1.0,0.8712487899322362,0.0,0.0,0.0,0.0,1.5210845189509965,0.236369625854869,0.3592865040089916,1.0,-0.0284462935638381,1122384626.6666667,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
4,6676,6676.T,BUFFALO INC.,Electric Appliances,0.989631150909353,0.6992554224668177,0.9101818181818182,0.7370151216305062,1.0,0.8644951140065147,1.0,0.6624717650855114,0.0,0.0,0.0,0.0,1.2518549409299973,0.1669436413443516,0.4161266794219934,1.0,-0.0759991283504031,192503180.0,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
5,9505,9505.T,Hokuriku Electric Power Company,Electric Power and Gas,0.9808686862174971,0.921333764972483,0.9865454545454544,0.5001643655489809,1.0,0.6416938110749186,1.0,0.8683446272991288,0.0,0.0,0.0,0.16666666666666666,2.385786840285232,0.3976618913450199,,1.0,-0.0364405298363339,1064338543.5148112,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
6,4022,4022.T,"Rasa Industries,Ltd.",Chemicals,0.9759891355407208,0.8562641631595985,0.9447272727272727,0.3780407626561473,1.0,0.6925081433224756,1.0,0.9261051952242659,0.0,0.0,0.0,0.0,1.7852927535571048,0.2005148190762024,0.2101531480431083,1.0,-0.0423021040139306,2427613683.3333335,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
7,7803,7803.T,Bushiroad Inc.,Other Products,0.9725995266891962,0.765943671090968,0.9490909090909092,0.7215647600262984,1.0,0.70814332247557,1.0,0.6340755082284608,0.0,0.0,0.0,0.0,1.4416281315483317,0.2051146799188709,0.4013605395783348,1.0,-0.0443112124392795,159848943.33333334,False,,True,Bushiroad Inc.,Priority review candidate for Phase3 qualitative moat/theme validation.
8,9533,9533.T,"TOHO GAS CO.,LTD.",Electric Power and Gas,0.9722015287354908,0.9812236969893168,0.9545454545454546,0.4312952005259697,0.6666666666666666,0.8680781758957654,1.0,0.8747983220393676,0.0,0.0,0.0,0.0,3.7970202710801617,0.2155456004765327,0.2277964850777249,0.6666666666666666,-0.0772013990593917,1168177015.8333333,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
9,6440,6440.T,JUKI CORPORATION,Machinery,0.9708271397604273,0.8824862415021042,0.9665454545454546,0.4000657462195924,1.0,0.7964169381107492,1.0,0.723459180380768,0.0,0.0,0.0,0.0,1.971059522355152,0.2498271362045276,0.2170423072457999,1.0,-0.0575998904163797,282656406.6666667,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
10,9024,9024.T,SEIBU HOLDINGS INC.,Land Transportation,0.9673455494073137,0.4516024603431531,0.9836363636363636,0.5001643655489809,1.0,0.9498371335504886,1.0,0.9577282994514359,0.0,0.0,0.0,0.16666666666666666,0.800726928294823,0.3649092917270561,,1.0,-0.1234034138610737,5192218363.333333,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
11,6039,6039.T,"Japan Animal Referral Medical Center Co.,Ltd.",Services,0.962584402768053,0.8248624150210424,0.948,0.3767258382642998,1.0,0.9169381107491856,1.0,0.6566634398192965,0.0,0.0,0.0,0.0,1.6266100138769692,0.2042735983759178,0.2093435944196975,1.0,-0.097170269728149,185675618.33333337,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
12,6454,6454.T,"MAX CO.,LTD.",Machinery,0.9559816690684729,0.7546131434121075,0.8898181818181818,0.6650230111768574,1.0,0.5693811074918567,1.0,0.8076798967408841,0.0,0.0,0.0,0.0,1.4066745456714502,0.148993358945584,0.3522963462294661,1.0,-0.0272563411386444,539091076.6666666,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
13,6418,6418.T,"JAPAN CASH MACHINE CO.,LTD.",Machinery,0.9543066002969866,0.6908384590482357,0.8847272727272727,0.6081525312294543,1.0,0.8736156351791531,1.0,0.6198773797999355,0.0,0.0,0.0,0.0,1.236366701536982,0.1470802774301514,0.3106436379346681,1.0,-0.0788334225231195,148250750.0,False,,False,,Priority review candidate for Phase3 qualitative moat/theme validation.
