code,fiscal_year,eps,bps,dps,eps_tag,bps_tag,source
1514,2025,76.76,468.75,30.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1515,2025,546.74,8991.76,224.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1518,2025,750.13,5825.49,130.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1605,2025,78.12,1578.21,100.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1662,2025,314.91,2062.21,155.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1663,2025,313.99,3945.35,54.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1711,2025,-15.28,59.31,,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1716,2025,117.71,1709.54,40.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1717,2025,78.16,477.77,42.5,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1718,2025,1438.08,15761.3,350.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1719,2025,168.75,1092.12,70.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1720,2025,62.72,959.28,38.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1721,2025,253.54,3177.57,115.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1723,2025,402.83,2480.06,163.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1724,2025,52.08,1361.44,28.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1726,2025,28.29,333.48,15.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1736,2025,186.1,1444.28,170.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1758,2026,232.19,4758.43,60.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1762,2025,185.32,3954.94,82.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1764,2025,388.66,4335.73,117.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1766,2025,1173.64,9949.03,330.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1768,2025,68.56,1240.06,30.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1770,2025,194.98,2069.88,60.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1776,2025,18.28,1475.51,40.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1780,2025,158.63,1229.39,24.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1783,2025,-1.41,37.49,,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1786,2025,28.07,390.68,14.5,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1787,2025,425.54,3548.53,300.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1788,2025,371.94,5439.51,100.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1793,2025,63.47,2552.27,41.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1795,2025,455.94,5932.43,160.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1798,2025,759.01,7324.24,100.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1799,2025,278.0,3818.44,130.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1801,2025,682.78,5041.43,210.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1802,2025,203.88,1628.88,81.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1803,2025,94.8,1260.48,38.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1807,2025,143.2,3425.96,80.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1808,2025,126.2,1950.61,85.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1810,2025,94.32,1760.63,48.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1811,2025,489.39,13525.69,120.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1812,2025,266.49,2672.64,104.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1813,2025,145.26,2262.99,60.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1814,2025,197.48,2200.96,99.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1815,2025,242.75,5011.44,122.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1820,2025,444.46,4361.27,220.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1822,2025,41.91,810.64,147.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1826,2025,39.86,1007.73,60.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1827,2025,84.51,1246.51,22.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1828,2025,247.47,2381.01,87.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1833,2025,74.0,4894.08,216.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1835,2025,335.87,3473.85,135.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
1840,2025,7.01,505.95,10.0,BasicEarningsLossPerShareSummaryOfBusinessResults,NetAssetsPerShareSummaryOfBusinessResults,ok
