code,fiscal_year,cash,retained_earnings,ppe,rd_expense,capex,depreciation,short_term_debt,long_term_debt,status,interest_bearing_debt
1418,2024,1354752000.0,832709000.0,1111302000.0,,-27716000.0,67474000.0,922615000.0,867308000.0,ok,1789923000.0
1418,2025,1492377000.0,877640000.0,1184295000.0,,63000.0,79399000.0,989896000.0,759292000.0,ok,1749188000.0
1418,2026,2598395000.0,1217658000.0,1131306000.0,,-35969000.0,84733000.0,681472000.0,774457000.0,ok,1455929000.0
1419,2023,34323000000.0,27724000000.0,19153000000.0,130000000.0,2779000000.0,1993000000.0,14643000000.0,3803000000.0,ok,18446000000.0
1419,2024,26105000000.0,31259000000.0,18814000000.0,133000000.0,1997000000.0,2289000000.0,7171000000.0,1966000000.0,ok,9137000000.0
1419,2025,31001000000.0,27229000000.0,18676000000.0,137000000.0,1736000000.0,2487000000.0,11132000000.0,7917000000.0,ok,19049000000.0
1420,2023,12052669000.0,6038462000.0,3364763000.0,101363000.0,122000000.0,162191000.0,10291000000.0,11351000000.0,ok,21642000000.0
1420,2024,10439820000.0,6395423000.0,3239927000.0,72443000.0,66000000.0,159807000.0,10778000000.0,6021000000.0,ok,16799000000.0
1420,2025,9232054000.0,6770994000.0,3086243000.0,94213000.0,107000000.0,163518000.0,8294000000.0,10013000000.0,ok,18307000000.0
1429,2023,2033275000.0,7523317000.0,4367214000.0,17694000.0,319000000.0,239713000.0,2400000000.0,,ok,2400000000.0
1429,2024,2263300000.0,8357887000.0,4271125000.0,16063000.0,208000000.0,239764000.0,4500000000.0,,ok,4500000000.0
1429,2025,2415160000.0,9168917000.0,4480123000.0,36640000.0,503000000.0,214095000.0,4800000000.0,,ok,4800000000.0
1430,2023,5062508000.0,7518736000.0,150622000.0,10715000.0,-80804000.0,13238000.0,945556000.0,2995443000.0,ok,3940999000.0
1430,2024,4117604000.0,8037300000.0,136666000.0,,-25619000.0,18309000.0,2941000000.0,2154443000.0,ok,5095443000.0
1430,2025,5400034000.0,9329428000.0,159839000.0,,-39718000.0,12024000.0,1521663000.0,3192780000.0,ok,4714443000.0
1431,2023,1303274000.0,2029137000.0,1005012000.0,,363093000.0,149797000.0,2641442000.0,326000000.0,ok,2967442000.0
1431,2024,3778388000.0,2271032000.0,1323480000.0,51917000.0,260698000.0,229653000.0,2726471000.0,1579309000.0,ok,4305780000.0
1431,2025,3809392000.0,2614029000.0,1506513000.0,42723000.0,409965000.0,272640000.0,2320363000.0,1486033000.0,ok,3806396000.0
1433,2024,1444088000.0,3091398000.0,323990000.0,14299000.0,23103000.0,23989000.0,2702192000.0,1590244000.0,ok,4292436000.0
1433,2025,1599484000.0,3323981000.0,316450000.0,59753000.0,39402000.0,35399000.0,3079260000.0,622844000.0,ok,3702104000.0
