ticker,shares_live,last_price,market_cap_live,status,code
3723.T,9867176.0,2900.0,28614810400.0,ok,3723
3105.T,156229610.0,2454.5,383465577745.0,ok,3105
6814.T,31608824.0,7920.0,250341886080.0,ok,6814
6490.T,22861214.0,10480.0,239585522720.0,ok,6490
9880.T,11754947.0,3865.0,45432870155.0,ok,9880
6419.T,17931185.0,3190.0,57200480150.0,ok,6419
6961.T,9031712.0,11870.0,107206421440.0,ok,6961
6960.T,27015884.0,11800.0,318787431200.0,ok,6960
7747.T,265324323.0,4103.0,1088625697269.0,ok,7747
5214.T,73683670.0,5194.0,382712981980.0,ok,5214
1948.T,8733600.0,11410.0,99650376000.0,ok,1948
6996.T,67158643.0,3000.0,201475929000.0,ok,6996
6866.T,13405452.0,12370.0,165825441240.0,ok,6866
6925.T,79348017.0,4358.0,345798658086.0,ok,6925
5706.T,57217263.0,31590.0,1807493338170.0,ok,5706
6136.T,82172021.0,3955.0,324990343055.0,ok,6136
6643.T,4636516.0,5830.0,27030888280.0,ok,6643
6855.T,14647476.0,7590.0,111174342840.0,ok,6855
4099.T,86498340.0,2800.0,242195352000.0,ok,4099
7746.T,29091602.0,768.0,22342350336.0,ok,7746
6877.T,14413987.0,6090.0,87781180830.0,ok,6877
7711.T,5514789.0,4965.0,27380927385.0,ok,7711
6480.T,69765208.0,1898.0,132414364784.0,ok,6480
7725.T,10145393.0,1941.0,19692207813.0,ok,7725
6454.T,176913696.0,1836.0,324813545856.0,ok,6454
6809.T,34695866.0,1724.0,59815672984.0,ok,6809
7730.T,98502602.0,1614.0,158983199628.0,ok,7730
7716.T,83051482.0,3215.0,267010514630.0,ok,7716
6508.T,45363953.0,12660.0,574307644980.0,ok,6508
7722.T,13474166.0,796.0,10725436136.0,ok,7722
5802.T,3119679500.0,2473.0,7714967403500.0,ok,5802
6822.T,1337666.0,4800.0,6420796800.0,ok,6822
6998.T,4857093.0,3190.0,15494126670.0,ok,6998
6592.T,238205842.0,1786.0,425435633812.0,ok,6592
6644.T,45091044.0,1574.0,70973303256.0,ok,6644
6861.T,242525136.0,86750.0,21039055548000.0,ok,6861
6928.T,6597596.0,3250.0,21442187000.0,ok,6928
6498.T,87007385.0,2094.0,182193464190.0,ok,6498
6674.T,100319344.0,5681.0,569914193264.0,ok,6674
7740.T,159829197.0,1405.0,224560021785.0,ok,7740
6417.T,197513729.0,1899.0,375078571371.0,ok,6417
6134.T,87913069.0,8561.0,752623783709.0,ok,6134
4975.T,24619723.0,5740.0,141317210020.0,ok,4975
6853.T,25241637.0,778.0,19637993586.0,ok,6853
6794.T,22467807.0,3125.0,70211896875.0,ok,6794
6651.T,37937114.0,4600.0,174510724400.0,ok,6651
4966.T,15968486.0,21750.0,347314570500.0,ok,4966
6787.T,25666712.0,19360.0,496907544320.0,ok,6787
7261.T,630970230.0,1177.5,742967445825.0,ok,7261
6156.T,5038226.0,1916.0,9653241016.0,ok,6156
4022.T,39061345.0,2535.0,99020509575.0,ok,4022
6744.T,58862885.0,4450.0,261939838250.0,ok,6744
7999.T,,,,error:KeyError,7999
6505.T,9595286.0,2401.0,23038281686.0,ok,6505
6282.T,28742957.0,2960.0,85079152720.0,ok,6282
6384.T,6177551.0,1682.0,10390640782.0,ok,6384
6143.T,49976875.0,1825.0,91207796875.0,ok,6143
6969.T,3833931.0,1087.0,4167482997.0,ok,6969
6306.T,38534974.0,1026.0,39536883324.0,ok,6306
6850.T,16513350.0,1677.0,27692887950.0,ok,6850
6676.T,23730364.0,2910.0,69055359240.0,ok,6676
6678.T,6666428.0,2174.0,14492814472.0,ok,6678
6823.T,12330318.0,3575.0,44080886850.0,ok,6823
4732.T,454040498.0,1996.0,906264834008.0,ok,4732
6675.T,17491590.0,2172.0,37991733480.0,ok,6675
6670.T,94177920.0,2184.0,205684577280.0,ok,6670
6859.T,21018674.0,4285.0,90065018090.0,ok,6859
7713.T,7082172.0,2328.0,16487296416.0,ok,7713
6144.T,15029732.0,3140.0,47193358480.0,ok,6144
4186.T,119975909.0,9577.0,1149009280493.0,ok,4186
6863.T,21472911.0,992.0,21301127712.0,ok,6863
6858.T,10425123.0,859.0,8955180657.0,ok,6858
4972.T,16595222.0,3355.0,55676969810.0,ok,4972
6890.T,53803763.0,9750.0,524586689250.0,ok,6890
6963.T,386035069.0,5239.0,2022437726491.0,ok,6963
6668.T,8536975.0,3930.0,33550311750.0,ok,6668
6402.T,4896925.0,1610.0,7884049250.0,ok,6402
6653.T,13538749.0,2328.0,31518207672.0,ok,6653
6235.T,39893489.0,3205.0,127858632245.0,ok,6235
4800.T,12837675.0,1357.0,17420724975.0,ok,4800
6380.T,1774217.0,3625.0,6431536625.0,ok,6380
6302.T,118601406.0,5933.0,703662141798.0,ok,6302
8725.T,1433828614.0,4925.0,7061605923950.0,ok,8725
6485.T,20357929.0,1666.0,33916309714.0,ok,6485
6140.T,48136499.0,1307.0,62914404193.0,ok,6140
6209.T,26904963.0,4035.0,108561525705.0,ok,6209
6507.T,28215680.0,13680.0,385990502400.0,ok,6507
5406.T,395453033.0,2002.0,791696972066.0,ok,5406
4461.T,10611084.0,15390.0,163304582760.0,ok,4461
6284.T,14991108.0,9360.0,140316770880.0,ok,6284
5105.T,154012092.0,3804.0,585861997968.0,ok,5105
6250.T,40928279.0,4240.0,173535902960.0,ok,6250
6517.T,20069170.0,4140.0,83086363800.0,ok,6517
6999.T,37137296.0,2574.0,95591399904.0,ok,6999
6788.T,7436490.0,4980.0,37033720200.0,ok,6788
6332.T,39602223.0,2783.0,110212986609.0,ok,6332
6247.T,26293913.0,1786.0,46960928618.0,ok,6247
8086.T,163095782.0,1583.0,258180622906.0,ok,8086
6748.T,12883997.0,803.0,10345849591.0,ok,6748
6845.T,500999954.0,1550.5,776800428677.0,ok,6845
6923.T,123110306.0,3672.0,452061043632.0,ok,6923
6457.T,53077693.0,4870.0,258488364910.0,ok,6457
6331.T,22781090.0,3335.0,75974935150.0,ok,6331
6763.T,9233661.0,3035.0,28024161135.0,ok,6763
2461.T,65655829.0,396.0,25999708284.0,ok,2461
6770.T,195144886.0,2205.0,430294473630.0,ok,6770
6466.T,2345785.0,4090.0,9594260650.0,ok,6466
6371.T,101675313.0,2715.0,276048474795.0,ok,6371
6369.T,15584802.0,2508.0,39086683416.0,ok,6369
7760.T,15937299.0,2193.0,34950496707.0,ok,7760
5714.T,59148277.0,9630.0,569597907510.0,ok,5714
6518.T,4577353.0,1945.0,8902951585.0,ok,6518
6989.T,7845153.0,2624.0,20585681472.0,ok,6989
7991.T,10327795.0,1080.0,11154018600.0,ok,7991
6750.T,80538615.0,1909.0,153748216035.0,ok,6750
6345.T,64559332.0,1416.0,91416014112.0,ok,6345
4441.T,10311050.0,1476.0,15219109800.0,ok,4441
6436.T,69260743.0,3841.0,266030513863.0,ok,6436
2433.T,359032040.0,1267.0,454893594680.0,ok,2433
6915.T,8413028.0,3520.0,29613858560.0,ok,6915
6820.T,14352251.0,3335.0,47864757085.0,ok,6820
6291.T,9987596.0,1352.0,13503229792.0,ok,6291
9104.T,343620164.0,6629.0,2277858067156.0,ok,9104
6597.T,3867369.0,3750.0,14502633750.0,ok,6597
1911.T,613181820.0,1329.0,814918638780.0,ok,1911
6463.T,63913770.0,1553.0,99258084810.0,ok,6463
6599.T,1508947.0,3435.0,5183232945.0,ok,6599
7723.T,15341653.0,2888.0,44306693864.0,ok,7723
6328.T,23542893.0,2385.0,56149799805.0,ok,6328
6486.T,45699788.0,3080.0,140755347040.0,ok,6486
1925.T,619346358.0,4571.0,2831032202418.0,ok,1925
5803.T,1655700561.0,6078.0,10063348009758.0,ok,5803
6737.T,39359165.0,3020.0,118864678300.0,ok,6737
6146.T,108467725.0,65910.0,7149107754750.0,ok,6146
6951.T,48701239.0,7425.0,361606699575.0,ok,6951
7409.T,23773056.0,1510.0,35897314560.0,ok,7409
6718.T,16366833.0,2839.0,46465438887.0,ok,6718
6157.T,23482071.0,878.0,20617258338.0,ok,6157
3433.T,59468698.0,2974.0,176859907852.0,ok,3433
2181.T,2230651492.0,283.79998779296875,633058866199.9675,ok,2181
6382.T,16136754.0,1245.0,20090258730.0,ok,6382
3891.T,10546664.0,7490.0,78994513360.0,ok,3891
7715.T,18572791.0,4405.0,81813144355.0,ok,7715
7965.T,63495309.0,1445.0,91750721505.0,ok,7965
6590.T,65638970.0,4580.0,300626482600.0,ok,6590
6309.T,29391466.0,1990.0,58489017340.0,ok,6309
6798.T,6328479.0,3475.0,21991464525.0,ok,6798
5821.T,14805564.0,3625.0,53670169500.0,ok,5821
5711.T,130677441.0,5264.0,687886049424.0,ok,5711
6333.T,15327218.0,3250.0,49813458500.0,ok,6333
6856.T,42016423.0,25540.0,1073099443420.0,ok,6856
6272.T,27007166.0,1544.0,41699064304.0,ok,6272
9672.T,26040920.0,5050.0,131506646000.0,ok,9672
6841.T,250242336.0,5599.0,1401106839264.0,ok,6841
9532.T,379504022.0,5415.0,2055014279130.0,ok,9532
4658.T,34660252.0,1555.0,53896691860.0,ok,4658
6229.T,4367152.0,1515.0,6616235280.0,ok,6229
5869.T,10058247.0,1254.0,12613041738.0,ok,5869
6458.T,67144678.0,1236.0,82990822008.0,ok,6458
7734.T,45455784.0,3480.0,158186128320.0,ok,7734
6357.T,17723816.0,2629.0,46595912264.0,ok,6357
6037.T,18911358.0,1063.0,20102773554.0,ok,6037
6277.T,14664955.0,5150.0,75524518250.0,ok,6277
6810.T,36861232.0,2419.0,89167320208.0,ok,6810
6336.T,7987817.0,1796.0,14346119332.0,ok,6336
9531.T,328504948.0,6005.0,1972672212740.0,ok,9531
6875.T,14083143.0,11790.0,166040255970.0,ok,6875
3763.T,25748767.0,2503.0,64449163801.0,ok,3763
6340.T,27666271.0,5390.0,149121200690.0,ok,6340
6430.T,14559822.0,2456.0,35758922832.0,ok,6430
6932.T,14768618.0,2638.0,38959614284.0,ok,6932
6381.T,39178350.0,1934.0,75770928900.0,ok,6381
3407.T,1339960331.0,1707.0,2287312285017.0,ok,3407
2344.T,,,,error:KeyError,2344
6489.T,,,,error:KeyError,6489
6832.T,11198937.0,2420.0,27101427540.0,ok,6832
6118.T,54380497.0,1252.0,68084382244.0,ok,6118
6420.T,40088451.0,3505.0,140510020755.0,ok,6420
6768.T,79577066.0,820.0,65253194120.0,ok,6768
6804.T,49232672.0,2896.0,142577818112.0,ok,6804
6412.T,98626924.0,2189.0,215894336636.0,ok,6412
7276.T,257489627.0,2729.0,702689192083.0,ok,7276
6459.T,49113258.0,1702.0,83590765116.0,ok,6459
4062.T,279468441.0,21580.0,6030928956780.0,ok,4062
6482.T,31310405.0,741.0,23201010105.0,ok,6482
6474.T,21796237.0,5900.0,128597798300.0,ok,6474
9449.T,95396047.0,3930.0,374906464710.0,ok,9449
7979.T,35589321.0,2333.0,83029885893.0,ok,7979
4047.T,57353949.0,2715.0,155715971535.0,ok,4047
6432.T,46192915.0,7590.0,350604224850.0,ok,6432
6652.T,29640063.0,3810.0,112928640030.0,ok,6652
6016.T,8383617.0,9950.0,83416989150.0,ok,6016
5208.T,32776284.0,2843.0,93182975412.0,ok,5208
6104.T,23647012.0,4280.0,101209211360.0,ok,6104
6039.T,12924460.0,1140.0,14733884400.0,ok,6039
4626.T,111276682.0,4855.0,540248291110.0,ok,4626
7318.T,18174476.0,1545.0,28079565420.0,ok,7318
4204.T,403801010.0,2652.5,1071082179025.0,ok,4204
6919.T,7275338.0,1464.0,10651094832.0,ok,6919
1723.T,63732812.0,2192.0,139702323904.0,ok,1723
7701.T,288940127.0,4156.0,1200835167812.0,ok,7701
6952.T,221413741.0,2399.0,531171564659.0,ok,6952
6862.T,7407010.0,3925.0,29072514250.0,ok,6862
2477.T,5929073.0,3085.0,18291190205.0,ok,2477
4746.T,18024516.0,6490.0,116979108840.0,ok,4746
9790.T,20675187.0,3090.0,63886327830.0,ok,9790
6637.T,12264675.0,4375.0,53657953125.0,ok,6637
7727.T,20360414.0,865.0,17611758110.0,ok,7727
2323.T,21001948.0,318.0,6678619464.0,ok,2323
6226.T,35256054.0,2220.0,78268439880.0,ok,6226
6629.T,13476998.0,1009.0,13598290982.0,ok,6629
6504.T,145991156.0,14970.0,2185487605320.0,ok,6504
5261.T,5557064.0,7670.0,42622680880.0,ok,5261
6407.T,66835011.0,6220.0,415713768420.0,ok,6407
6231.T,3526186.0,13740.0,48449795640.0,ok,6231
6137.T,21110285.0,1516.0,32003192060.0,ok,6137
6677.T,10396907.0,3380.0,35141545660.0,ok,6677
6958.T,71292834.0,778.0,55465824852.0,ok,6958
9024.T,254177788.0,3278.0,833194789064.0,ok,9024
6954.T,933157668.0,6523.0,6086987468364.0,ok,6954
6465.T,140059135.0,5705.0,799037365175.0,ok,6465
4082.T,24148370.0,2085.0,50349351450.0,ok,4082
4187.T,20337271.0,5000.0,101686355000.0,ok,4187
4620.T,28697974.0,962.0,27607450988.0,ok,4620
6727.T,133709531.0,822.0,109909234482.0,ok,6727
4374.T,3745712.0,2589.0,9697648368.0,ok,4374
3445.T,26596410.0,6350.0,168887203500.0,ok,3445
6224.T,12919737.0,1138.0,14702660706.0,ok,6224
6947.T,21075756.0,4955.0,104430370980.0,ok,6947
6986.T,42415125.0,686.0,29096775750.0,ok,6986
6257.T,20924553.0,1001.0,20945477553.0,ok,6257
3441.T,4241897.0,2938.0,12462693386.0,ok,3441
7989.T,20100941.0,2674.0,53749916234.0,ok,7989
7745.T,27387321.0,2950.0,80792596950.0,ok,7745
4928.T,34156207.0,4740.0,161900421180.0,ok,4928
7995.T,17634067.0,6970.0,122909446990.0,ok,7995
6807.T,67428249.0,2345.0,158119243905.0,ok,6807
6368.T,45982348.0,14770.0,679159279960.0,ok,6368
9795.T,15494228.0,2270.0,35171897560.0,ok,9795
6249.T,14026777.0,2765.0,38784038405.0,ok,6249
9202.T,435557474.0,3088.0,1345001479712.0,ok,9202
3003.T,759319729.0,1740.0,1321216328460.0,ok,3003
7735.T,189088106.0,14615.0,2763522669190.0,ok,7735
6238.T,26486742.0,1387.0,36737111154.0,ok,6238
6351.T,47850816.0,2396.0,114650555136.0,ok,6351
7743.T,30265786.0,533.0,16131663938.0,ok,7743
5819.T,6841297.0,1774.0,12136460878.0,ok,5819
6378.T,19264997.0,1306.0,25160086082.0,ok,6378
3834.T,25910998.0,620.0,16064818760.0,ok,3834
9769.T,10868197.0,2627.0,28550753519.0,ok,9769
4970.T,7936738.0,12990.0,103098226620.0,ok,4970
6496.T,3490852.0,5580.0,19478954160.0,ok,6496
5951.T,16184909.0,1219.0,19729404071.0,ok,5951
6849.T,159972406.0,1458.0,233239767948.0,ok,6849
6310.T,22628095.0,1799.0,40707942905.0,ok,6310
6364.T,26903856.0,2558.0,68820063648.0,ok,6364
3939.T,47457294.0,530.0,25152365820.0,ok,3939
8630.T,888769516.0,6714.0,5967198530424.0,ok,8630
4684.T,430554149.0,4539.0,1954285282311.0,ok,4684
7088.T,,,,error:KeyError,7088
4272.T,147293885.0,2141.0,315356207785.0,ok,4272
4733.T,75176703.0,8000.0,601413624000.0,ok,4733
5444.T,59752410.0,13165.0,786640477650.0,ok,5444
4345.T,41061779.0,832.0,34163400128.0,ok,4345
6907.T,7910276.0,795.0,6288669420.0,ok,6907
6908.T,21350505.0,2841.0,60656784705.0,ok,6908
2124.T,158402535.0,1039.0,164580233865.0,ok,2124
6445.T,17852481.0,1431.0,25546900311.0,ok,6445
1928.T,648238209.0,3406.0,2207899339854.0,ok,1928
6287.T,32464609.0,2793.0,90673652937.0,ok,6287
5992.T,25224041.0,3690.0,93076711290.0,ok,5992
6905.T,41134162.0,1395.0,57382155990.0,ok,6905
6349.T,53062716.0,1942.0,103047794472.0,ok,6349
4828.T,59646623.0,1348.0,80403647804.0,ok,4828
9414.T,17833994.0,925.0,16496444450.0,ok,9414
6237.T,22182803.0,4705.0,104370088115.0,ok,6237
6339.T,52516442.0,1270.0,66695881340.0,ok,6339
9412.T,283488918.0,2365.0,670451291070.0,ok,9412
8361.T,41083303.0,8150.0,334828919450.0,ok,8361
5906.T,13925762.0,760.0,10583579120.0,ok,5906
4109.T,12206329.0,5730.0,69942265170.0,ok,4109
9441.T,12240712.0,2947.0,36073378264.0,ok,9441
4743.T,26463156.0,1657.0,43849449492.0,ok,4743
7729.T,40589695.0,19270.0,782163422650.0,ok,7729
5703.T,61591150.0,3000.0,184773450000.0,ok,5703
7244.T,96249094.0,597.0,57460709118.0,ok,7244
5817.T,5625800.0,1040.0,5850832000.0,ok,5817
7780.T,74206064.0,1957.0,145221267248.0,ok,7780
6151.T,18757788.0,1763.0,33069980244.0,ok,6151
8035.T,454651196.0,60090.0,27319990367640.0,ok,8035
6323.T,173431740.0,4363.0,756682681620.0,ok,6323
4224.T,4608040.0,2148.0,9898069920.0,ok,4224
7004.T,168250550.0,1245.0,209471934750.0,ok,7004
3964.T,90720638.0,1485.0,134720147430.0,ok,3964
6239.T,6963156.0,1434.0,9985165704.0,ok,6239
4917.T,,,,error:KeyError,4917
4617.T,49655316.0,3660.0,181738456560.0,ok,4617
9845.T,25028415.0,1416.0,35440235640.0,ok,9845
9701.T,3299009.0,4250.0,14020788250.0,ok,9701
4403.T,224734398.0,2760.5,620379305679.0,ok,4403
2303.T,5945388.0,1363.0,8103563844.0,ok,2303
4043.T,71945163.0,4270.0,307205846010.0,ok,4043
4064.T,9325433.0,3440.0,32079489520.0,ok,4064
5991.T,202595235.0,3753.0,760339916955.0,ok,5991
6317.T,9251521.0,1884.0,17429865564.0,ok,6317
9021.T,455083814.0,2888.0,1314282054832.0,ok,9021
6363.T,26316572.0,3295.0,86713104740.0,ok,6363
9101.T,403556142.0,6490.0,2619079361580.0,ok,9101
6343.T,45001087.0,150.0,6750163050.0,ok,6343
4092.T,8676751.0,5560.0,48242735560.0,ok,4092
6470.T,28389257.0,1213.0,34436168741.0,ok,6470
6149.T,5721580.0,2263.0,12947935540.0,ok,6149
4320.T,16675537.0,1657.0,27631364809.0,ok,4320
4275.T,22054137.0,2127.0,46909149399.0,ok,4275
6273.T,62868778.0,77610.0,4879245860580.0,ok,6273
9744.T,77206709.0,3305.0,255168173245.0,ok,9744
9336.T,99876224.0,3665.0,366046360960.0,ok,9336
9746.T,49794295.0,3955.0,196936436725.0,ok,9746
4973.T,5803161.0,4880.0,28319425680.0,ok,4973
3997.T,40675250.0,386.0,15700646500.0,ok,3997
4182.T,195022703.0,4226.0,824165942878.0,ok,4182
7940.T,8445125.0,1057.0,8926497125.0,ok,7940
6165.T,27536119.0,537.0,14786895903.0,ok,6165
6395.T,126695755.0,1401.0,177500752755.0,ok,6395
8392.T,75716480.0,2860.0,216549132800.0,ok,8392
4045.T,105706850.0,1870.5,197724662925.0,ok,4045
4659.T,8439947.0,4420.0,37304565740.0,ok,4659
6135.T,23391657.0,16430.0,384324924510.0,ok,6135
3104.T,33717687.0,3785.0,127621445295.0,ok,3104
4767.T,41353284.0,387.0,16003720908.0,ok,4767
4628.T,13490100.0,8910.0,120196791000.0,ok,4628
8393.T,83913820.0,2510.0,210623688200.0,ok,8393
7719.T,7166725.0,455.0,3260859875.0,ok,7719
6882.T,13310478.0,1258.0,16744581324.0,ok,6882
6103.T,58220747.0,5470.0,318467486090.0,ok,6103
6440.T,29559107.0,648.0,19154301336.0,ok,6440
6626.T,9595971.0,2270.0,21782854170.0,ok,6626
3817.T,12633889.0,4770.0,60263650530.0,ok,3817
6835.T,103012097.0,256.0,26371096832.0,ok,6835
7970.T,80371721.0,2350.0,188873544350.0,ok,7970
6167.T,19578644.0,1083.0,21203671452.0,ok,6167
7199.T,38803929.0,2109.0,81837486261.0,ok,7199
7202.T,687237114.0,2260.5,1553499496197.0,ok,7202
6391.T,1654164.0,4935.0,8163299340.0,ok,6391
4078.T,16233842.0,4030.0,65422383260.0,ok,4078
7988.T,93101250.0,5053.0,470440616250.0,ok,7988
6588.T,52987605.0,3115.0,165056389575.0,ok,6588
4462.T,13675004.0,3295.0,45059138180.0,ok,4462
4220.T,46891344.0,2719.0,127497564336.0,ok,4220
6899.T,3125631.0,2314.0,7232710134.0,ok,6899
6844.T,10180979.0,3335.0,33953564965.0,ok,6844
5019.T,1198612375.0,1330.0,1594154458750.0,ok,5019
3635.T,334237448.0,1660.0,554834163680.0,ok,3635
9757.T,93369492.0,1136.0,106067742912.0,ok,9757
4119.T,1569506.0,5970.0,9369950820.0,ok,4119
9709.T,14886517.0,1400.0,20841123800.0,ok,9709
8593.T,1433799716.0,1385.5,1986529506518.0,ok,8593
3101.T,88244768.0,1660.0,146486314880.0,ok,3101
4668.T,25464331.0,781.0,19887642511.0,ok,4668
6455.T,41074773.0,2367.0,97223987691.0,ok,6455
4095.T,105350343.0,1733.0,182572144419.0,ok,4095
6289.T,25366042.0,1943.0,49286219606.0,ok,6289
9347.T,36320947.0,2830.0,102788280010.0,ok,9347
4923.T,29136935.0,1238.0,36071525530.0,ok,4923
2207.T,16301830.0,3650.0,59501679500.0,ok,2207
4686.T,64223780.0,3975.0,255289525500.0,ok,4686
4635.T,12494412.0,2072.0,25888421664.0,ok,4635
9534.T,88273250.0,778.0,68676588500.0,ok,9534
2485.T,22502342.0,446.0,10036044532.0,ok,2485
6266.T,14474908.0,4050.0,58623377400.0,ok,6266
7942.T,26207054.0,3190.0,83600502260.0,ok,7942
3837.T,16838771.0,1522.0,25628609462.0,ok,3837
6539.T,24853008.0,1008.0,25051832064.0,ok,6539
6472.T,594506284.0,386.2000122070313,229598334137.9568,ok,6472
7280.T,45983616.0,1285.0,59088946560.0,ok,7280
4094.T,19497114.0,2265.0,44160963210.0,ok,4094
4041.T,53603528.0,3940.0,211197900320.0,ok,4041
9605.T,62486932.0,5910.0,369297768120.0,ok,9605
6469.T,10680730.0,3090.0,33003455700.0,ok,6469
4206.T,63275660.0,4066.0,257278833560.0,ok,4206
2180.T,14811344.0,1307.0,19358426608.0,ok,2180
2121.T,65309346.0,3305.0,215847388530.0,ok,2121
8377.T,119402038.0,8577.0,1024111279926.0,ok,8377
5333.T,281483262.0,6121.0,1722959046702.0,ok,5333
9759.T,75766245.0,2772.0,210024031140.0,ok,9759
6521.T,11596377.0,3380.0,39195754260.0,ok,6521
4008.T,64412925.0,1544.0,99453556200.0,ok,4008
6666.T,8229966.0,847.0,6970781202.0,ok,6666
6413.T,62702384.0,1113.0,69787753392.0,ok,6413
4401.T,96975974.0,4739.0,459569140786.0,ok,4401
2359.T,14366101.0,2126.0,30542330726.0,ok,2359
6337.T,5073353.0,3390.0,17198666670.0,ok,6337
6728.T,49173790.0,7870.0,386997727300.0,ok,6728
4218.T,20180909.0,1936.0,39070239824.0,ok,4218
6730.T,10769653.0,1163.0,12525106439.0,ok,6730
4229.T,6635949.0,4670.0,30989881830.0,ok,4229
7769.T,7961648.0,4025.0,32045633200.0,ok,7769
4951.T,20869890.0,1515.0,31617883350.0,ok,4951
6658.T,14995855.0,461.0,6913089155.0,ok,6658
9367.T,8643450.0,1999.0,17278256550.0,ok,9367
4116.T,68261840.0,1344.0,91743912960.0,ok,4116
9405.T,41611955.0,820.0,34121803100.0,ok,9405
5959.T,44117697.0,939.0,41426517483.0,ok,5959
4216.T,18783892.0,6080.0,114206063360.0,ok,4216
1961.T,152752368.0,2527.0,386005233936.0,ok,1961
7173.T,286255176.0,1798.0,514686806448.0,ok,7173
6072.T,22430494.0,1134.0,25436180196.0,ok,6072
3913.T,2018212.0,1102.0,2224069624.0,ok,3913
4665.T,47078737.0,4543.0,213878702191.0,ok,4665
2173.T,15657148.0,710.0,11116575080.0,ok,2173
4246.T,65057127.0,1130.0,73514553510.0,ok,4246
5801.T,703496452.0,4298.0,3023627750696.0,ok,5801
7925.T,,,,error:KeyError,7925
4629.T,4575177.0,2130.0,9745127010.0,ok,4629
9678.T,34030117.0,5430.0,184783535310.0,ok,9678
4977.T,18213086.0,1221.0,22238178006.0,ok,4977
6223.T,19433900.0,2019.0,39237044100.0,ok,6223
6145.T,16874482.0,2520.0,42523694640.0,ok,6145
9385.T,7727264.0,755.0,5834084320.0,ok,9385
4521.T,37868315.0,3970.0,150337210550.0,ok,4521
9708.T,118327967.0,982.0,116198063594.0,ok,9708
7871.T,19791542.0,1039.0,20563412138.0,ok,7871
5186.T,27433170.0,6910.0,189563204700.0,ok,5186
7595.T,68712592.0,1336.0,91800022912.0,ok,7595
4471.T,22121273.0,6330.0,140027658090.0,ok,4471
7224.T,66143345.0,2023.0,133807986935.0,ok,7224
7317.T,21500488.0,1103.0,23715038264.0,ok,7317
6040.T,46040427.0,468.0,21546919836.0,ok,6040
5942.T,19269415.0,654.0,12602197410.0,ok,5942
4994.T,6069066.0,2755.0,16720276830.0,ok,4994
4465.T,5928940.0,2344.0,13897435360.0,ok,4465
5393.T,187949704.0,3584.0,673611739136.0,ok,5393
9716.T,111592789.0,1212.0,135250460268.0,ok,9716
5975.T,48369751.0,3190.0,154299505690.0,ok,5975
6262.T,23941524.0,546.0,13072072104.0,ok,6262
4071.T,42402150.0,2206.0,93539142900.0,ok,4071
5903.T,5500652.0,1685.0,9268598620.0,ok,5903
5902.T,12314117.0,2592.0,31918191264.0,ok,5902
4625.T,5325155.0,799.0,4254798845.0,ok,4625
4631.T,94713104.0,5567.0,527267849968.0,ok,4631
7912.T,429178682.0,3319.0,1424444045558.0,ok,7912
7272.T,970378089.0,1936.5,1879137169348.5,ok,7272
