ticker,shares_live,last_price,market_cap_live,status,code
6524.T,25908518.0,5110.0,132392526980.0,ok,6524
3449.T,18339090.0,4200.0,77024178000.0,ok,3449
9501.T,1602702047.0,522.7000122070312,837732379531.134,ok,9501
7181.T,1083672718.0,1681.5,1822195675317.0,ok,7181
8473.T,646391692.0,3070.0,1984422494440.0,ok,8473
6777.T,11760380.0,20520.0,241322997600.0,ok,6777
6627.T,9096989.0,12350.0,112347814150.0,ok,6627
6800.T,23316854.0,4445.0,103643416030.0,ok,6800
9022.T,949380107.0,3796.0,3603846886172.0,ok,9022
6387.T,8032340.0,10650.0,85544421000.0,ok,6387
1909.T,26814704.0,3700.0,99214404800.0,ok,1909
6617.T,15800386.0,7820.0,123559018520.0,ok,6617
4971.T,18259767.0,7970.0,145530342990.0,ok,4971
6356.T,14236923.0,1408.0,20045587584.0,ok,6356
8309.T,688338750.0,1728.5,1189793529375.0,ok,8309
9513.T,176008295.0,3933.0,692240624235.0,ok,9513
6278.T,19483267.0,17160.0,334332861720.0,ok,6278
6941.T,18456920.0,9040.0,166850556800.0,ok,6941
9503.T,1114056720.0,2393.5,2666494759320.0,ok,9503
8050.T,81756242.0,11180.0,914034785560.0,ok,8050
6871.T,38764228.0,15320.0,593867972960.0,ok,6871
6920.T,89630666.0,39260.0,3518899947160.0,ok,6920
6264.T,28367690.0,2232.0,63316684080.0,ok,6264
5985.T,30291286.0,2358.0,71426852388.0,ok,5985
4368.T,105796374.0,3520.0,372403236480.0,ok,4368
6648.T,16015485.0,1762.0,28219284570.0,ok,6648
6327.T,8167788.0,3985.0,32548635180.0,ok,6327
9502.T,755393538.0,2849.5,2152493886531.0,ok,9502
6745.T,74605179.0,2087.0,155701008573.0,ok,6745
1662.T,255999291.0,1820.0,465918709620.0,ok,1662
6994.T,25254838.0,1273.0,32149408774.0,ok,6994
6741.T,62370947.0,1830.0,114138833010.0,ok,6741
6492.T,1606741.0,15310.0,24599204710.0,ok,6492
7762.T,243993521.0,2801.0,683425852321.0,ok,7762
6834.T,8939271.0,27600.0,246723879600.0,ok,6834
6914.T,35635389.0,3580.0,127574692620.0,ok,6914
6929.T,20513208.0,3795.0,77847624360.0,ok,6929
6824.T,12169001.0,4355.0,52995999355.0,ok,6824
6785.T,14359283.0,3070.0,44082998810.0,ok,6785
6703.T,86745814.0,2978.0,258329034092.0,ok,6703
