code,company_name,sector_33,market_cap,moat_p,change_p,future_p,price_p,total_p
9022,Central Japan Railway Company,Land Transportation,3234494414848.0,96.89251146204788,99.9490575649516,22.69485481406011,99.9490575649516,79.8713703515028
7181,"JAPAN POST INSURANCE Co.,Ltd.",Insurance,1523559038976.0,98.11512990320938,99.8981151299032,45.6444218033622,99.8981151299032,85.8889454915945
9501,"Tokyo Electric Power Company Holdings,Incorporated",Electric Power and Gas,895750242304.0,3.6678553234844626,100.0,78.62964849719816,100.0,70.57437595517065
3449,TECHNOFLEX CORPORATION,Metal Products,,91.49261334691798,84.36067244014264,78.62964849719816,51.069791136016306,76.38818135506877
6777,santec Holdings Corporation,Electric Appliances,298478436352.0,89.45491594498218,75.29291900152828,95.72083545593479,3.413143148242486,65.97045338767194
6627,"Tera Probe,Inc.",Electric Appliances,,79.57208354559347,58.481915435557816,95.72083545593479,51.069791136016306,71.2111563932756
6524,"KOHOKU KOGYO CO.,LTD.",Electric Appliances,,84.92103922567499,78.85888945491595,100.0,51.069791136016306,78.71242995415182
6387,SAMCO INC.,Machinery,,64.0855832908813,60.97809475292919,88.18135506877228,51.069791136016306,66.07870606214976
8473,"SBI Holdings,Inc.",Securities and Commodities Futures,1881560842240.0,97.04533876719307,99.64340295466123,22.69485481406011,99.74528782475802,79.78222109016811
6800,"YOKOWO CO.,LTD.",Electric Appliances,,19.460010188487008,20.020376974019356,95.72083545593479,51.069791136016306,46.56775343861436
9513,"Electric Power Development Co.,Ltd.",Electric Power and Gas,695936745472.0,62.251655629139066,99.33774834437085,78.62964849719816,99.43963321446765,84.91467142129393
8309,"Sumitomo Mitsui Trust Group,Inc.",Banks,3811114221568.0,99.23586347427407,99.69434538970962,22.69485481406011,98.9302088639837,80.13881813550688
8050,SEIKO GROUP CORPORATION,Precision Instruments,,27.30514518593989,63.015792154865004,95.72083545593479,51.069791136016306,59.277890983188996
6617,"TAKAOKA TOKO CO.,LTD.",Electric Appliances,,26.18441161487519,45.38970962812022,95.72083545593479,51.069791136016306,54.59118695873663
6356,"NIPPON GEAR CO.,LTD.",Machinery,21241489408.0,58.22720326031584,93.63219561895059,88.18135506877228,98.06418746816098,84.52623535404992
1909,"Nippon Dry-Chemical CO.,LTD.",Machinery,,58.17626082526745,61.946001018848705,88.18135506877228,51.069791136016306,64.84335201222618
4971,MEC COMPANY LTD.,Chemicals,,76.31176770249618,92.3586347427407,78.62964849719816,51.069791136016306,74.59246051961284
6278,UNION TOOL CO.,Machinery,443256012800.0,58.83851248089659,35.9144167091187,88.18135506877228,1.1716760061130922,46.026490066225165
9503,"The Kansai Electric Power Company,Incorporated",Electric Power and Gas,2549534162944.0,42.79164544065207,99.38869077941925,78.62964849719816,99.84717269485482,80.16428935303108
6941,"YAMAICHI ELECTRONICS CO.,LTD.",Electric Appliances,186045759488.0,72.28731533367295,1.3754457463066736,95.72083545593479,2.954661232806928,43.08456444218034
6871,"MICRONICS JAPAN CO.,LTD.",Electric Appliances,562081300480.0,66.98930208863983,65.41008660213959,95.72083545593479,1.6811003565970453,57.45033112582781
6264,"Marumae Co.,Ltd.",Machinery,,45.74630667345899,93.58125318390219,88.18135506877228,51.069791136016306,69.64467651553744
