code,fiscal_year,cash,retained_earnings,ppe,rd_expense,capex,depreciation,short_term_debt,long_term_debt,status,interest_bearing_debt
5852,2025,13446000000.0,18754000000.0,65132000000.0,656000000.0,11101000000.0,11731000000.0,26852000000.0,13290000000.0,ok,40142000000.0
5856,2025,2830841000.0,-475990000.0,228339000.0,,228482000.0,84801000.0,911785000.0,432556000.0,ok,1344341000.0
5857,2025,15920000000.0,44939000000.0,5436000000.0,503000000.0,8240000000.0,193000000.0,1000000000.0,28551000000.0,ok,29551000000.0
5858,2025,1064582000.0,1334982000.0,2263816000.0,,411000000.0,400923000.0,1417664000.0,1380516000.0,ok,2798180000.0
5867,2025,1380687000.0,779820000.0,159716000.0,,13004000.0,20767000.0,127514000.0,267527000.0,ok,395041000.0
5868,2025,1586975000.0,1682495000.0,228623000.0,63966000.0,98273000.0,52200000.0,241975000.0,419148000.0,ok,661123000.0
5869,2025,3769356000.0,6890866000.0,4067445000.0,,645006000.0,162031000.0,,,ok,
5870,2025,829478000.0,735528000.0,664702000.0,,95000000.0,138008000.0,1055992000.0,651028000.0,ok,1707020000.0
5871,2025,4592000000.0,10072000000.0,911000000.0,320000000.0,670000000.0,280000000.0,,,ok,
5884,2025,1029592000.0,-31418000.0,802846000.0,,847515000.0,40549000.0,1149579000.0,382945000.0,ok,1532524000.0
5885,2025,3334112000.0,1667124000.0,134563000.0,,100922000.0,55047000.0,,,ok,
5888,2026,1518176000.0,5197209000.0,1318191000.0,,745839000.0,190986000.0,,,ok,
5889,2026,407000000.0,1941000000.0,2665000000.0,,2708000000.0,91000000.0,11950000000.0,,ok,11950000000.0
5891,2025,3452275000.0,3147011000.0,2863237000.0,,753311000.0,297079000.0,482466000.0,1320594000.0,ok,1803060000.0
5892,2025,983419000.0,566683000.0,613437000.0,,338059000.0,114905000.0,1366964000.0,1657595000.0,ok,3024559000.0
5900,2026,2569821000.0,12645048000.0,5153738000.0,187000000.0,811000000.0,386518000.0,,,ok,
