code,company_name,company_name_ja,sector_33,scale_category,market_cap_repaired,avg_trading_value_60d,earnings_to_price,book_to_market,moat_p,change_p,future_p,price_p_repaired,price_p_asis,total_repaired
7991,"MAMIYA-OP CO.,LTD",マミヤ・オーピー株式会社,Machinery,,11024823600.0,39724676.666666664,0.4305673425922207,2.2785564569033103,79.31841421346749,96.95805659429593,88.18135506877228,95.746306673459,51.069791136016306,90.05103313749868
6430,"DAIKOKU DENKI CO.,LTD.",ダイコク電機株式会社,Machinery,TOPIX Small 2,30849726720.0,161995896.66666666,0.25048753495084447,1.4680010753754904,84.60527784510069,94.26075793938716,88.18135506877228,88.66530820173205,51.069791136016306,88.92817476374805
4107,ISE CHEMICALS CORPORATION,伊勢化学工業株式会社,Chemicals,,20892923500.0,2148833416.6666665,0.3110143968123944,1.9178742505805852,86.62824943124258,84.31112909527263,78.62964849719816,93.65766683647479,51.069791136016306,85.80667346504704
6648,KAWADEN CORPORATION,株式会社かわでん,Electric Appliances,,5538332800.0,162615866.66666666,0.35446371153427253,3.203906598028923,58.841133576479585,86.25495339621588,95.72083545593479,97.24910850738665,51.069791136016306,84.51650773400424
3798,"ULS Group,Inc.",ＵＬＳグループ株式会社,Information & Communication,,2882628800.0,119376643.33333331,0.5880049488161639,3.635223515424532,80.81584692439135,81.97346095886587,66.17422312786552,98.42078451349974,51.069791136016306,81.84607888115562
5729,"NIHON SEIKO CO.,LTD",日本精鉱株式会社,Nonferrous Metals,,3778631200.0,151225580.0,0.6499922511622728,3.157979799669256,54.23788694356672,95.3062175587431,78.62964849719816,98.08965868568518,51.069791136016306,81.5658529212983
6675,"SAXA,Inc.",サクサ株式会社,Electric Appliances,,11039741234.0,112361550.2709961,0.6279132683518839,2.7866595192696706,61.86015510155581,63.14413685326785,95.72083545593479,97.50382068262863,51.069791136016306,79.55723702334677
4972,"Soken Chemical & Engineering Co.,Ltd.",綜研化学株式会社,Chemicals,,28600845000.0,220640216.66666663,0.15309089644029747,1.328742385058903,70.73091559122531,85.87500697661439,78.62964849719816,82.5012735608762,51.069791136016306,79.43421115647851
9722,FUJITA KANKO INC.,藤田観光株式会社,Services,TOPIX Small 1,21283093824.0,492975990.0,0.43659066096498733,1.729917666316068,69.85283294717959,82.15758776580901,54.3555781966378,93.35201222618441,51.069791136016306,74.9295027839527
7595,ARGO GRAPHICS Inc.,株式会社アルゴグラフィックス,Information & Communication,TOPIX Small 1,27628723000.0,319902865.0,0.27564209174633225,2.159705644014021,68.57845890072987,70.18758720767985,66.17422312786552,94.31991849210391,51.069791136016306,74.81504693209479
5975,Topre Corporation,東プレ株式会社,Metal Products,TOPIX Small 1,136162824320.0,237861173.33333337,0.10509476482633523,1.6396325584090234,50.53546376705225,88.59158899369314,78.62964849719816,81.20224146714213,51.069791136016306,74.73973568127141
3443,"KAWADA TECHNOLOGIES,INC.",川田テクノロジーズ株式会社,Metal Products,TOPIX Small 2,20252837650.0,603407098.0633545,0.5508857668643782,4.521292353321165,53.355608467431615,64.46316347602836,78.62964849719816,98.72643912379012,51.069791136016306,73.79371489111206
6580,"Writeup Co.,Ltd.",株式会社ライトアップ,Services,,3857543700.0,205702778.33333337,0.12758248208568576,0.816131000667601,78.78404660903863,94.1285929564101,54.3555781966378,65.91951095262353,51.069791136016306,73.29693217867751
7722,"KOKUSAI CO.,LTD.",国際計測器株式会社,Precision Instruments,,10559172000.0,54644238.333333336,0.09472920793410695,1.0987270592807845,44.86220414949733,78.57894736842105,95.72083545593479,68.16097809475292,51.069791136016306,71.83074126715152
7715,"NAGANO KEIKI CO.,LTD.",長野計器株式会社,Precision Instruments,TOPIX Small 2,65010527920.0,259309571.66666663,0.09437426823467641,0.6869024207117991,61.455044615840976,66.61832338003013,95.72083545593479,53.948038716250636,51.069791136016306,69.43556054201414
1435,robot home Inc.,株式会社ｒｏｂｏｔ　ｈｏｍｅ,Real Estate,TOPIX Small 2,14471340100.0,133587750.0,0.13763915340501187,0.7716655764313078,70.86566709169307,91.75718591282023,45.924605196128375,65.69026999490576,51.069791136016306,68.55943204888686
1723,"NIHON DENGI CO.,LTD.",日本電技株式会社,Construction,,35708700000.0,641578548.3333334,0.1796200925824799,1.1073491894132241,86.22812765503397,80.41019701959033,22.69485481406011,79.57208354559347,51.069791136016306,67.22631575856947
9024,SEIBU HOLDINGS INC.,株式会社西武ホールディングス,Land Transportation,TOPIX Mid400,740179722630.0,5192218363.333333,0.3491760069860697,0.7662031026530771,75.84156570728183,98.54950605570129,22.69485481406011,71.11563932755986,96.94345389709628,67.05039147615078
7347,"Mercuria Holdings Co.,Ltd.",株式会社マーキュリアホールディングス,Securities and Commodities Futures,,14227717800.0,31540935.0,0.1348053164225678,1.34985415580846,84.55215287926723,78.67042473628398,22.69485481406011,81.48242485990829,51.069791136016306,66.84996432237989
9009,"Keisei Electric Railway Co.,Ltd.",京成電鉄株式会社,Land Transportation,TOPIX Mid400,525094007400.0,2677283185.0,0.13723447417884205,0.9991696583966766,58.8167089338002,88.51186024446056,46.23025980641874,73.12786551197146,51.069791136016306,66.67167362416274
