code,company_name_ja,sector_33,per,pbr,altman_z,moat_p,change_p,future_p,price_p,total
7991,マミヤ・オーピー株式会社,Machinery,2.363932853737356,0.4440173302612831,2.923326960062115,84.54277286135692,87.05014749262537,85.07374631268436,100.0,89.16666666666666
3640,株式会社電算,Information & Communication,8.341573776978983,1.2089381825737089,3.2621846313540948,83.89380530973452,87.05014749262537,94.3952802359882,86.84365781710915,88.04572271386431
6626,ＳＥＭＩＴＥＣ株式会社,Electric Appliances,6.9970775995651975,0.9379246769492455,4.479527511552403,88.67256637168141,68.58407079646017,94.15929203539824,96.34218289085545,86.93952802359883
6822,大井電気株式会社,Electric Appliances,5.137965090179303,0.7223602724152809,2.233345533074787,66.4306784660767,87.05014749262537,96.16519174041298,97.93510324483776,86.8952802359882
4112,保土谷化学工業株式会社,Chemicals,8.036950788726239,0.6284832352639672,2.588854941790038,53.333333333333336,96.99115044247787,99.64601769911503,95.33923303834808,86.32743362831859
4113,田岡化学工業株式会社,Chemicals,7.2030909167794315,0.5754996689010217,2.7606489534153678,55.45722713864307,96.99115044247787,93.74631268436579,98.46607669616519,86.16519174041298
6638,株式会社ミマキエンジニアリング,Electric Appliances,9.219559433838166,1.7579261317232673,3.0179492951022096,86.07669616519173,87.05014749262537,95.98820058997049,73.86430678466077,85.7448377581121
4934,プレミアアンチエイジング株式会社,Chemicals,10.997675426751591,0.7836467664145235,3.810782299550877,90.20648967551622,68.58407079646017,87.99410029498526,94.92625368731564,85.42772861356931
4559,ゼリア新薬工業株式会社,Pharmaceutical,9.25985284036274,1.0278988346908189,2.3045296891459217,77.34513274336283,87.05014749262537,94.86725663716814,82.4188790560472,85.4203539823009
4251,恵和株式会社,Chemicals,9.78219105268586,0.9300317330589719,4.237718173594527,76.46017699115045,68.58407079646017,97.81710914454277,93.5103244837758,84.0929203539823
3089,テクノアルファ株式会社,Wholesale Trade,4.479857386921278,0.7992029524028155,4.8650029294842945,93.03834808259587,96.99115044247787,45.48672566371682,98.52507374631269,83.5103244837758
7745,株式会社Ａ＆Ｄホロンホールディングス,Precision Instruments,12.441114405605173,1.8878098219501367,4.330623675911058,79.41002949852506,96.99115044247787,98.82005899705014,57.93510324483776,83.28908554572271
4540,株式会社ツムラ,Pharmaceutical,8.032589761028879,0.840050578049741,3.2094330808955394,57.46312684365782,87.05014749262537,92.09439528023599,93.6283185840708,82.5589970501475
6835,アライドテレシスホールディングス株式会社,Electric Appliances,9.02501911602297,1.236127452611343,2.4974437247248042,93.27433628318585,46.63716814159292,99.58702064896755,90.4424778761062,82.48525073746313
7575,日本ライフライン株式会社,Wholesale Trade,11.40753828163572,1.773943221450746,6.963674559669665,85.07374631268436,87.05014749262537,91.5929203539823,64.83775811209439,82.1386430678466
4414,株式会社フレクト,Information & Communication,7.871240113931022,2.084072613385407,6.274473929295627,96.7551622418879,87.05014749262537,62.92035398230088,81.17994100294985,81.976401179941
2924,イフジ産業株式会社,Foods,7.614584970504282,1.434088129020697,5.102929413940323,90.50147492625369,87.05014749262537,62.27138643067847,87.13864306784662,81.74041297935104
4521,科研製薬株式会社,Pharmaceutical,10.780725030476873,0.984952307808221,4.750369641434301,87.02064896755162,46.63716814159292,99.76401179941003,91.38643067846608,81.20206489675516
5947,リンナイ株式会社,Metal Products,13.399301648596321,1.0792155161981989,4.389752601826075,63.1858407079646,96.99115044247787,88.93805309734513,74.57227138643067,80.92182890855456
6676,株式会社バッファロー,Electric Appliances,11.49772881118881,1.53330282301219,4.944074357122257,89.73451327433628,68.58407079646017,86.84365781710915,77.5221238938053,80.67109144542772
6989,北陸電気工業株式会社,Electric Appliances,9.382717170464904,0.9063391657640999,2.654251507428722,50.796460176991154,87.05014749262537,95.81120943952803,88.73156342182891,80.59734513274337
6455,株式会社モリタホールディングス,Transportation Equipment,10.163494427242316,0.9951074460195287,3.626637572478878,51.1504424778761,96.99115044247787,83.15634218289085,90.50147492625369,80.44985250737463
4204,積水化学工業株式会社,Chemicals,12.734908080576892,1.282171142978048,3.44060076974404,66.78466076696165,96.99115044247787,91.94690265486726,65.95870206489676,80.4203539823009
6282,オイレス工業株式会社,Machinery,13.442748099225787,1.1071671531934828,5.514082622892018,63.36283185840708,96.99115044247787,92.27138643067848,68.67256637168143,80.32448377581122
7254,株式会社ユニバンス,Transportation Equipment,5.8098049401197605,0.6438302411239125,2.9213137291830398,67.9646017699115,87.05014749262537,66.72566371681415,99.41002949852508,80.28761061946902
4633,サカタインクス株式会社,Chemicals,9.88547144512844,1.0280909055161676,3.0618844944522907,53.687315634218294,96.99115044247787,88.34808259587021,81.23893805309734,80.06637168141593
6658,シライ電子工業株式会社,Electric Appliances,3.2950853932316493,0.6875958976526756,3.0122650871878243,74.74926253687315,87.05014749262537,58.525073746312685,99.1740412979351,79.87463126843657
4977,新田ゼラチン株式会社,Chemicals,5.477383745320197,0.8764159378103571,3.064088788403185,73.39233038348083,68.58407079646017,80.70796460176992,95.28023598820059,79.49115044247787
6824,新コスモス電機株式会社,Electric Appliances,13.917674510612372,1.0338488418984941,4.324503145161732,58.76106194690266,87.05014749262537,96.46017699115043,75.69321533923303,79.49115044247787
7280,株式会社ミツバ,Electric Appliances,4.338076981132075,0.5328801341918727,1.8597939248986175,52.27138643067847,68.58407079646017,98.37758112094396,97.81710914454277,79.26253687315634
6287,株式会社サトー,Machinery,11.578808956327416,1.1300728209803457,3.3070385118473737,73.86430678466077,68.58407079646017,92.15339233038348,81.41592920353983,79.00442477876106
6249,株式会社ゲームカード・ジョイコホールディングス,Machinery,5.888860978590951,0.6618436587883959,5.708930105678481,66.54867256637168,68.58407079646017,81.47492625368731,99.35103244837758,78.98967551622418
6430,ダイコク電機株式会社,Machinery,4.627505972457746,0.7895992608280372,5.113735106895398,85.13274336283186,46.63716814159292,85.01474926253687,98.64306784660766,78.85693215339234
6794,フォスター電機株式会社,Electric Appliances,12.084663833907056,1.021546272788116,3.673607763334328,60.17699115044248,87.05014749262537,90.29498525073745,77.75811209439529,78.82005899705015
7888,三光合成株式会社,Chemicals,7.282491620214395,0.8704598117087159,2.457616071967591,56.932153392330385,87.05014749262537,76.99115044247787,94.15929203539824,78.78318584070797
4972,綜研化学株式会社,Chemicals,12.715907513687815,1.4650617773708525,4.460838557388563,73.6283185840708,87.05014749262537,84.42477876106194,70.02949852507373,78.78318584070796
6445,株式会社ジャノメ,Machinery,13.82408025487013,0.720808653885221,2.785942484126376,41.6519174041298,96.99115044247787,94.92625368731564,80.70796460176992,78.5693215339233
4534,持田製薬株式会社,Pharmaceutical,19.822661786279685,0.8622571216352701,4.847465558561527,48.37758112094395,96.99115044247787,99.29203539823008,69.49852507374631,78.53982300884955
2209,井村屋グループ株式会社,Foods,13.754961860262858,1.366862621416778,3.446497650527861,85.78171091445428,96.99115044247787,70.08849557522124,61.120943952802364,78.49557522123894
9474,株式会社ゼンリン,Information & Communication,18.29401718956255,0.9564107929464161,2.903762077514716,70.3244837758112,96.99115044247787,81.71091445427729,64.71976401179941,78.43657817109144
7803,株式会社ブシロード,Other Products,15.819901846713654,2.2508537622330933,3.7434671669675863,83.1858407079646,96.99115044247787,85.81120943952803,47.61061946902655,78.39970501474926
3836,株式会社アバントグループ,Information & Communication,11.655682560977882,2.566589386875449,6.072889363945471,94.98525073746312,87.05014749262537,67.02064896755162,64.36578171091445,78.35545722713864
7521,株式会社ムサシ,Wholesale Trade,5.5256619070512825,0.5583415770646254,3.0769377432218414,46.13569321533924,87.05014749262537,80.29498525073745,99.58702064896755,78.2669616519174
4440,株式会社ヴィッツ,Information & Communication,11.157732570185798,1.6813404637627636,5.1575603545253825,87.31563421828909,87.05014749262537,62.56637168141593,76.10619469026548,78.25958702064898
6405,鈴茂器工株式会社,Machinery,8.948604715468539,0.8223758811269658,4.867428892535284,66.01769911504425,68.58407079646017,82.30088495575221,95.75221238938053,78.16371681415929
4465,株式会社ニイタカ,Chemicals,7.697299278037325,0.9417691138004598,3.70230183252227,56.342182890855455,87.05014749262537,74.89675516224189,94.33628318584071,78.15634218289087
4043,株式会社トクヤマ,Chemicals,13.135190953052847,1.1217705745678417,2.829101435824455,65.36873156342183,87.05014749262537,95.63421828908555,64.48377581120944,78.13421828908555
5939,株式会社大谷工業,Metal Products,10.23514314814865,0.926742598626725,3.0081027086730954,56.7551622418879,87.05014749262537,76.16519174041298,91.91740412979351,77.97197640117994
4914,高砂香料工業株式会社,Chemicals,9.084680653431983,0.8471315463748514,2.5910860649675778,57.286135693215336,68.58407079646017,99.23303834808259,86.60766961651917,77.92772861356931
4526,理研ビタミン株式会社,Foods,10.047039688032369,1.1914368276515153,4.051581628502757,57.16814159292035,87.05014749262537,92.56637168141593,74.51327433628319,77.82448377581122
5013,株式会社ユシロ,Oil and Coal Products,8.596280060816682,0.8800816855681566,3.429811701818352,56.99115044247788,96.99115044247787,64.92625368731564,92.27138643067848,77.79498525073747
4994,大成ラミックグループ株式会社,Chemicals,9.88845325151444,0.6646197418448195,3.354388994853912,54.749262536873154,87.05014749262537,72.8023598820059,96.16519174041298,77.69174041297936
1972,三晃金属工業株式会社,Construction,8.599838803128188,0.9331854746707007,3.8731081769494162,53.21533923303835,96.99115044247787,63.36283185840708,95.57522123893806,77.28613569321534
9560,株式会社プログリット,Services,12.163115413220398,4.739759956119371,6.139550553394145,95.929203539823,96.99115044247787,61.6519174041298,53.80530973451327,77.09439528023599
4168,株式会社ヤプリ,Information & Communication,10.549186024407863,3.279448240370478,6.26565488951392,92.44837758112095,68.58407079646017,94.57227138643067,51.681415929203546,76.82153392330383
5284,ヤマウホールディングス株式会社,Glass and Ceramics Products,5.608790085105006,1.1067094803981616,3.1053150013388424,75.81120943952803,87.05014749262537,49.26253687315634,94.69026548672566,76.70353982300885
6923,スタンレー電気株式会社,Electric Appliances,11.200719614271556,0.7548113454064578,3.843371696648007,35.9882005899705,87.05014749262537,95.10324483775811,88.49557522123894,76.65929203539824
6850,株式会社チノー,Electric Appliances,12.3850125,1.1062552610554068,3.4074009941384236,50.26548672566372,87.05014749262537,92.62536873156341,76.51917404129793,76.61504424778761
3773,株式会社アドバンスト・メディア,Information & Communication,11.703916564735982,1.339541893321681,4.106751048832969,75.87020648967552,68.58407079646017,94.51327433628319,66.4896755162242,76.36430678466077
7131,のむら産業株式会社,Wholesale Trade,9.196314732297463,2.034039282104748,4.076479218885625,91.74041297935102,87.05014749262537,47.256637168141594,79.05604719764013,76.27581120943952
