code,company_name_ja,company_name,sector_33,market,scale_category,fiscal_year,price_used,market_cap,per,pbr,shares_source,post_filing_split,avg_trading_value_60d,moat_p,change_p,future_p,price_p,total,units,shares,cost,weight_pct
7991,マミヤ・オーピー株式会社,"MAMIYA-OP CO.,LTD",Machinery,Standard Market(Domestic),,2025.0,1080.0,11154018600.0,2.363932853737356,0.4440173302612831,live,False,39724676.666666664,74.38990402762394,76.57879566443714,88.21853961677887,98.42050750906266,84.40193670447565,2,200,216000.0,4.32
6149,株式会社小田原エンジニアリング,"Odawara Engineering Co.,Ltd.",Machinery,Standard Market(Domestic),,2025.0,2263.0,12947935540.0,5.592215233118103,0.6988148391058255,live,False,39992515.0,60.15411456528452,90.83507787305518,88.21853961677887,92.51683065769032,82.93114067820223,1,100,226300.0,4.526
6626,ＳＥＭＩＴＥＣ株式会社,SEMITEC Corporation,Electric Appliances,Standard Market(Domestic),,2025.0,2270.0,21782854170.0,6.9970775995651975,0.9379246769492455,live,False,53840140.0,79.73153956446336,61.73552970173762,95.75349559813569,84.02382185396168,80.31109667957459,1,100,227000.0,4.54
7722,国際計測器株式会社,"KOKUSAI CO.,LTD.",Precision Instruments,Standard Market(Domestic),,2025.0,796.0,10725436136.0,10.722626807776363,0.9244752242095261,live,False,54644238.333333336,49.47324164148652,95.83031345500059,95.75349559813569,77.34334541688244,79.60009902787631,3,300,238800.0,4.776
6658,シライ電子工業株式会社,"Shirai Electronics Industrial Co.,Ltd.",Electric Appliances,Standard Market(Domestic),,2025.0,461.0,6913089155.0,3.2950853932316493,0.6875958976526756,live,False,79449121.66666667,59.75347137183612,64.75872982103903,95.75349559813569,93.91506991196272,78.54519167574338,5,500,230500.0,4.61
4112,保土谷化学工業株式会社,"Hodogaya Chemical Co.,Ltd.",Chemicals,Prime Market (Domestic),TOPIX Small 2,2025.0,2310.0,36785123760.0,8.036950788726239,0.6284832352639672,live,True,164561026.66666666,63.5403042436918,74.44145504969144,78.6380113930606,91.81771103055411,77.10937042924948,1,100,231000.0,4.62
4994,大成ラミックグループ株式会社,"Taisei Lamick Group Head Quarter & Innovation Co.,Ltd.",Chemicals,Standard Market(Domestic),TOPIX Small 2,2025.0,2755.0,16720276830.0,9.88845325151444,0.6646197418448195,live,False,47970096.666666664,58.183986808442924,77.60952234306176,78.6380113930606,87.2087001553599,75.4100551749813,1,100,275500.0,5.510000000000001
3834,株式会社朝日ネット,"Asahi Net,Inc.",Information & Communication,Prime Market (Domestic),TOPIX Small 2,2025.0,620.0,16064818760.0,9.169417100456622,1.1397530159631075,live,False,36314050.0,84.23719178199602,75.88380908595553,66.23511134127395,74.10668047643708,75.11569817141564,4,400,248000.0,4.96
3930,株式会社はてな,"Hatena Co.,Ltd.",Information & Communication,Growth Market(Domestic),,2025.0,743.0,2227331965.0,9.647057652826986,0.790900904979625,live,False,90137698.33333331,80.13578484807734,69.13452862187752,66.23511134127395,83.84256861729673,74.83699835713139,3,300,222900.0,4.458
5819,カナレ電気株式会社,"Canare Electric Co.,Ltd.",Nonferrous Metals,Standard Market(Domestic),,2025.0,1774.0,12136460878.0,10.105893752253463,0.6371239919782962,live,False,21169063.333333332,71.51454668591926,46.354350672036226,84.67115484205075,87.3640600725013,72.47602806812688,1,100,177400.0,3.5479999999999996
7745,株式会社Ａ＆Ｄホロンホールディングス,"A&D HOLON Holdings Company,Limited",Precision Instruments,Prime Market (Domestic),TOPIX Small 1,2025.0,2950.0,80792596950.0,12.441114405605173,1.8878098219501367,live,False,457789410.0,70.4509602681102,72.02709983940305,95.75349559813569,51.63127912998446,72.46570870890835,1,100,295000.0,5.8999999999999995
9507,四国電力株式会社,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,Prime Market (Domestic),TOPIX Mid400,2025.0,1807.5,369401807985.0,5.392333522881541,0.8379441388090545,live,False,1122384626.6666667,55.32461333791937,65.50920934238972,78.6380113930606,88.4774728120145,71.98732672134605,1,100,180750.0,3.615
5729,日本精鉱株式会社,"NIHON SEIKO CO.,LTD",Nonferrous Metals,Standard Market(Domestic),,2025.0,1776.0,17410071168.0,7.088557408326517,1.459004705417595,live,True,151225580.0,53.30736807802026,83.77862361451768,78.6380113930606,69.78249611600208,71.37662480040015,1,100,177600.0,3.5520000000000005
9247,ＴＲＥホールディングス株式会社,TRE HOLDINGS CORPORATION,Services,Prime Market (Domestic),TOPIX Small 1,2025.0,2013.0,94660010511.0,7.588585097883598,1.2550050448253918,live,False,730388958.3333334,63.458336609404355,92.16806188390906,54.453650958052826,73.97721387881927,71.01431583254637,1,100,201300.0,4.026
8920,株式会社　東　祥,"TOSHO CO.,LTD.",Services,Standard Market(Domestic),TOPIX Small 2,2025.0,720.0,25226285040.0,10.356451110187848,0.5968486633092791,live,False,89364801.66666667,54.24362333138928,86.98323780365536,54.453650958052826,87.59709994821335,70.8194030103277,3,300,216000.0,4.32
3089,テクノアルファ株式会社,"Techno Alpha Co.,Ltd.",Wholesale Trade,Standard Market(Domestic),,2025.0,1047.0,1848635550.0,4.479857386921278,0.7992029524028155,live,False,48838031.666666664,78.80415844723323,88.16294110480129,22.760227861211806,89.97928534438114,69.92665318940686,3,300,314100.0,6.282
7347,株式会社マーキュリアホールディングス,"Mercuria Holdings Co.,Ltd.",Securities and Commodities Futures,Prime Market (Domestic),,2025.0,791.0,15304365293.0,8.585879915556992,0.7968805605877197,live,False,31540935.0,89.39318518370082,80.42053170091484,22.760227861211806,86.14707405489384,69.68025470018031,3,300,237300.0,4.746
9513,電源開発株式会社,"Electric Power Development Co.,Ltd.",Electric Power and Gas,Prime Market (Domestic),TOPIX Mid400,2025.0,3933.0,692240624235.0,6.751590990295523,0.4730028549568091,live,False,5372123065.0,50.536988180749304,52.22015396022997,78.6380113930606,96.19368203003626,69.39720889101903,1,100,393300.0,7.866
5947,リンナイ株式会社,RINNAI CORPORATION,Metal Products,Prime Market (Domestic),TOPIX Mid400,2025.0,3609.0,498293229708.0,13.399301648596321,1.0792155161981989,live,False,1455609815.0,66.61763489116777,65.83338706062393,78.6380113930606,64.60383221128949,68.92321638903545,1,100,360900.0,7.217999999999999
5975,東プレ株式会社,Topre Corporation,Metal Products,Prime Market (Domestic),TOPIX Small 1,2025.0,3190.0,154299505690.0,10.782634918937806,0.6911295309441585,live,False,237861173.33333337,45.96713933001123,61.86659032687561,78.6380113930606,84.23096841015018,67.6756773650244,1,100,319000.0,6.38
