code,company_name,sector_33,fiscal_year,decision_anchor_date,market_equity_pti,moat_p,change_p,future_p,price_p,total_equal25,total_current_weights,future_return_252d
1301,"KYOKUYO CO.,LTD.","Fishery, Agriculture and Forestry",2023,2023-06-28,39296932950.0,24.603836712664016,11.236506378802748,19.479882237487733,71.5161923454367,31.7091044185978,26.761671131561712,0.1435165396009106
1332,Nissui Corporation,"Fishery, Agriculture and Forestry",2023,2023-06-29,201417948593.40363,28.42719728424052,35.59862610402355,19.479882237487733,63.66535819430814,36.792765955014985,32.82158411167058,0.33779271039894
1333,Umios Corporation,"Fishery, Agriculture and Forestry",2023,2023-06-28,41625426737.17255,25.371400034556967,11.236506378802748,19.479882237487733,97.52208047105005,38.40246728047437,30.892823346971603,0.3020527030983801
1375,"YUKIGUNI FACTORY CO.,LTD.","Fishery, Agriculture and Forestry",2023,2023-06-29,39285149000.0,30.96507772938487,11.236506378802748,39.0333660451423,21.123650637880274,25.58965019780255,26.97720732274088,0.0377203231920881
1376,"KANEKO SEEDS CO.,LTD.","Fishery, Agriculture and Forestry",2023,2023-08-29,16203611382.0,27.044445990456097,11.236506378802748,19.479882237487733,65.72620215897939,30.87175919143149,26.625355386930742,-0.0040342236815279
1377,SAKATA SEED CORPORATION,"Fishery, Agriculture and Forestry",2023,2023-08-31,186941892500.0,73.98463650188546,35.59862610402355,19.479882237487733,36.97252208047105,41.508916730966945,42.484890459888504,-0.1726908079850637
1379,HOKUTO CORPORATION,"Fishery, Agriculture and Forestry",2023,2023-06-24,58461523320.0,21.084044312534846,35.59862610402355,19.479882237487733,25.98135426889107,25.535976730734298,24.966037631346325,0.0367758545217982
1382,"HOB Co.,Ltd.","Fishery, Agriculture and Forestry",2023,2023-09-29,1841028900.0,65.71065399457385,75.02453385672227,19.479882237487733,32.04121687929343,48.06407174201932,49.11947686569306,-0.2290428804976039
1384,"Hokuryo Co.,Ltd.","Fishery, Agriculture and Forestry",2023,2023-06-29,7401625000.0,55.583332815432335,75.02453385672227,19.479882237487733,68.86653581943082,54.738571182268295,51.605078352971205,0.1818653583540252
1407,West Holdings Corporation,Construction,2023,2023-11-28,128080222200.0,48.92600210706137,75.02453385672227,19.479882237487733,21.24631992149166,41.16918453069076,42.464846755769045,-0.4148593416056099
1414,"SHO-BOND Holdings Co.,Ltd.",Construction,2023,2023-09-29,77311971620.0,67.70050613766503,35.59862610402355,19.479882237487733,75.04906771344456,49.457020548155214,46.3111331955684,-0.0168907667859102
1417,MIRAIT ONE Corporation,Construction,2023,2023-06-29,175151814194.5,27.811705235800712,35.59862610402355,19.479882237487733,65.43179587831207,37.08050236390602,32.90190214973923,0.1787670238765606
1419,"Tama Home Co.,Ltd.",Construction,2023,2023-08-30,102184110000.0,46.98830949358393,35.59862610402355,19.479882237487733,37.68400392541707,34.93770544012807,34.49271463413994,0.1682571493429674
1429,"Nippon Aqua Co.,Ltd.",Construction,2023,2024-03-30,33135651000.0,66.09707132245421,75.02453385672227,19.479882237487733,27.674190382728163,47.068919449848096,48.580348089572375,-0.2683122763042438
1430,First-corporation Inc.,Construction,2023,2023-08-29,9355422720.0,34.188791175430524,11.236506378802748,19.479882237487733,63.32188420019627,32.05676599797932,28.408011248605604,0.0250625927921825
