code,company_name,sector_33,qmj_profitability,piotroski,cls_future,price_established,bespoke_moat,bespoke_change,bespoke_future,bespoke_price,total_established,total_bespoke,altman_z,magic_formula,future_return_252d
1301,"KYOKUYO CO.,LTD.","Fishery, Agriculture and Forestry",-0.6906905794616617,1.0,49.17544663307375,64.49469631211535,27.641192935138445,14.956481905634448,19.28538708199725,72.743930371049,36.76133760879524,31.842647732478238,3.041579080730596,2086.0,0.1435165396009106
1332,Nissui Corporation,"Fishery, Agriculture and Forestry",-0.5659339103102398,2.0,64.06321575813102,56.6866437314499,31.493669487970273,39.738891433806685,19.28538708199725,65.34585432890518,45.642464498396706,37.63742556115437,2.496124162125853,2477.0,0.33779271039894
1333,Umios Corporation,"Fishery, Agriculture and Forestry",-0.5900672790233473,1.0,62.52863032524049,83.5434312359971,28.577387439181496,14.956481905634448,19.28538708199725,97.68666972056803,46.86211635364178,37.42556115437471,2.2886566952354483,2040.0,0.3020527030983801
1375,"YUKIGUNI FACTORY CO.,LTD.","Fishery, Agriculture and Forestry",-0.5677319196648445,1.0,60.81081081081081,23.537667555120148,33.710695524143375,14.956481905634448,38.639486944571686,25.240494732020153,28.727668346312413,24.793861658268437,1.9797908184603719,3192.0,0.0377203231920881
1376,"KANEKO SEEDS CO.,LTD.","Fishery, Agriculture and Forestry",-0.8963876113245984,1.0,76.52313330279432,67.36200876157244,30.13713077827515,14.956481905634448,19.28538708199725,67.54466330737517,43.432203389830505,31.55061841502519,2.8441174138670227,2008.0,-0.0040342236815279
1377,SAKATA SEED CORPORATION,"Fishery, Agriculture and Forestry",0.1910536389269549,2.0,90.03664681630784,40.848407201822205,74.89554085188193,39.738891433806685,19.28538708199725,40.17407237746221,57.85616124599175,46.10054970224462,7.207974727070489,2463.0,-0.1726908079850637
1379,HOKUTO CORPORATION,"Fishery, Agriculture and Forestry",-0.6757708979102074,2.0,48.3737975263399,21.525166717313045,24.009505251180865,39.738891433806685,19.28538708199725,29.317453046266603,29.867155290884106,23.625744388456255,1.7313110317887874,3955.0,0.0367758545217982
1382,"HOB Co.,Ltd.","Fishery, Agriculture and Forestry",0.6940823244589148,3.0,66.17040769583141,43.38390124595864,67.29699239292162,76.6376546037563,19.28538708199725,35.06642235455795,66.17040769583143,51.36280348144755,7.273789759188137,1563.0,-0.2290428804976039
1384,"Hokuryo Co.,Ltd.","Fishery, Agriculture and Forestry",0.17424056837349658,3.0,17.533211177278975,73.63836638882788,57.19103158784786,76.6376546037563,19.28538708199725,70.47640861200183,58.88685295464957,58.47457627118644,2.9035987221624335,1474.0,0.1818653583540252
1407,West Holdings Corporation,Construction,0.11008415378165386,3.0,36.57810352725607,28.09874338654335,50.26936709098955,76.6376546037563,19.28538708199725,24.255611543747136,48.3566193311956,41.94915254237288,2.2860524817252865,2508.0,-0.4148593416056099
