code,company_name_ja,sector_33,price_used,market_cap,per,pbr,moat_p,change_p,future_p,price_p,total
7991,マミヤ・オーピー株式会社,Machinery,1080.0,11154018600.0,2.363932853737356,0.4440173302612831,74.38990402762394,76.57879566443714,88.21853961677887,98.42050750906266,84.40193670447565
6149,株式会社小田原エンジニアリング,Machinery,2263.0,12947935540.0,5.592215233118103,0.6988148391058255,60.15411456528452,90.83507787305518,88.21853961677887,92.51683065769032,82.93114067820223
6626,ＳＥＭＩＴＥＣ株式会社,Electric Appliances,2270.0,21782854170.0,6.9970775995651975,0.9379246769492455,79.73153956446336,61.73552970173762,95.75349559813569,84.02382185396168,80.31109667957459
7722,国際計測器株式会社,Precision Instruments,796.0,10725436136.0,10.722626807776363,0.9244752242095261,49.47324164148652,95.83031345500059,95.75349559813569,77.34334541688244,79.60009902787631
6405,鈴茂器工株式会社,Machinery,1177.0,13132551696.0,8.948604715468539,0.8223758811269658,73.58798100912568,68.14154118949787,88.21853961677887,84.87830139823924,78.70659080341042
6658,シライ電子工業株式会社,Electric Appliances,461.0,6913089155.0,3.2950853932316493,0.6875958976526756,59.75347137183612,64.75872982103903,95.75349559813569,93.91506991196272,78.54519167574338
6262,株式会社ＰＥＧＡＳＵＳ,Machinery,546.0,13072072104.0,11.696054664796073,0.3886168389018769,46.51326253345093,91.12511566748708,88.21853961677887,86.84619368203002,78.17577787493673
6430,ダイコク電機株式会社,Machinery,2456.0,35758922832.0,4.627505972457746,0.7895992608280372,85.13066342128022,48.590556961087366,88.21853961677887,90.21232522009322,78.03802130480992
6419,株式会社マースグループホールディングス,Machinery,3190.0,57200480150.0,6.562489942667035,0.7311809865854725,83.4676013801903,47.23223910561847,88.21853961677887,90.70429829104091,77.40566959840714
4112,保土谷化学工業株式会社,Chemicals,2310.0,36785123760.0,8.036950788726239,0.6284832352639672,63.5403042436918,74.44145504969144,78.6380113930606,91.81771103055411,77.10937042924948
6923,スタンレー電気株式会社,Electric Appliances,3672.0,452061043632.0,11.200719614271556,0.7548113454064578,59.2858609239153,72.04445103848893,95.75349559813569,80.78715691351631,76.96774111851406
6929,日本セラミック株式会社,Electric Appliances,3795.0,77847624360.0,11.015653652186218,1.555801194316206,77.1835502459072,73.58138667388495,95.75349559813569,60.20196789228379,76.6801001025529
6638,株式会社ミマキエンジニアリング,Electric Appliances,1965.0,56911086525.0,9.219559433838166,1.7579261317232673,62.29596741445671,86.14228587491216,95.75349559813569,61.885033661315376,76.51919563720499
6677,株式会社エスケーエレクトロニクス,Electric Appliances,3380.0,35141545660.0,12.867454446857444,1.0159180669496406,68.19016066014316,70.62642237009952,95.75349559813569,68.69497669601242,75.8162638310977
6863,株式会社ニレコ,Electric Appliances,992.0,21301127712.0,13.587476525847052,1.2775627954544924,74.50152636291293,73.59952551931624,95.75349559813569,59.06266183324703,75.72930232840297
4994,大成ラミックグループ株式会社,Chemicals,2755.0,16720276830.0,9.88845325151444,0.6646197418448195,58.183986808442924,77.60952234306176,78.6380113930606,87.2087001553599,75.4100551749813
6794,フォスター電機株式会社,Electric Appliances,3125.0,70211896875.0,12.084663833907056,1.021546272788116,50.63246090828981,83.90381903112147,95.75349559813569,70.37804246504402,75.16695450064775
3834,株式会社朝日ネット,Information & Communication,620.0,16064818760.0,9.169417100456622,1.1397530159631075,84.23719178199602,75.88380908595553,66.23511134127395,74.10668047643708,75.11569817141564
6458,新晃工業株式会社,Machinery,1236.0,82990822008.0,10.221803425052347,1.291083105289359,72.27845108000903,72.07611526088733,88.21853961677887,67.81460383221129,75.09692744747163
6822,大井電気株式会社,Electric Appliances,4800.0,6420796800.0,5.137965090179303,0.7223602724152809,41.79159879237585,70.42497051583227,95.75349559813569,92.20611082340756,75.04404393243783
6137,小池酸素工業株式会社,Machinery,1516.0,32003192060.0,7.654434838555369,0.7022710070000658,52.351728132070505,68.79310043366213,88.21853961677887,90.44536509580527,74.9521833195792
6824,新コスモス電機株式会社,Electric Appliances,4355.0,52995999355.0,13.917674510612372,1.0338488418984941,68.40460645329979,70.83175469101907,95.75349559813569,64.7332988089073,74.93078888784046
3930,株式会社はてな,Information & Communication,743.0,2227331965.0,9.647057652826986,0.790900904979625,80.13578484807734,69.13452862187752,66.23511134127395,83.84256861729673,74.83699835713139
4113,田岡化学工業株式会社,Chemicals,743.0,10646168375.0,7.2030909167794315,0.5754996689010217,50.22228837690601,76.4046803523796,78.6380113930606,94.04453650958052,74.82737915798168
6333,株式会社帝国電機製作所,Machinery,3250.0,49813458500.0,12.198898648908433,1.4867596545739905,79.25964427096211,71.69161506156202,88.21853961677887,57.94924909373382,74.27976201075921
6763,帝国通信工業株式会社,Electric Appliances,3035.0,28024161135.0,13.159212280765187,0.9864372047661708,61.89607018454476,70.12030802305603,95.75349559813569,68.59140341791817,74.09031930591365
4977,新田ゼラチン株式会社,Chemicals,1221.0,22238178006.0,5.477383745320197,0.8764159378103571,66.20196474538682,63.910944709710925,78.6380113930606,87.05334023821854,73.95106527159422
4914,高砂香料工業株式会社,Chemicals,1272.0,124014975600.0,9.084680653431983,0.8471315463748514,50.492283785579666,82.58857305672971,78.6380113930606,83.71310201967893,73.85799256376222
6249,株式会社ゲームカード・ジョイコホールディングス,Machinery,2765.0,38784038405.0,5.888860978590951,0.6618436587883959,79.99170492278007,33.69974920605075,88.21853961677887,93.34541688244433,73.81385265701351
6643,株式会社戸上電機製作所,Electric Appliances,5830.0,27030888280.0,11.173533064179773,1.1932790393761639,64.24078295734022,66.72543710414811,95.75349559813569,67.37441740031072,73.52353326498368
6676,株式会社バッファロー,Electric Appliances,2910.0,69055359240.0,11.49772881118881,1.53330282301219,62.31882389780933,76.87237006140425,95.75349559813569,59.0108751941999,73.48889118788729
4972,綜研化学株式会社,Chemicals,3355.0,55676969810.0,12.715907513687815,1.4650617773708525,71.53048679946838,85.392011716578,78.6380113930606,57.068876229932684,73.15734653475991
6209,リケンＮＰＲ株式会社,Machinery,4035.0,108561525705.0,11.749082868506493,0.701895827250451,50.74282956602457,72.10315849644361,88.21853961677887,81.04609010875194,73.02765444699975
4414,株式会社フレクト,Information & Communication,1052.0,5673487548.0,7.871240113931022,2.084072613385407,79.84950952388789,85.04431210873376,66.23511134127395,60.48679440704298,72.90393184523465
4465,株式会社ニイタカ,Chemicals,2344.0,13897435360.0,7.697299278037325,0.9417691138004598,58.41929014319361,71.46675208274142,78.6380113930606,82.96219575349559,72.8715623431228
4013,勤次郎株式会社,Information & Communication,676.0,13315553940.0,13.143570322332282,1.2991803396090775,79.65948640792996,85.79447023067848,66.23511134127395,59.63231486276541,72.83034571066196
5819,カナレ電気株式会社,Nonferrous Metals,1774.0,12136460878.0,10.105893752253463,0.6371239919782962,71.51454668591926,46.354350672036226,84.67115484205075,87.3640600725013,72.47602806812688
7745,株式会社Ａ＆Ｄホロンホールディングス,Precision Instruments,2950.0,80792596950.0,12.441114405605173,1.8878098219501367,70.4509602681102,72.02709983940305,95.75349559813569,51.63127912998446,72.46570870890835
6505,東洋電機製造株式会社,Electric Appliances,2401.0,23038281686.0,10.826260190789474,0.8412737515428154,31.995623929493046,82.32666979608747,95.75349559813569,79.69963749352667,72.44385670431072
6343,フリージア・マクロス株式会社,Machinery,150.0,6750163050.0,4.2956692109141725,0.34562799088997825,42.06567480530495,59.98099391525506,88.21853961677887,99.06784049715174,72.33326220862266
6850,株式会社チノー,Electric Appliances,1677.0,27692887950.0,12.3850125,1.1062552610554068,58.196847366893714,68.79623917990695,95.75349559813569,66.57172449508028,72.32957666000416
4440,株式会社ヴィッツ,Information & Communication,1193.0,4771213813.0,11.157732570185798,1.6813404637627636,75.31483949653865,89.8861993654614,66.23511134127395,57.819782496116,72.3139831748475
6378,木村化工機株式会社,Machinery,1306.0,25160086082.0,10.896529268947596,1.3150099870381018,53.81198128078728,81.52469236988573,88.21853961677887,65.38063179699637,72.23396126611206
3640,株式会社電算,Information & Communication,2769.0,15367022385.0,8.341573776978983,1.2089381825737089,70.20509491598725,78.56995363137314,66.23511134127395,73.74417400310719,72.18858347293538
6247,株式会社日阪製作所,Machinery,1786.0,46960928618.0,12.112697605880836,0.7824343727486296,51.36053205779255,71.33691437679262,88.21853961677887,77.6540652511652,72.14251282563231
9507,四国電力株式会社,Electric Power and Gas,1807.5,369401807985.0,5.392333522881541,0.8379441388090545,55.32461333791937,65.50920934238972,78.6380113930606,88.4774728120145,71.98732672134605
3913,ＧｒｅｅｎＢｅｅ株式会社,Information & Communication,1102.0,2224069624.0,10.907755956409577,1.5995126989709212,86.66928227682962,74.45251079685308,66.23511134127395,59.865354738477464,71.80556478835852
6382,トリニティ工業株式会社,Machinery,1245.0,20090258730.0,8.064202398838512,0.6110217453725432,46.895112069587796,58.61353876818013,88.21853961677887,92.07664422578975,71.45095867008413
5729,日本精鉱株式会社,Nonferrous Metals,1776.0,17410071168.0,7.088557408326517,1.459004705417595,53.30736807802026,83.77862361451768,78.6380113930606,69.78249611600208,71.37662480040015
6648,株式会社かわでん,Electric Appliances,1762.0,28219284570.0,14.374580172152951,1.5903294567647381,63.33432641724742,75.76148891712113,95.75349559813569,50.284826514759196,71.28353436181585
4064,日本カーバイド工業株式会社,Chemicals,3440.0,32079489520.0,13.093669191836735,0.8462905481981744,47.480052700364055,85.59977689292839,78.6380113930606,73.22630761263595,71.23603714974725
9247,ＴＲＥホールディングス株式会社,Services,2013.0,94660010511.0,7.588585097883598,1.2550050448253918,63.458336609404355,92.16806188390906,54.453650958052826,73.97721387881927,71.01431583254637
6592,マブチモーター株式会社,Electric Appliances,1786.0,425435633812.0,16.193500068970767,1.2728599965653011,70.49189956919172,65.19958288878894,95.75349559813569,52.53754531330917,70.99563084235638
6118,アイダエンジニアリング株式会社,Machinery,1252.0,68084382244.0,13.34726176122329,0.81404620256585,44.8841103986562,76.75491686062524,88.21853961677887,73.43345416882445,70.8227552612212
