code,company_name_ja,company_name,sector_33,market,price_used,market_cap,per,pbr,altman_z,rd_expense,moat_p,change_p,future_p,price_p,total,shares,cost,weight_pct
7991,マミヤ・オーピー株式会社,"MAMIYA-OP CO.,LTD",Machinery,Standard Market(Domestic),1080.0,11154018600.0,2.363932853737356,0.4440173302612831,2.923326960062115,502000000.0,84.54277286135692,87.05014749262537,85.07374631268436,100.0,89.16666666666666,200,216000.0,4.32
3640,株式会社電算,"DENSAN CO.,LTD.",Information & Communication,Standard Market(Domestic),2769.0,15367022385.0,8.341573776978983,1.2089381825737089,3.2621846313540948,733491000.0,83.89380530973452,87.05014749262537,94.3952802359882,86.84365781710915,88.04572271386431,100,276900.0,5.538
6626,ＳＥＭＩＴＥＣ株式会社,SEMITEC Corporation,Electric Appliances,Standard Market(Domestic),2270.0,21782854170.0,6.9970775995651975,0.9379246769492455,4.479527511552403,996504000.0,88.67256637168141,68.58407079646017,94.15929203539824,96.34218289085545,86.93952802359883,100,227000.0,4.54
4112,保土谷化学工業株式会社,"Hodogaya Chemical Co.,Ltd.",Chemicals,Prime Market (Domestic),2310.0,36785123760.0,8.036950788726239,0.6284832352639672,2.588854941790038,5638000000.0,53.333333333333336,96.99115044247787,99.64601769911503,95.33923303834808,86.32743362831859,100,231000.0,4.62
4113,田岡化学工業株式会社,"TAOKA CHEMICAL COMPANY,LIMITED",Chemicals,Standard Market(Domestic),743.0,10646168375.0,7.2030909167794315,0.5754996689010217,2.7606489534153678,812000000.0,55.45722713864307,96.99115044247787,93.74631268436579,98.46607669616519,86.16519174041298,300,222900.0,4.458
6638,株式会社ミマキエンジニアリング,"MIMAKI ENGINEERING CO.,LTD.",Electric Appliances,Prime Market (Domestic),1965.0,56911086525.0,9.219559433838166,1.7579261317232673,3.0179492951022096,3711216000.0,86.07669616519173,87.05014749262537,95.98820058997049,73.86430678466077,85.7448377581121,100,196500.0,3.93
4559,ゼリア新薬工業株式会社,"ZERIA PHARMACEUTICAL CO.,LTD.",Pharmaceutical,Prime Market (Domestic),2094.0,92302259412.0,9.25985284036274,1.0278988346908189,2.3045296891459217,4106685000.0,77.34513274336283,87.05014749262537,94.86725663716814,82.4188790560472,85.4203539823009,100,209400.0,4.188
3089,テクノアルファ株式会社,"Techno Alpha Co.,Ltd.",Wholesale Trade,Standard Market(Domestic),1047.0,1848635550.0,4.479857386921278,0.7992029524028155,4.8650029294842945,5018000.0,93.03834808259587,96.99115044247787,45.48672566371682,98.52507374631269,83.5103244837758,200,209400.0,4.188
7745,株式会社Ａ＆Ｄホロンホールディングス,"A&D HOLON Holdings Company,Limited",Precision Instruments,Prime Market (Domestic),2950.0,80792596950.0,12.441114405605173,1.8878098219501367,4.330623675911058,5963000000.0,79.41002949852506,96.99115044247787,98.82005899705014,57.93510324483776,83.28908554572271,100,295000.0,5.8999999999999995
4540,株式会社ツムラ,TSUMURA & CO.,Pharmaceutical,Prime Market (Domestic),3720.0,277309096320.0,8.032589761028879,0.840050578049741,3.2094330808955394,8355000000.0,57.46312684365782,87.05014749262537,92.09439528023599,93.6283185840708,82.5589970501475,100,372000.0,7.4399999999999995
