code,ticker,company_name,sector,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,liquidity_score,distress_safety_score
9022,9022.T,Central Japan Railway Company,Land Transportation,0.7777777777777778,0.9433962264150944,0.5,0.5555555555555556,0.2407407407407407,0.9814814814814815,1.0
9501,9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Electric Power and Gas,1.0,0.76,0.5,0.6730769230769231,0.12,1.0,1.0
3449,3449.T,TECHNOFLEX CORPORATION,Metal Products,0.012195121951219513,0.10144927536231885,0.7073170731707317,0.9695121951219512,0.7926829268292683,0.8902439024390244,1.0
6178,6178.T,"JAPAN POST HOLDINGS Co.,Ltd.",Services,0.9932885906040269,0.7493606138107417,0.5,0.4419642857142857,0.31890660592255127,0.9977678571428571,1.0
6777,6777.T,santec Holdings Corporation,Electric Appliances,0.015873015873015872,0.0625,0.9526315789473684,0.9289473684210526,0.5820105820105821,0.9,1.0
6627,6627.T,"Tera Probe,Inc.",Electric Appliances,0.3492063492063492,0.575,0.14736842105263157,0.2,0.9365079365079365,0.7473684210526316,1.0
6524,6524.T,"KOHOKU KOGYO CO.,LTD.",Electric Appliances,0.06878306878306878,0.1,0.6789473684210526,0.6973684210526315,0.43386243386243384,0.7736842105263158,1.0
6387,6387.T,SAMCO INC.,Machinery,0.031914893617021274,0.05747126436781609,0.7393617021276596,0.4095744680851064,0.19680851063829785,0.8563829787234043,1.0
5076,5076.T,INFRONEER Holdings Inc.,Construction,0.23134328358208955,0.03007518796992481,0.4925373134328358,0.022388059701492536,0.5,0.9104477611940298,1.0
6800,6800.T,"YOKOWO CO.,LTD.",Electric Appliances,0.2328042328042328,0.0875,0.4631578947368421,0.9289473684210526,0.8253968253968254,0.7,1.0
9513,9513.T,"Electric Power Development Co.,Ltd.",Electric Power and Gas,0.6153846153846154,0.6,0.5,0.6730769230769231,0.52,0.8076923076923077,1.0
8050,8050.T,SEIKO GROUP CORPORATION,Precision Instruments,0.4473684210526316,0.4117647058823529,0.8157894736842105,0.868421052631579,0.7894736842105263,0.868421052631579,1.0
6617,6617.T,"TAKAOKA TOKO CO.,LTD.",Electric Appliances,0.291005291005291,0.25,0.5421052631578948,0.6973684210526315,0.3386243386243386,0.7263157894736842,1.0
6356,6356.T,"NIPPON GEAR CO.,LTD.",Machinery,0.22340425531914893,0.4482758620689655,0.7925531914893617,0.2047872340425532,0.2712765957446809,0.9361702127659575,1.0
1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Machinery,0.6170212765957447,0.9022988505747126,0.8191489361702128,0.9202127659574468,0.9468085106382979,0.7978723404255319,1.0
4971,4971.T,MEC COMPANY LTD.,Chemicals,0.016216216216216217,0.08823529411764706,0.8378378378378378,0.6054054054054054,0.03825136612021862,0.9243243243243243,1.0
6278,6278.T,UNION TOOL CO.,Machinery,0.047872340425531915,0.034482758620689655,0.324468085106383,0.675531914893617,0.5212765957446808,0.9414893617021277,1.0
9503,9503.T,"The Kansai Electric Power Company,Incorporated",Electric Power and Gas,0.2692307692307692,0.72,0.5,0.6730769230769231,0.19999999999999996,0.9615384615384616,1.0
6941,6941.T,"YAMAICHI ELECTRONICS CO.,LTD.",Electric Appliances,0.10052910052910052,0.19375,0.7894736842105263,0.6973684210526315,0.8571428571428572,0.868421052631579,1.0
6871,6871.T,"MICRONICS JAPAN CO.,LTD.",Electric Appliances,0.047619047619047616,0.125,0.8105263157894737,0.9289473684210526,0.40740740740740744,0.9368421052631579,1.0
6264,6264.T,"Marumae Co.,Ltd.",Machinery,0.07446808510638298,0.22988505747126436,0.17553191489361702,0.675531914893617,0.9521276595744681,0.8617021276595744,1.0
6920,6920.T,Lasertec Corporation,Electric Appliances,0.005291005291005291,0.175,0.9421052631578948,0.42105263157894735,0.17460317460317465,1.0,1.0
5985,5985.T,SUNCALL CORPORATION,Metal Products,0.0975609756097561,0.5,0.43902439024390244,0.4695121951219512,0.6829268292682926,0.9878048780487805,0.0
2153,2153.T,E・J Holdings Inc.,Services,0.8322147651006712,0.7953964194373402,0.3257918552036199,0.21316964285714285,0.4305239179954442,0.7633928571428571,1.0
6648,6648.T,KAWADEN CORPORATION,Electric Appliances,0.9576719576719577,0.975,0.7684210526315789,0.42105263157894735,0.2063492063492064,0.43157894736842106,1.0
6327,6327.T,"KITAGAWA SEIKI CO.,LTD.",Machinery,0.026595744680851064,0.022988505747126436,0.2712765957446808,0.4095744680851064,0.32978723404255317,0.8404255319148937,1.0
4368,4368.T,"FUSO CHEMICAL CO.,LTD.",Chemicals,0.22702702702702704,0.5470588235294118,0.42162162162162165,0.8810810810810811,0.9016393442622951,0.9027027027027027,1.0
6745,6745.T,HOCHIKI CORPORATION,Electric Appliances,0.7301587301587301,0.89375,0.8842105263157894,0.9289473684210526,0.7089947089947091,0.6736842105263158,1.0
9502,9502.T,"Chubu Electric Power Company,Incorporated",Electric Power and Gas,0.3076923076923077,0.48,0.5,0.34615384615384615,0.16000000000000003,0.8846153846153846,1.0
6695,6695.T,"Castrico Co.,Ltd.",Electric Appliances,0.9841269841269841,0.94375,0.8,0.2,0.5,0.005263157894736842,1.0
1662,1662.T,"Japan Petroleum Exploration Co.,Ltd.",Mining,0.75,0.5,0.75,1.0,0.75,1.0,1.0
6994,6994.T,SHIZUKI ELECTRIC COMPANY INC.,Electric Appliances,0.4656084656084656,0.28125,0.37894736842105264,0.42105263157894735,0.8042328042328042,0.6368421052631579,1.0
6834,6834.T,"SEIKOH GIKEN Co.,Ltd.",Electric Appliances,0.037037037037037035,0.0375,0.4789473684210526,0.6973684210526315,0.5026455026455027,0.9263157894736842,1.0
7762,7762.T,"Citizen Watch Co.,Ltd.",Precision Instruments,0.3684210526315789,0.29411764705882354,0.6578947368421053,0.5921052631578947,0.5526315789473684,0.8947368421052632,1.0
6492,6492.T,OKANO VALVE MFG.CO.LTD.,Machinery,0.15425531914893617,0.1206896551724138,0.3351063829787234,0.2047872340425532,0.32446808510638303,0.7819148936170213,1.0
6914,6914.T,"OPTEX GROUP Company,Limited",Electric Appliances,0.1746031746031746,0.35625,0.9315789473684211,0.6973684210526315,0.6084656084656085,0.6631578947368421,1.0
