code,ticker,company_name,market,sector,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty,missingness_penalty,missing_metric_count
9022,9022.T,Central Japan Railway Company,Prime Market (Domestic),Land Transportation,0.7652962123664616,0.8774545454545455,0.5001643655489809,0.8333333333333334,0.4631921824104235,1.0,0.984188447886415,0.0,0.0,0.0,0.16666666666666666,1
9501,9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Prime Market (Domestic),Electric Power and Gas,0.9867270961476206,0.9290909090909092,0.5001643655489809,0.8333333333333334,0.40651465798045605,1.0,0.995159728944821,0.0,0.0,0.0,0.16666666666666666,1
3449,3449.T,TECHNOFLEX CORPORATION,Standard Market(Domestic),Metal Products,0.0524441566850113,0.0843636363636363,0.4322813938198553,1.0,0.7856677524429967,1.0,0.8357534688609228,0.0,0.0,0.0,0.0,0
6178,6178.T,"JAPAN POST HOLDINGS Co.,Ltd.",Prime Market (Domestic),Services,0.9407575267076724,0.7363636363636363,0.5001643655489809,0.6666666666666666,0.38697068403908796,1.0,0.9825750242013552,1.0,0.0,0.0,0.16666666666666666,1
6777,6777.T,santec Holdings Corporation,Standard Market(Domestic),Electric Appliances,0.0051796697960505,0.0469090909090909,0.7932281393819856,1.0,0.6201954397394136,1.0,0.9667634720877702,0.0,0.0,0.0,0.0,0
6627,6627.T,"Tera Probe,Inc.",Standard Market(Domestic),Electric Appliances,0.3072191647782454,0.4574545454545454,0.1199868507560815,0.5,0.9693811074918567,1.0,0.8851242336237496,0.0,0.0,0.0,0.0,0
6524,6524.T,"KOHOKU KOGYO CO.,LTD.",Standard Market(Domestic),Electric Appliances,0.0271932664292651,0.057090909090909,0.5256410256410257,0.8333333333333334,0.4335504885993485,1.0,0.9031945788964182,0.0,0.0,0.0,0.0,0
6387,6387.T,SAMCO INC.,Prime Market (Domestic),Machinery,0.0288119132405309,0.0574545454545454,0.5098619329388561,0.6666666666666666,0.1716612377850163,1.0,0.9070667957405615,0.0,0.0,0.0,0.0,0
5076,5076.T,INFRONEER Holdings Inc.,Prime Market (Domestic),Construction,0.3107801877630301,0.0436363636363636,0.2172912557527942,0.1666666666666666,0.4998371335504886,1.0,0.9557921910293643,0.0,0.0,0.0,0.16666666666666666,1
6800,6800.T,"YOKOWO CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.1932664292651343,0.0541818181818181,0.3675213675213675,1.0,0.8319218241042345,1.0,0.850919651500484,0.0,0.0,0.0,0.0,0
9513,9513.T,"Electric Power Development Co.,Ltd.",Prime Market (Domestic),Electric Power and Gas,0.89640660407899,0.8854545454545455,0.5001643655489809,0.8333333333333334,0.6622149837133551,1.0,0.9599870926105195,0.0,0.0,0.0,0.16666666666666666,1
8050,8050.T,SEIKO GROUP CORPORATION,Prime Market (Domestic),Precision Instruments,0.2534800906442214,0.2145454545454545,0.6886916502301118,1.0,0.7534201954397395,1.0,0.9077121652145853,0.0,0.0,0.0,0.0,0
6617,6617.T,"TAKAOKA TOKO CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.2408546455163483,0.1301818181818181,0.4217619986850756,0.8333333333333334,0.3833876221498371,1.0,0.862213617295902,0.0,0.0,0.0,0.0,0
6356,6356.T,"NIPPON GEAR CO.,LTD.",Standard Market(Domestic),Machinery,0.3020394949821949,0.4978181818181818,0.5486522024983563,0.5,0.22442996742671006,1.0,0.9586963536624717,0.0,0.0,0.0,0.0,0
1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Standard Market(Domestic),Machinery,0.6798316607316284,0.9105454545454544,0.5706771860618014,1.0,0.9,1.0,0.8699580509841884,0.0,0.0,0.0,0.0,0
4971,4971.T,MEC COMPANY LTD.,Prime Market (Domestic),Chemicals,0.0275169957915182,0.1058181818181818,0.6074950690335306,0.8333333333333334,0.12345276872964173,1.0,0.9348176831235883,0.0,0.0,0.0,0.0,0
6278,6278.T,UNION TOOL CO.,Prime Market (Domestic),Machinery,0.0407898996438977,0.0367272727272727,0.2439184746877054,0.8333333333333334,0.4576547231270358,1.0,0.9632139399806389,0.0,0.0,0.0,0.0,0
9503,9503.T,"The Kansai Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,0.6824214956296536,0.9254545454545454,0.5001643655489809,0.8333333333333334,0.4149837133550489,1.0,0.9816069699903195,0.0,0.0,0.0,0.16666666666666666,1
6941,6941.T,"YAMAICHI ELECTRONICS CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.0582712852055681,0.1054545454545454,0.6318211702827088,0.8333333333333334,0.852442996742671,1.0,0.9496611810261375,0.0,0.0,0.0,0.0,0
6871,6871.T,"MICRONICS JAPAN CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.0161864681126578,0.0665454545454545,0.6482577251808022,1.0,0.4061889250814332,1.0,0.9861245563084866,0.0,0.0,0.0,0.0,0
6264,6264.T,"Marumae Co.,Ltd.",Prime Market (Domestic),Machinery,0.0958238912269342,0.2429090909090909,0.1765285996055227,0.8333333333333334,0.9055374592833876,1.0,0.9080348499515973,0.0,0.0,0.0,0.0,0
6920,6920.T,Lasertec Corporation,Prime Market (Domestic),Electric Appliances,0.0051796697960505,0.0821818181818181,0.7705456936226167,0.6666666666666666,0.19478827361563522,1.0,0.9993546305259762,0.0,0.0,0.0,0.0,0
5985,5985.T,SUNCALL CORPORATION,Standard Market(Domestic),Metal Products,0.2563936549044998,0.5001818181818182,0.210387902695595,0.6666666666666666,0.7218241042345277,0.0,0.9548241368183285,1.0,0.0,0.0,0.16666666666666666,1
2153,2153.T,E・J Holdings Inc.,Prime Market (Domestic),Services,0.66461638070573,0.769090909090909,0.5364891518737672,0.5,0.5078175895765472,1.0,0.5750242013552759,0.0,0.0,0.0,0.0,0
6648,6648.T,KAWADEN CORPORATION,Standard Market(Domestic),Electric Appliances,0.970864357397216,0.982909090909091,0.6170282708744247,0.6666666666666666,0.2218241042345277,1.0,0.6385930945466279,0.0,0.0,0.0,0.0,0
6327,6327.T,"KITAGAWA SEIKI CO.,LTD.",Standard Market(Domestic),Machinery,0.0191000323729362,0.0214545454545454,0.2248520710059171,0.6666666666666666,0.2719869706840391,1.0,0.898999677315263,0.0,0.0,0.0,0.0,0
4368,4368.T,"FUSO CHEMICAL CO.,LTD.",Prime Market (Domestic),Chemicals,0.3531887342181936,0.5014545454545455,0.3067061143984221,1.0,0.8775244299674267,1.0,0.9241690868021942,0.0,0.0,0.0,0.0,0
6745,6745.T,HOCHIKI CORPORATION,Prime Market (Domestic),Electric Appliances,0.6859825186144384,0.9014545454545456,0.7357001972386588,1.0,0.7328990228013029,1.0,0.8363988383349468,0.0,0.0,0.0,0.0,0
9502,9502.T,"Chubu Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,0.7261249595338297,0.6912727272727273,0.5001643655489809,0.6666666666666666,0.40977198697068407,1.0,0.9757986447241046,0.0,0.0,0.0,0.16666666666666666,1
6695,6695.T,"Castrico Co.,Ltd.",PRO Market,Electric Appliances,0.9883457429588864,0.9607272727272728,0.6374095989480605,0.5,0.4998371335504886,1.0,0.00032268473701193933,0.0,1.0,0.0,0.16666666666666666,1
1662,1662.T,"Japan Petroleum Exploration Co.,Ltd.",Prime Market (Domestic),Mining,0.6931045645840078,0.9327272727272728,0.1890203813280736,1.0,0.849185667752443,1.0,0.9748305905130688,0.0,0.0,0.0,0.0,0
6994,6994.T,SHIZUKI ELECTRIC COMPANY INC.,Standard Market(Domestic),Electric Appliances,0.4011006798316607,0.1723636363636363,0.3060486522024984,0.6666666666666666,0.8149837133550488,1.0,0.8038076798967408,0.0,0.0,0.0,0.0,0
6834,6834.T,"SEIKOH GIKEN Co.,Ltd.",Standard Market(Domestic),Electric Appliances,0.0148915506636451,0.0192727272727272,0.3839579224194608,0.8333333333333334,0.5469055374592834,1.0,0.9819296547273314,0.0,0.0,0.0,0.0,0
7762,7762.T,"Citizen Watch Co.,Ltd.",Prime Market (Domestic),Precision Instruments,0.2211071544189058,0.2018181818181818,0.6268902038132808,0.8333333333333334,0.5807817589576547,1.0,0.9248144562762182,0.0,0.0,0.0,0.0,0
6492,6492.T,OKANO VALVE MFG.CO.LTD.,Standard Market(Domestic),Machinery,0.1997410165101974,0.1174545454545454,0.2577251808021039,0.5,0.2687296416938111,1.0,0.8583414004517587,0.0,0.0,0.0,0.0,0
6914,6914.T,"OPTEX GROUP Company,Limited",Prime Market (Domestic),Electric Appliances,0.1404985432178698,0.2014545454545454,0.7626561472715319,0.8333333333333334,0.6465798045602607,1.0,0.8276863504356244,0.0,0.0,0.0,0.0,0
7999,7999.T,"MUTOH HOLDINGS CO.,LTD.",Standard Market(Domestic),Electric Appliances,0.3900938815150534,0.2003636363636363,0.4944115713346482,0.6666666666666666,0.2947882736156352,1.0,0.5605033881897387,0.0,0.0,0.0,0.0,0
6741,6741.T,"Nippon Signal Company,Limited",Prime Market (Domestic),Electric Appliances,0.5966332146325671,0.6010909090909091,0.215318869165023,0.8333333333333334,0.22703583061889254,1.0,0.7257179735398516,0.0,0.0,0.0,0.0,0
6929,6929.T,"NIPPON CERAMIC CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.3049530592424733,0.6050909090909091,0.2087442472057856,0.6666666666666666,0.12996742671009776,1.0,0.7902549209422395,0.0,0.0,0.0,0.0,0
6785,6785.T,"SUZUKI CO.,LTD.",Prime Market (Domestic),Electric Appliances,0.2848818387827776,0.404,0.2744904667981591,0.8333333333333334,0.8061889250814332,1.0,0.6563407550822846,0.0,0.0,0.0,0.0,0
