doc_id,zip_path,ok,error
S100WL4I,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100WL4I.zip,True,
S100UA9V,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100UA9V.zip,True,
S100RRLM,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RRLM.zip,True,
S100W59G,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W59G.zip,True,
S100TRX4,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TRX4.zip,True,
S100R42T,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R42T.zip,True,
S100XUQB,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100XUQB.zip,True,
S100VH45,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100VH45.zip,True,
S100T5ZM,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100T5ZM.zip,True,
S100WLC9,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100WLC9.zip,True,
S100U9Y4,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100U9Y4.zip,True,
S100RREU,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RREU.zip,True,
S100WQNU,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100WQNU.zip,True,
S100UGCI,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100UGCI.zip,True,
S100RXAP,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RXAP.zip,True,
S100XZ7G,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100XZ7G.zip,True,
S100VOAE,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100VOAE.zip,True,
S100TC0E,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TC0E.zip,True,
S100X6GM,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100X6GM.zip,True,
S100UUQG,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100UUQG.zip,True,
S100SCKR,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100SCKR.zip,True,
S100XSYD,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100XSYD.zip,True,
S100VHA8,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100VHA8.zip,True,
S100T6MP,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100T6MP.zip,True,
S100WEBB,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100WEBB.zip,True,
S100U42S,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100U42S.zip,True,
S100RH1N,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RH1N.zip,True,
S100XCY4,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100XCY4.zip,True,
S100V0XD,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100V0XD.zip,True,
S100SJWK,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100SJWK.zip,True,
S100W3WQ,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W3WQ.zip,True,
S100TRWG,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TRWG.zip,True,
S100R3SM,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R3SM.zip,True,
S100WX6F,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100WX6F.zip,True,
S100UL6W,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100UL6W.zip,True,
S100S3FO,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100S3FO.zip,True,
S100XBZH,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100XBZH.zip,True,
S100V07I,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100V07I.zip,True,
S100SIN9,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100SIN9.zip,True,
S100W8I9,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W8I9.zip,True,
S100TXD0,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TXD0.zip,True,
S100RSGH,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RSGH.zip,True,
S100W14I,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W14I.zip,True,
S100TWSV,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TWSV.zip,True,
S100RAKN,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RAKN.zip,True,
S100W768,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W768.zip,True,
S100TXPT,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TXPT.zip,True,
S100RAU8,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RAU8.zip,True,
S100W829,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W829.zip,True,
S100TVLR,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TVLR.zip,True,
S100R87R,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R87R.zip,True,
S100W6HN,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W6HN.zip,True,
S100TWAL,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TWAL.zip,True,
S100R8RE,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R8RE.zip,True,
S100W0ET,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W0ET.zip,True,
S100TNB8,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TNB8.zip,True,
S100QYB8,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100QYB8.zip,True,
S100XU9L,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100XU9L.zip,True,
S100VIRD,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100VIRD.zip,True,
S100T4RJ,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100T4RJ.zip,True,
S100W2QE,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W2QE.zip,True,
S100TTDA,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TTDA.zip,True,
S100R3GX,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R3GX.zip,True,
S100XUMN,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100XUMN.zip,True,
S100VGJL,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100VGJL.zip,True,
S100T4WM,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100T4WM.zip,True,
S100W7QE,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W7QE.zip,True,
S100TXSX,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TXSX.zip,True,
S100RADQ,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RADQ.zip,True,
S100WRZ3,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100WRZ3.zip,True,
S100UG8N,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100UG8N.zip,True,
S100RXIU,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RXIU.zip,True,
S100W2HC,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W2HC.zip,True,
S100TSRM,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TSRM.zip,True,
S100R32X,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R32X.zip,True,
S100XTPB,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100XTPB.zip,True,
S100VGUY,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100VGUY.zip,True,
S100T4AL,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100T4AL.zip,True,
