trial_id,algorithm,seed,weights_json,penalty_weights_json,normalization_method,missing_handling,overall_weight_objective,phase1_top5_rank_score,quality_preservation_score,value_discipline_score,distress_control_score,liquidity_adequacy_score,sector_diversity_score,stability_score,interpretability_score,weight_concentration,effective_number_of_weights,top1000_sector_hhi,top1000_distress_flag_rate,top1000_anomaly_flag_rate,top20_phase1_top5_count,top50_phase1_top5_count,top100_phase1_top5_count,top300_phase1_top5_count,top500_phase1_top5_count,top1000_phase1_top5_count,notes
536,optuna_tpe_proxy,42,"{""bm"": 0.1132002568204456, ""distress"": 0.3128538681159688, ""ep"": 0.13770706605840546, ""gp"": 0.21535343795944895, ""liquidity"": 0.13707533671083877, ""piotroski"": 0.07725361448933052, ""sloan"": 0.0065564198455617595}","{""anomaly"": 0.2267089528272757, ""microcap"": 0.10348554954601978, ""missing"": 0.19977441018074796, ""onetime"": 0.04808174405492744}",market_percentile,median_impute_with_missing_penalty,0.9212963999573549,0.999448030987734,1.0,1.0,1.0,1.0,0.5604800000000001,0.7113232813317342,0.7113232813317342,0.2008329357499543,4.979262969322139,0.08790399999999998,0.0,0.0,4,5,5,5,5,5,lightweight deterministic proxy for requested large search budget
290,random_search,42,"{""bm"": 0.1930361348688613, ""distress"": 0.03422660445744769, ""ep"": 0.306933713433473, ""gp"": 0.2504854362053802, ""liquidity"": 0.056061518018825786, ""piotroski"": 0.15647665831515095, ""sloan"": 0.00277993470086099}","{""anomaly"": 0.028606035954858076, ""microcap"": 0.10551071725507903, ""missing"": 0.23719464198014847, ""onetime"": 0.2103812421328073}",market_percentile,median_impute_with_missing_penalty,0.8617692122178214,0.9994286636539702,1.0,1.0,0.964,0.5,0.60417,0.6405539957252284,0.6405539957252284,0.22302123444784933,4.483877970076599,0.079166,0.003,0.042,3,5,5,5,5,5,lightweight deterministic proxy for requested large search budget
768,optuna_tpe_proxy,42,"{""bm"": 0.11438363876668532, ""distress"": 0.09874899850016622, ""ep"": 0.14869958005400924, ""gp"": 0.28396172702210043, ""liquidity"": 0.13579018026046757, ""piotroski"": 0.21425954064991776, ""sloan"": 0.004156334746653567}","{""anomaly"": 0.04704447069733102, ""microcap"": 0.17522041346796108, ""missing"": 0.1603156440174822, ""onetime"": 0.10847940669225893}",market_percentile,median_impute_with_missing_penalty,0.9211740515245176,0.9993899289864429,1.0,1.0,0.9945,1.0,0.5186899999999999,0.752100547726908,0.752100547726908,0.18994420797711623,5.2647038340883565,0.09626200000000001,0.0,0.011,4,5,5,5,5,5,lightweight deterministic proxy for requested large search budget
891,nsga2_proxy,42,"{""bm"": 0.29264949289573694, ""distress"": 0.06876970764813807, ""ep"": 0.1362577037589933, ""gp"": 0.24516498292338665, ""liquidity"": 0.1285701653139339, ""piotroski"": 0.09826368361740315, ""sloan"": 0.030324263842408182}","{""anomaly"": 0.13514179585810926, ""microcap"": 0.042928184933758294, ""missing"": 0.004647642836438415, ""onetime"": 0.29294657121270873}",market_percentile,median_impute_with_missing_penalty,0.9302826302630285,0.9993511943189154,1.0,1.0,0.997,1.0,0.63466,0.7283032616603794,0.7283032616603794,0.19615062897213778,5.098122831622656,0.07306800000000001,0.0,0.006,3,5,5,5,5,5,lightweight deterministic proxy for requested large search budget
513,optuna_tpe_proxy,42,"{""bm"": 0.1975657432032251, ""distress"": 0.03841689221485912, ""ep"": 0.11020419676602178, ""gp"": 0.2543190405158834, ""liquidity"": 0.16137664408500949, ""piotroski"": 0.23031501713272923, ""sloan"": 0.007802466082271882}","{""anomaly"": 0.29902700194329, ""microcap"": 0.029501780061716908, ""missing"": 0.229016116242985, ""onetime"": 0.030098795353514517}",market_percentile,median_impute_with_missing_penalty,0.9257064592409228,0.9993318269851517,1.0,1.0,1.0,1.0,0.5859000000000001,0.7270841153657692,0.7270841153657692,0.19647952669860858,5.089588807560385,0.08281999999999999,0.0,0.0,4,5,5,5,5,5,lightweight deterministic proxy for requested large search budget
645,optuna_tpe_proxy,42,"{""bm"": 0.24788555323609404, ""distress"": 0.16964582207965387, ""ep"": 0.15151738550296912, ""gp"": 0.23626567930575665, ""liquidity"": 0.08349718108553361, ""piotroski"": 0.06786305907952445, ""sloan"": 0.04332531971046827}","{""anomaly"": 0.20776606358937144, ""microcap"": 0.11229026914274168, ""missing"": 0.0016918454467550915, ""onetime"": 0.1031724586394763}",market_percentile,median_impute_with_missing_penalty,0.8854603193180854,0.9993318269851517,1.0,1.0,0.9995,0.5,0.6171499999999999,0.7829496160087931,0.7829496160087931,0.1824601991445877,5.480647312061552,0.07657000000000001,0.0,0.001,3,5,5,5,5,5,lightweight deterministic proxy for requested large search budget
538,optuna_tpe_proxy,42,"{""bm"": 0.0849684319637451, ""distress"": 0.14950820793501057, ""ep"": 0.17900390984822948, ""gp"": 0.2685061751969667, ""liquidity"": 0.13584432003247726, ""piotroski"": 0.13891117373327078, ""sloan"": 0.04325778129030026}","{""anomaly"": 0.25837120260553625, ""microcap"": 0.24565316548273236, ""missing"": 0.03565739687106899, ""onetime"": 0.1366429135325213}",market_percentile,median_impute_with_missing_penalty,0.9293421238468557,0.9992349903163331,1.0,1.0,1.0,1.0,0.5059300000000001,0.8241843815299088,0.8241843815299088,0.17333153364537365,5.769290670709362,0.09881399999999999,0.0,0.0,3,5,5,5,5,5,lightweight deterministic proxy for requested large search budget
270,random_search,42,"{""bm"": 0.23300903166244702, ""distress"": 0.11218424523643868, ""ep"": 0.19878060799440647, ""gp"": 0.2517219436668481, ""liquidity"": 0.037290358193214364, ""piotroski"": 0.13487086738498727, ""sloan"": 0.03214294586165819}","{""anomaly"": 0.07238803550685906, ""microcap"": 0.018212155380573514, ""missing"": 0.04810143748286041, ""onetime"": 0.16466627670197012}",market_percentile,median_impute_with_missing_penalty,0.8780301672746462,0.9992349903163331,1.0,1.0,0.991,0.5,0.59483,0.7504180767614966,0.7504180767614966,0.19037007140560494,5.2529265373304765,0.08103400000000001,0.0,0.018,3,5,5,5,5,5,lightweight deterministic proxy for requested large search budget
325,random_search,42,"{""bm"": 0.14686908407488433, ""distress"": 0.17486285069973406, ""ep"": 0.17592620086354605, ""gp"": 0.1795114800348973, ""liquidity"": 0.11766612747307445, ""piotroski"": 0.16847594799791749, ""sloan"": 0.03668830885594616}","{""anomaly"": 0.2806652570217959, ""microcap"": 0.0012009487328337287, ""missing"": 0.07394275592502804, ""onetime"": 0.042959021322936476}",market_percentile,median_impute_with_missing_penalty,0.9490563638998132,0.9992253066494512,1.0,1.0,1.0,1.0,0.61325,0.8990525214160245,0.8990525214160245,0.1588974386414491,6.293367649912172,0.07735,0.0,0.0,4,5,5,5,5,5,lightweight deterministic proxy for requested large search budget
547,optuna_tpe_proxy,42,"{""bm"": 0.12528691245571852, ""distress"": 0.017759217098750443, ""ep"": 0.3813135505738993, ""gp"": 0.26192394590834644, ""liquidity"": 0.1539389030669419, ""piotroski"": 0.05536398753810457, ""sloan"": 0.004413483358238888}","{""anomaly"": 0.04188083573587472, ""microcap"": 0.165858592060559, ""missing"": 0.2534190173643205, ""onetime"": 0.059330136497479376}",market_percentile,median_impute_with_missing_penalty,0.8423343265432116,0.9992059393156876,0.6666666666666666,1.0,0.9725,1.0,0.5986199999999999,0.5563011556672848,0.5563011556672848,0.25679821334504566,3.8941080896709934,0.08027600000000001,0.001,0.045,4,4,5,5,5,5,lightweight deterministic proxy for requested large search budget
10,random_search,42,"{""bm"": 0.23968304804739154, ""distress"": 0.03502797441298899, ""ep"": 0.28623680382762046, ""gp"": 0.23714098436187736, ""liquidity"": 0.07489406645516777, ""piotroski"": 0.059187858429317654, ""sloan"": 0.06782926446563631}","{""anomaly"": 0.0022086809253016536, ""microcap"": 0.23607731325064152, ""missing"": 0.21154961358790053, ""onetime"": 0.19945525697760963}",market_percentile,median_impute_with_missing_penalty,0.8656426342570205,0.9991865719819237,1.0,1.0,0.9485,0.5,0.62113,0.6784776655052982,0.6784776655052982,0.21055540973592635,4.749343658537088,0.07577400000000002,0.005,0.053,3,5,5,5,5,5,lightweight deterministic proxy for requested large search budget
