weight,mean_top50,selected
bm,0.14445716399682607,0.14285714285714285
ep,0.16467878471955252,0.14285714285714285
gp,0.14558357737537084,0.14285714285714285
piotroski,0.13708997267699788,0.14285714285714285
sloan,0.12168905345618772,0.14285714285714285
distress,0.1359513975552405,0.14285714285714285
liquidity,0.1505500502198245,0.14285714285714285
