code,company_name,sector,market_equity_final,market_equity_method,book_equity,net_income,pbr_raw,per_raw,bm_raw,bm_method,ep_raw,ep_method,bm_winsorized,ep_winsorized,bm_available,ep_available,value_metric_quality_flag,notes,anomaly_flags
6920,Lasertec Corporation,Electric Appliances,3440025272320.0,raw_market_cap,209900000000.0,84652000000.0,15.255912,39.684425,0.0610169935927361,book_equity_over_market_equity,0.0246079587499395,net_income_over_market_equity,0.0974144095975895,0.0246079587499395,True,True,A_raw_market_cap,,
5985,SUNCALL CORPORATION,Metal Products,51071107072.0,raw_market_cap,26592000000.0,-2285000000.0,1.4927381,8.226798,0.5206857952483901,book_equity_over_market_equity,,missing,0.5206857952483901,,True,False,A_raw_market_cap,net_income_nonpositive_or_missing,
2153,E・J Holdings Inc.,Services,29147381120.0,close_times_edinet_shares_outstanding,34053000000.0,3203000000.0,,,1.1683039330293012,book_equity_over_market_equity,0.109889804055233,net_income_over_market_equity,1.1683039330293012,0.109889804055233,True,True,B_price_times_shares,,
6648,KAWADEN CORPORATION,Electric Appliances,5538332800.0,close_times_edinet_shares_outstanding,17744301000.0,1963138000.0,,,3.203906598028923,book_equity_over_market_equity,0.3544637115342725,net_income_over_market_equity,3.203906598028923,0.3544637115342725,True,True,B_price_times_shares,,
6327,"KITAGAWA SEIKI CO.,LTD.",Machinery,40559112000.0,close_times_edinet_shares_outstanding,5077610000.0,394688000.0,,,0.1251903641282876,book_equity_over_market_equity,0.0097311795189204,net_income_over_market_equity,0.1251903641282876,0.0097311795189204,True,True,B_price_times_shares,,
4368,"FUSO CHEMICAL CO.,LTD.",Chemicals,157775075000.0,close_times_edinet_shares_outstanding,104048977000.0,11622785000.0,,,0.6594766442037818,book_equity_over_market_equity,0.0736668006654409,net_income_over_market_equity,0.6594766442037818,0.0736668006654409,True,True,B_price_times_shares,,
6745,HOCHIKI CORPORATION,Electric Appliances,48405558000.0,close_times_edinet_shares_outstanding,59321000000.0,7688000000.0,,,1.2254997659566285,book_equity_over_market_equity,0.1588247366139235,net_income_over_market_equity,1.2254997659566285,0.1588247366139235,True,True,B_price_times_shares,,
9502,"Chubu Electric Power Company,Incorporated",Electric Power and Gas,2142673829888.0,raw_market_cap,2858530000000.0,209137000000.0,0.6827594,9.405776,1.3340947932095752,book_equity_over_market_equity,0.0976056164418323,net_income_over_market_equity,1.3340947932095752,0.0976056164418323,True,True,A_raw_market_cap,,
6695,"Castrico Co.,Ltd.",Electric Appliances,339600000.0,close_times_edinet_shares_outstanding,1475287000.0,79591000.0,,,4.3441902237926975,book_equity_over_market_equity,0.2343669022379269,net_income_over_market_equity,4.3441902237926975,0.2343669022379269,True,True,B_price_times_shares,,
1662,"Japan Petroleum Exploration Co.,Ltd.",Mining,448766967808.0,raw_market_cap,557257000000.0,82848000000.0,0.7150951,8.396399,1.2417513764926127,book_equity_over_market_equity,0.1846125181732306,net_income_over_market_equity,1.2417513764926127,0.1846125181732306,True,True,A_raw_market_cap,,
6994,SHIZUKI ELECTRIC COMPANY INC.,Electric Appliances,32731131888.0,close_times_edinet_shares_outstanding,23747003000.0,1254784000.0,,,0.7255173173130077,book_equity_over_market_equity,0.038336101675116,net_income_over_market_equity,0.7255173173130077,0.038336101675116,True,True,B_price_times_shares,,
6834,"SEIKOH GIKEN Co.,Ltd.",Electric Appliances,244936032256.0,raw_market_cap,28144241000.0,2242292000.0,7.237895,39.39215,0.1149044537905491,book_equity_over_market_equity,0.0091546024459823,net_income_over_market_equity,0.1149044537905491,0.0091546024459823,True,True,A_raw_market_cap,,
7762,"Citizen Watch Co.,Ltd.",Precision Instruments,564015042900.0,close_times_edinet_shares_outstanding,264147000000.0,23876000000.0,,,0.4683332533859975,book_equity_over_market_equity,0.0423322042568875,net_income_over_market_equity,0.4683332533859975,0.0423322042568875,True,True,B_price_times_shares,,
6492,OKANO VALVE MFG.CO.LTD.,Machinery,27381300000.0,close_times_edinet_shares_outstanding,12001000000.0,825000000.0,,,0.4382918269037628,book_equity_over_market_equity,0.0301300522619451,net_income_over_market_equity,0.4382918269037628,0.0301300522619451,True,True,B_price_times_shares,,
6914,"OPTEX GROUP Company,Limited",Electric Appliances,156018595920.0,close_times_edinet_shares_outstanding,56149000000.0,6599000000.0,,,0.3598865870372973,book_equity_over_market_equity,0.0422962401442434,net_income_over_market_equity,0.3598865870372973,0.0422962401442434,True,True,B_price_times_shares,,
7999,"MUTOH HOLDINGS CO.,LTD.",Electric Appliances,34593940080.0,close_times_edinet_shares_outstanding,24604000000.0,1462000000.0,,,0.711222831024803,book_equity_over_market_equity,0.0422617370735759,net_income_over_market_equity,0.711222831024803,0.0422617370735759,True,True,B_price_times_shares,,
6741,"Nippon Signal Company,Limited",Electric Appliances,99170214360.0,close_times_edinet_shares_outstanding,102623000000.0,8503000000.0,,,1.0348167608821128,book_equity_over_market_equity,0.0857414704089785,net_income_over_market_equity,1.0348167608821128,0.0857414704089785,True,True,B_price_times_shares,,
6929,"NIPPON CERAMIC CO.,LTD.",Electric Appliances,84242401575.0,close_times_edinet_shares_outstanding,50037000000.0,7262000000.0,,,0.5939645483094717,book_equity_over_market_equity,0.0862036203174327,net_income_over_market_equity,0.5939645483094717,0.0862036203174327,True,True,B_price_times_shares,,
6785,"SUZUKI CO.,LTD.",Electric Appliances,49086918000.0,close_times_edinet_shares_outstanding,27901814000.0,3173055000.0,,,0.5684164974464275,book_equity_over_market_equity,0.0646415609144579,net_income_over_market_equity,0.5684164974464275,0.0646415609144579,True,True,B_price_times_shares,,
6824,"NEW COSMOS ELECTRIC CO.,LTD.",Electric Appliances,53214105000.0,close_times_edinet_shares_outstanding,51260878000.0,3807820000.0,,,0.9632949384378446,book_equity_over_market_equity,0.071556591997554,net_income_over_market_equity,0.9632949384378446,0.071556591997554,True,True,B_price_times_shares,,
6703,"Oki Electric Industry Company,Limited",Electric Appliances,300884400940.0,close_times_edinet_shares_outstanding,145745000000.0,13739000000.0,,,0.4843886872987587,book_equity_over_market_equity,0.0456620547860828,net_income_over_market_equity,0.4843886872987587,0.0456620547860828,True,True,B_price_times_shares,,
6248,"Yokota Manufacturing Co., Ltd.",Machinery,3138998400.0,close_times_edinet_shares_outstanding,2918999000.0,319468000.0,,,0.929914140765411,book_equity_over_market_equity,0.1017738651921581,net_income_over_market_equity,0.929914140765411,0.1017738651921581,True,True,B_price_times_shares,,
3723,NIHON FALCOM CORPORATION,Information & Communication,24147015300.0,close_times_edinet_shares_outstanding,10877198000.0,903682000.0,,,0.4504572455379195,book_equity_over_market_equity,0.0374241697689237,net_income_over_market_equity,0.4504572455379195,0.0374241697689237,True,True,B_price_times_shares,,
6814,"FURUNO ELECTRIC CO.,LTD.",Electric Appliances,192814009400.0,close_times_edinet_shares_outstanding,89772000000.0,16777000000.0,,,0.4655885756400852,book_equity_over_market_equity,0.0870113123636959,net_income_over_market_equity,0.4655885756400852,0.0870113123636959,True,True,B_price_times_shares,,
3105,Nisshinbo Holdings Inc.,Electric Appliances,378313345858.0,close_times_edinet_shares_outstanding,316591000000.0,17195000000.0,,,0.8368486162759706,book_equity_over_market_equity,0.0454517404375529,net_income_over_market_equity,0.8368486162759706,0.0454517404375529,True,True,B_price_times_shares,,
9880,INNOTECH CORPORATION,Electric Appliances,57393539500.0,close_times_edinet_shares_outstanding,26132585000.0,1304346000.0,,,0.4553227632876693,book_equity_over_market_equity,0.0227263558122251,net_income_over_market_equity,0.4553227632876693,0.0227263558122251,True,True,B_price_times_shares,,
6490,PILLAR Corporation,Machinery,222355923180.0,close_times_edinet_shares_outstanding,73858000000.0,8299000000.0,,,0.3321611538101955,book_equity_over_market_equity,0.0373230444294567,net_income_over_market_equity,0.3321611538101955,0.0373230444294567,True,True,B_price_times_shares,,
6894,"PULSTEC INDUSTRIAL CO.,LTD.",Electric Appliances,2905969716.0,close_times_edinet_shares_outstanding,3863469000.0,359938000.0,,,1.329493896212372,book_equity_over_market_equity,0.1238615798431121,net_income_over_market_equity,1.329493896212372,0.1238615798431121,True,True,B_price_times_shares,,
6961,ENPLAS CORPORATION,Electric Appliances,114414506150.0,close_times_edinet_shares_outstanding,56216000000.0,4059000000.0,,,0.4913362989680658,book_equity_over_market_equity,0.0354762707683111,net_income_over_market_equity,0.4913362989680658,0.0354762707683111,True,True,B_price_times_shares,,
6960,"FUKUDA DENSHI CO.,LTD.",Electric Appliances,334334900000.0,close_times_edinet_shares_outstanding,181652000000.0,18667000000.0,,,0.5433234759518076,book_equity_over_market_equity,0.0558332378701715,net_income_over_market_equity,0.5433234759518076,0.0558332378701715,True,True,B_price_times_shares,,
6419,Mars Group Holdings Corporation,Machinery,54922062800.0,close_times_edinet_shares_outstanding,78230262000.0,8716277000.0,,,1.4243868130896205,book_equity_over_market_equity,0.1587026516418462,net_income_over_market_equity,1.4243868130896205,0.1587026516418462,True,True,B_price_times_shares,,
7747,"ASAHI INTECC CO.,LTD.",Precision Instruments,997775300000.0,close_times_edinet_shares_outstanding,151354000000.0,21662000000.0,,,0.1516914680088793,book_equity_over_market_equity,0.0217102989019672,net_income_over_market_equity,0.1516914680088793,0.0217102989019672,True,True,B_price_times_shares,,
5214,"Nippon Electric Glass Co.,Ltd.",Glass and Ceramics Products,507534180352.0,raw_market_cap,496181000000.0,31537000000.0,1.0313244,18.025751,0.9776307078586786,book_equity_over_market_equity,0.0621376869201745,net_income_over_market_equity,0.9776307078586786,0.0621376869201745,True,True,A_raw_market_cap,,
7749,"MEDIKIT CO.,LTD.",Precision Instruments,41654745000.0,close_times_edinet_shares_outstanding,45156021000.0,3013544000.0,,,1.0840546737232457,book_equity_over_market_equity,0.0723457555675829,net_income_over_market_equity,1.0840546737232457,0.0723457555675829,True,True,B_price_times_shares,,
6866,HIOKI E.E.CORPORATION,Electric Appliances,178440922700.0,close_times_edinet_shares_outstanding,43956278000.0,5457622000.0,,,0.2463351866539076,book_equity_over_market_equity,0.0305850357497619,net_income_over_market_equity,0.2463351866539076,0.0305850357497619,True,True,B_price_times_shares,,
6996,NICHICON CORPORATION,Electric Appliances,266622421000.0,close_times_edinet_shares_outstanding,113814000000.0,10269000000.0,,,0.4268733273560666,book_equity_over_market_equity,0.0385151404802524,net_income_over_market_equity,0.4268733273560666,0.0385151404802524,True,True,B_price_times_shares,,
6925,USHIO INC.,Electric Appliances,361138218000.0,close_times_edinet_shares_outstanding,200509000000.0,27712000000.0,,,0.555214015039527,book_equity_over_market_equity,0.0767351629342093,net_income_over_market_equity,0.555214015039527,0.0767351629342093,True,True,B_price_times_shares,,
1948,"The Kodensha,Co.,Ltd.",Construction,100087056000.0,close_times_edinet_shares_outstanding,21914000000.0,2789000000.0,,,0.2189493914178073,book_equity_over_market_equity,0.0278657412003406,net_income_over_market_equity,0.2189493914178073,0.0278657412003406,True,True,B_price_times_shares,,
5187,"CREATE MEDIC CO.,LTD.",Precision Instruments,9206869446.0,close_times_edinet_shares_outstanding,16332321000.0,713734000.0,,,1.7739277281808,book_equity_over_market_equity,0.0775218986416808,net_income_over_market_equity,1.7739277281808,0.0775218986416808,True,True,B_price_times_shares,,
5706,"Mitsui Kinzoku Company,Limited",Nonferrous Metals,3080310489088.0,raw_market_cap,340856000000.0,67505000000.0,7.475629,33.747658,0.1106563774033437,book_equity_over_market_equity,0.0219149985818431,net_income_over_market_equity,0.1106563774033437,0.0219149985818431,True,True,A_raw_market_cap,,
6136,OSG Corporation,Machinery,282985048731.0,close_times_edinet_shares_outstanding,193857000000.0,14790000000.0,,,0.6850432588906018,book_equity_over_market_equity,0.052264245289012,net_income_over_market_equity,0.6850432588906018,0.052264245289012,True,True,B_price_times_shares,,
6855,JAPAN ELECTRONIC MATERIALS CORPORATION,Electric Appliances,109563117568.0,raw_market_cap,27914000000.0,3454000000.0,2.210824,17.561983,0.2547755177071815,book_equity_over_market_equity,0.0315252073569035,net_income_over_market_equity,0.2547755177071815,0.0315252073569035,True,True,A_raw_market_cap,,
6643,"Togami Electric Mfg.Co.,Ltd.",Electric Appliances,24927454860.0,close_times_edinet_shares_outstanding,22652613000.0,2419189000.0,,,0.9087415112061704,book_equity_over_market_equity,0.097049177847754,net_income_over_market_equity,0.9087415112061704,0.097049177847754,True,True,B_price_times_shares,,
4099,SHIKOKU KASEI HOLDINGS CORPORATION,Chemicals,283638144390.0,close_times_edinet_shares_outstanding,94599000000.0,8476000000.0,,,0.3335200214465061,book_equity_over_market_equity,0.029883145718037,net_income_over_market_equity,0.3335200214465061,0.029883145718037,True,True,B_price_times_shares,,
6480,"NIPPON THOMPSON CO.,LTD.",Machinery,157110645375.0,close_times_edinet_shares_outstanding,75631000000.0,978000000.0,,,0.4813868584110257,book_equity_over_market_equity,0.0062249123709323,net_income_over_market_equity,0.4813868584110257,0.0068062271171359,True,True,B_price_times_shares,,
