code,net_income,operating_cash_flow,average_total_assets,sloan_accruals,sloan_accruals_winsorized,method,accruals_extreme
1301,8006000000.0,5843000000.0,172067500000.0,0.012570648146802853,0.012570648146802853,CFO_based,False
1332,27213000000.0,40379000000.0,620631000000.0,-0.02121389360183426,-0.02121389360183426,CFO_based,False
1333,29825000000.0,39179000000.0,676506000000.0,-0.013826928364271714,-0.013826928364271714,CFO_based,False
1376,1200308000.0,212910000.0,49001473000.0,0.02015037384692497,0.02015037384692497,CFO_based,False
1377,9759000000.0,5100000000.0,191851500000.0,0.024284407471403664,0.024284407471403664,CFO_based,False
1379,4441000000.0,12222000000.0,105562500000.0,-0.07370988750740083,-0.07370988750740083,CFO_based,False
1380,37829000.0,725072000.0,7088301000.0,-0.09695454524292915,-0.09695454524292915,CFO_based,False
1381,2030000000.0,2915000000.0,24763000000.0,-0.035738803860598474,-0.035738803860598474,CFO_based,False
1382,24712000.0,16111000.0,1096766000.0,0.007842146820743896,0.007842146820743896,CFO_based,False
1383,53250000.0,329887000.0,5868144000.0,-0.047142162837176455,-0.047142162837176455,CFO_based,False
1384,2181000000.0,3216000000.0,18490000000.0,-0.055976203353163875,-0.055976203353163875,CFO_based,False
1401,472287000.0,567895000.0,4643354500.0,-0.02059028661283561,-0.02059028661283561,CFO_based,False
1407,5501000000.0,3263000000.0,137221500000.0,0.01630939757982532,0.01630939757982532,CFO_based,False
1414,15061000000.0,9473000000.0,129648000000.0,0.04310132049858077,0.04310132049858077,CFO_based,False
1417,17876000000.0,18049000000.0,588755500000.0,-0.0002938401424700066,-0.0002938401424700066,CFO_based,False
1418,828031000.0,2228928000.0,9353612500.0,-0.14977069020124578,-0.14977069020124578,CFO_based,False
1419,1488000000.0,2248000000.0,95202000000.0,-0.007983025566689776,-0.007983025566689776,CFO_based,False
1420,673078000.0,-2371596000.0,48479918000.0,0.06280278774398917,0.06280278774398917,CFO_based,False
1429,1895906000.0,1510471000.0,24941112000.0,0.01545380173907242,0.01545380173907242,CFO_based,False
