code,negative_book_equity,net_loss_current_year,net_loss_prior_year,two_year_net_loss,operating_cf_negative_current_year,operating_cf_negative_prior_year,two_year_ocf_loss,operating_income_negative,current_liabilities_gt_current_assets,liabilities_to_assets_high,equity_ratio_low,going_concern_flag_if_available,distress_exclusion_flag,distress_review_flag,distress_reason
3105,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9880,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6490,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6894,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6961,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6960,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6419,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7747,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5214,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7749,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6866,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6996,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6925,False,False,False,False,False,False,False,False,,False,False,False,False,False,
1948,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5187,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5706,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6136,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6855,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6643,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4099,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6480,False,False,False,False,False,True,False,False,,False,False,False,False,False,
6877,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7725,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7711,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7746,False,False,True,False,False,False,False,False,,False,False,False,False,False,
6809,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6454,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6622,False,False,False,False,False,True,False,False,,False,False,False,False,False,
7730,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7716,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6647,False,False,False,False,True,False,False,False,,False,False,False,False,False,
6997,False,True,True,True,True,True,True,False,,False,False,False,True,True,two_year_net_loss;two_year_ocf_loss
7775,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7722,False,False,True,False,False,False,False,False,,False,False,False,False,False,
6822,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5802,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6592,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6870,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6508,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6912,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6998,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6644,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6861,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6928,False,False,True,False,False,False,False,False,,False,False,False,False,False,
6134,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6346,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7740,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6498,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6674,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6417,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6794,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4975,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6654,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7261,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6853,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6787,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6651,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6156,False,True,False,False,False,False,False,False,,False,False,False,False,False,
4022,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4966,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6505,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6744,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6282,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6306,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6706,False,False,True,False,True,True,True,False,,False,False,False,False,True,two_year_ocf_loss
6365,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6850,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6676,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6969,False,False,False,False,True,False,False,False,,False,False,False,False,False,
6743,False,False,False,False,True,False,False,False,,False,False,False,False,False,
6143,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6384,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6265,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6848,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6403,False,False,False,False,False,True,False,False,,False,False,False,False,False,
6678,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4732,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6823,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6675,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6863,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6859,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4186,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6161,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6670,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6144,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7713,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6858,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6963,False,True,False,False,False,False,False,True,,False,False,False,False,True,operating_income_negative
4972,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6396,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6890,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6392,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6668,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6402,False,False,False,False,False,True,False,False,,False,False,False,False,False,
4800,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6653,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6488,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6235,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6380,False,False,False,False,True,False,False,False,,False,False,False,False,False,
7721,False,False,False,False,True,True,True,False,,False,False,False,False,True,two_year_ocf_loss
6742,False,False,False,False,False,True,False,False,,False,False,False,False,False,
6302,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6140,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6267,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6485,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6209,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6507,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5105,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5406,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6284,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4461,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6250,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6517,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6332,False,False,False,False,False,True,False,False,,False,False,False,False,False,
6999,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6788,False,False,False,False,False,False,False,False,,False,False,False,False,False,
8086,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6247,False,False,False,False,False,True,False,False,,False,False,False,False,False,
6845,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6748,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6923,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6331,False,False,False,False,True,False,False,False,,False,False,False,False,False,
6457,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6964,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6763,False,False,False,False,False,False,False,False,,False,False,False,False,False,
2461,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6770,False,False,True,False,False,False,False,False,,False,False,False,False,False,
6838,False,False,True,False,True,False,False,False,,False,False,False,False,False,
6466,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6159,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6371,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7760,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4287,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5983,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5714,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6518,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6369,False,False,False,False,False,True,False,False,,False,False,False,False,False,
6989,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6633,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6484,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7991,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6286,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6345,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6750,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6436,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4441,False,False,False,False,False,False,False,False,,False,False,False,False,False,
2433,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6820,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6915,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6291,False,False,False,False,False,True,False,False,,False,False,False,False,False,
9104,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6322,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6597,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6599,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6463,False,False,False,False,False,False,False,False,,False,False,False,False,False,
1911,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6489,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6328,False,False,False,False,False,False,False,False,,False,False,False,False,False,
2344,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7201,False,True,False,False,False,False,False,False,,False,False,False,False,False,
7723,False,False,False,False,False,False,False,False,,False,False,False,False,False,
1925,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6486,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5803,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6737,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6146,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4464,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6951,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6976,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6718,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7409,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6157,False,False,False,False,False,False,False,False,,False,False,False,False,False,
2181,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6874,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3433,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6382,False,False,False,False,True,False,False,False,,False,False,False,False,False,
7715,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3891,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6590,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7965,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6393,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6309,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3712,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5821,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9537,False,False,True,False,False,False,False,False,,False,False,False,False,False,
6798,False,True,True,True,False,False,False,False,,False,False,False,True,False,two_year_net_loss
6333,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6856,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5711,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4004,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9672,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6272,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6360,False,False,False,False,False,True,False,False,,False,False,False,False,False,
6841,False,False,False,False,False,False,False,False,,False,False,False,False,False,
