code,ticker,company_name,sector_33,total_assets,doc_id,gross_profit,revenue,cost_of_sales,gp_method,gp_tag,revenue_tag,cost_tag,gross_profitability,gross_profitability_available,gross_profitability_review_flag
2698,2698.T,"CAN DO CO.,LTD.",Retail Trade,32993000000.0,S100Y64P,33493000000.0,87057000000.0,53563000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,1.0151547297911678,True,False
2910,2910.T,"ROCK FIELD CO.,LTD.",Foods,35308000000.0,S100WEDD,29388000000.0,51184000000.0,21795000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.8323326158377705,True,False
7120,7120.T,SHINKO Inc.,Wholesale Trade,6369629000.0,S100VZY2,4023332000.0,16904476000.0,12881143000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.6316430674376796,True,False
8152,8152.T,SOMAR CORPORATION,Wholesale Trade,30972290000.0,S100VW6T,6567652000.0,30363512000.0,23795859000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.21204928663653866,True,False
5391,5391.T,A&A Material Corporation,Glass and Ceramics Products,40837000000.0,S100W726,9822000000.0,43421000000.0,33599000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.24051717804931802,True,False
6549,6549.T,"DM Solutions Co.,Ltd",Services,8189387000.0,S100W7MV,3329050000.0,21155962000.0,17826912000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.4065078375219049,True,False
3652,3652.T,Digital Media Professionals Inc.,Information & Communication,4092428000.0,S100W2T8,1323284000.0,3077721000.0,1754437000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.3233493661953246,True,False
9468,9468.T,KADOKAWA CORPORATION,Information & Communication,410029000000.0,S100W3PV,99075000000.0,277915000000.0,178840000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.24162925061398097,True,False
3321,3321.T,"MITACHI CO.,LTD.",Wholesale Trade,40028325000.0,S100WKFZ,5286970000.0,98176390000.0,92889419000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.1320807203399093,True,False
3577,3577.T,Tokai Senko K.K.,Textiles and Apparels,14892085000.0,S100W0AG,2129433000.0,14347362000.0,12217928000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.14299092437358502,True,False
8769,8769.T,"Advantage Risk Management Co.,Ltd.",Services,8724042000.0,S100W5D3,5911276000.0,8554077000.0,2642801000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.6775845416608494,True,False
4577,4577.T,"Daito Pharmaceutical Co.,Ltd.",Pharmaceutical,78004000000.0,S100WLMY,8637000000.0,50643000000.0,42005000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.11072509102097329,True,False
2395,2395.T,"SHIN NIPPON BIOMEDICAL LABORATORIES,LTD.",Services,92416508000.0,S100W81X,16960947000.0,32413807000.0,15452859000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.18352724385561073,True,False
3571,3571.T,"SOTOH CO.,LTD.",Textiles and Apparels,19915946000.0,S100W3QG,936356000.0,10043078000.0,9106722000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.0470153915862194,True,False
7461,7461.T,"KIMURA CO.,LTD.",Wholesale Trade,31388386000.0,S100W72Q,10882801000.0,36249862000.0,25367060000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.3467142592167689,True,False
7607,7607.T,"Shinwa Co.,Ltd.",Wholesale Trade,78238422000.0,S100X5L9,13865327000.0,86146486000.0,72281158000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.17721889891899917,True,False
9025,9025.T,"Konoike Transport Co.,Ltd.",Land Transportation,289702000000.0,S100W21M,40328000000.0,344987000000.0,304659000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.13920511422082002,True,False
4261,4261.T,"AsiaQuest Co.,Ltd.",Information & Communication,2927490000.0,S100XVLI,2400832000.0,4920288000.0,2519456000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.8200991292882298,True,False
2492,2492.T,Infomart Corporation,Services,18807875000.0,S100XSO1,13758984000.0,18817130000.0,5058145000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.7315544153712208,True,False
1811,1811.T,THE ZENITAKA CORPORATION,Construction,206761000000.0,S100W3SK,10210000000.0,120660000000.0,110449000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.04938068591272048,True,False
9990,9990.T,SAC'S BAR HOLDINGS INC.,Retail Trade,40313671000.0,S100W25Z,25980315000.0,52289541000.0,26309226000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.6444542100866973,True,False
3683,3683.T,"CYBERLINKS CO.,LTD.",Information & Communication,15791000000.0,S100XU98,5898000000.0,18136000000.0,12238000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.37350389462351974,True,False
7444,7444.T,"Harima-Kyowa Co.,LTD.",Wholesale Trade,36296628000.0,S100W3KO,7230192000.0,61824355000.0,54594163000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.19919734692710298,True,False
3121,3121.T,"MBK Co.,Ltd.",Services,15618397000.0,S100XHQ8,789512000.0,3383239000.0,2593727000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.05055013008057101,True,False
8079,8079.T,SHOEI FOODS CORPORATION,Wholesale Trade,96586778000.0,S100XHU7,19649094000.0,124897835000.0,105248741000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.20343461503602492,True,False
2146,2146.T,"UT Group Co.,Ltd.",Services,66346000000.0,S100W94T,31944000000.0,194748000000.0,162804000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.4814758990745486,True,False
5542,5542.T,Shinhokoku Material Corp.,Iron and Steel,7725366000.0,S100XTM9,1374261000.0,5539581000.0,4165319000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.1778894359179876,True,False
1383,1383.T,"Berg Earth co.,ltd.","Fishery, Agriculture and Forestry",6058767000.0,S100XHX5,1716991000.0,7303461000.0,5586470000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2833895081292943,True,False
7994,7994.T,OKAMURA CORPORATION,Other Products,289144000000.0,S100W3JI,105529000000.0,314527000000.0,208997000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.36497039537393133,True,False
4259,4259.T,ExaWizards Inc.,Information & Communication,7024000000.0,S100W410,5667000000.0,9811000000.0,4143000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.8068052391799544,True,False
7500,7500.T,"NISHIKAWA KEISOKU Co.,Ltd.",Wholesale Trade,33881559000.0,S100WQDH,8786098000.0,38719270000.0,29933172000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.25931799655381854,True,False
7162,7162.T,"ASTMAX Co.,Ltd.",Electric Power and Gas,14961553000.0,S100W62Z,,20666678000.0,,unavailable,,OperatingRevenue1,,,False,False
5458,5458.T,TAKASAGO TEKKO K.K.,Iron and Steel,9046000000.0,S100W2RY,1692000000.0,12100000000.0,10407000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.18704399734689364,True,False
9001,9001.T,"TOBU RAILWAY CO.,LTD.",Land Transportation,2074592000000.0,S100VXA3,,631461000000.0,,unavailable,,OperatingRevenue1,,,False,False
4886,4886.T,"ASKA Pharmaceutical Holdings Co.,Ltd.",Pharmaceutical,100534000000.0,S100VZL4,31335000000.0,64139000000.0,32803000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.31168559890186404,True,False
4476,4476.T,AI CROSS Inc.,Information & Communication,3158848000.0,S100XUJV,1545287000.0,4151609000.0,2606321000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.48919321220900785,True,False
5592,5592.T,"Kusurinomadoguchi,Inc.",Information & Communication,12157327000.0,S100W451,6475204000.0,11199409000.0,4724204000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.5326174084155176,True,False
8051,8051.T,YAMAZEN CORPORATION,Wholesale Trade,295224000000.0,S100VY8W,76969000000.0,516126000000.0,439156000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2607138985990299,True,False
