category,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,capm_alpha,capm_beta,information_ratio
Future Moat,1222,7.1932375391264145,0.5430222012965702,0.3195058612537799,1.699568825328227,-0.4375435874249497,0.26319448229368675,1.260065668638434,1.4209584981717025
Core Moat,1222,4.059858766182262,0.39703387116533095,0.23432510413492874,1.6943718968186674,-0.28386650431411764,0.17849695697091864,1.0532687770213727,1.5475664892681638
Transformation Moat,1222,1.184266223184233,0.17482008147964123,0.22371663238424197,0.7814353345860355,-0.32578162809181377,0.05094813805740057,0.8018194683685964,0.10364273450143893
