name,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,capm_alpha,capm_beta,information_ratio
Portfolio,1222,3.8139259442917046,0.3827528368609816,0.22327746220183595,1.7142475245216862,-0.33216604379479286,0.17456100283228534,1.0059768368217632,1.5353841921153606
1306.T,1219,1.0755998776678974,0.16295282262776611,0.1907729411637874,0.8541715697922987,-0.23296328694444624,,,
^N225,1221,1.3229519915417507,0.18999842729637617,0.22305526249768215,0.8517997969151277,-0.26258607248225596,,,
