code,company_name,sector,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals
3539,"JM HOLDINGS CO.,LTD.",Retail Trade,1.4261053094504172,0.2040707732159516,0.7348633819666947,1.0,-0.0021099389228206
4350,"MEDICAL SYSTEM NETWORK Co.,Ltd.",Retail Trade,1.4402040488562742,0.1742577065503354,0.7187827614541127,1.0,-0.02579017551447
9990,SAC'S BAR HOLDINGS INC.,Retail Trade,1.4279661367598429,0.1230264031525422,0.6444542100866973,0.6666666666666666,-0.0145722900362938
8278,"FUJI CO.,LTD.",Retail Trade,1.3580434047819971,0.0976097245789434,0.6015240407310001,0.8333333333333334,-0.0517714202800415
6430,"DAIKOKU DENKI CO.,LTD.",Machinery,1.4680010753754904,0.2504875349508444,0.4661222776211255,0.6666666666666666,0.0010428298740779
7803,Bushiroad Inc.,Other Products,1.4416281315483317,0.2051146799188709,0.4013605395783348,1.0,-0.0443112124392795
9470,"GAKKEN HOLDINGS CO.,LTD.",Information & Communication,1.52597030210713,0.1215213356220572,0.3947943158469474,1.0,-0.0228300013337878
9274,"KPP GROUP HOLDINGS CO.,LTD.",Wholesale Trade,1.3190651041412866,0.1222739202966637,0.3667703495391083,0.8333333333333334,-0.0091214863113105
9507,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,1.5210845189509965,0.236369625854869,0.3592865040089916,1.0,-0.0284462935638381
6454,"MAX CO.,LTD.",Machinery,1.4066745456714502,0.148993358945584,0.3522963462294661,1.0,-0.0272563411386444
1873,"NIHON HOUSE HOLDINGS CO.,LTD.",Construction,1.905881612423424,0.1151435897660377,0.3467544107934711,1.0,-0.0494989371393865
2918,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",Foods,1.3484299567485671,0.1218190170322336,0.3336243215546362,0.6666666666666666,-0.0898206673817279
6257,"FUJISHOJI CO.,LTD.",Machinery,2.2486543069676075,0.1415203360492675,0.3321798006394583,0.6666666666666666,-0.0319000325315268
4093,"Toho Acetylene Co.,Ltd.",Chemicals,1.5267935242453716,0.1061501640082169,0.3262003460792439,0.6666666666666666,-0.0241869559531811
6286,SEIKO CORPORATION,Machinery,1.702879315573918,0.1116226923995294,0.3183233608648727,1.0,-0.073902725720163
6718,"AIPHONE CO.,LTD.",Electric Appliances,1.521000006460998,0.0824483474886142,0.317190465655166,0.8333333333333334,-0.0240102083440623
4433,"HITO-Communications Holdings,Inc.",Services,1.276704700098308,0.0761687682715867,0.3163000342952329,0.8333333333333334,-0.0562990423231387
2915,"KENKO Mayonnaise Co.,Ltd.",Foods,1.3861844250270172,0.1215074954550369,0.3105174030058363,1.0,-0.0159899165329288
2733,ARATA CORPORATION,Wholesale Trade,1.3949156080552183,0.1240688256278769,0.3086697377200636,0.8333333333333334,0.0018832391713747
6658,"Shirai Electronics Industrial Co.,Ltd.",Electric Appliances,1.4644343389314858,0.3055881483069681,0.3054384702374833,1.0,-0.0262068965517241
