code,company_name,sector,bm_raw,ep_raw,market_equity_final,anomaly_flags
8219,"AOYAMA TRADING Co.,Ltd.",Retail Trade,5.753480929211984,0.2840810873006879,33078583616.0,extreme_high_bm_top1pct
3174,"Happiness and D Co.,Ltd.",Retail Trade,,,1321270200.0,book_equity_market_equity_scale_check
7898,"WOOD ONE CO.,LTD.",Other Products,5.658205052272892,0.2312205510903817,8061567154.0,extreme_high_bm_top1pct
3663,"CELSYS,Inc.",Information & Communication,,0.0329846799323196,50966145600.0,book_equity_market_equity_scale_check
6181,Tameny Inc.,Services,,,1948316400.0,book_equity_market_equity_scale_check
5707,"Toho Zinc Co.,Ltd.",Nonferrous Metals,,,13279108938.0,book_equity_market_equity_scale_check
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",Other Products,4.173219273964876,0.5551673477116726,15690764300.0,extreme_high_ep_top1pct
7214,GMB CORPORATION,Transportation Equipment,6.809732406344733,0.2518337973651101,4989981540.0,extreme_high_bm_top1pct
5491,"NIPPON KINZOKU CO.,LTD.",Iron and Steel,4.598095411965398,0.1160418249070819,6058160500.0,extreme_high_bm_top1pct
2686,"GFOOT CO.,LTD.",Retail Trade,,,12600305600.0,book_equity_market_equity_scale_check
8165,"SENSHUKAI CO.,LTD.",Retail Trade,5.450404066495383,0.7815796816534065,5519590774.0,extreme_high_bm_top1pct;extreme_high_ep_top1pct
6993,"Daikokuya Holdings Co.,Ltd.",Retail Trade,,,17511894494.0,book_equity_market_equity_scale_check
2291,"FUKUTOME MEAT PACKERS,LTD.",Foods,,,1791646800.0,book_equity_market_equity_scale_check
7090,Ligua Inc.,Services,,,1348540500.0,book_equity_market_equity_scale_check
5103,"Showa Holdings Co.,Ltd.",Rubber Products,,,2958057414.0,book_equity_market_equity_scale_check
3905,Datasection Inc.,Information & Communication,0.1219580015669164,,157590716416.0,book_equity_market_equity_scale_check
7831,Wellco Holdings Corporation,Other Products,,,1179691000.0,book_equity_market_equity_scale_check
2998,CREAL Inc.,Real Estate,1.9896576397850716,0.5098456791311171,2650594200.0,extreme_high_ep_top1pct
6696,TRaaS On Product Inc.,Electric Appliances,,,1486682428.0,book_equity_market_equity_scale_check
3111,"OMIKENSHI CO.,LTD.",Textiles and Apparels,4.828208478284886,0.2484924589956194,1207280097.0,extreme_high_bm_top1pct
4436,"MINKABU THE INFONOID,Inc.",Information & Communication,,,6908453800.0,book_equity_market_equity_scale_check
8254,"Saikaya Department Store Co.,Ltd.",Retail Trade,,0.1059794763445984,1040342940.0,book_equity_market_equity_scale_check
2776,"SHINTO Holdings,Inc.",Wholesale Trade,,0.0450818284088107,6368796700.0,book_equity_market_equity_scale_check
4448,"kubell Co.,Ltd.",Information & Communication,,0.0165488412769265,12994927947.0,book_equity_market_equity_scale_check
9973,"KOZO Holdings Co.,Ltd.",Retail Trade,,,6481515678.0,book_equity_market_equity_scale_check
3224,"General Oyster,Inc.",Retail Trade,,,3665356800.0,book_equity_market_equity_scale_check
