code,ticker,company_name,sector_33,market,close,sector,market_equity_final,market_equity_method,book_equity,net_income,pbr_raw,per_raw,bm_raw,bm_method,ep_raw,ep_method,bm_winsorized,ep_winsorized,bm_available,ep_available,value_metric_quality_flag,notes,F_ROA,F_CFO,F_DROA,F_ACCRUAL,F_DTURN,F_DLEVER,piotroski_available_signal_score,available_signal_count,sloan_accruals,sloan_accruals_winsorized,value_pass,quality_pass,earnings_quality_pass,distress_pass,phase1_revised_candidate
9022,9022.T,Central Japan Railway Company,Land Transportation,Prime Market (Domestic),3386.0,Land Transportation,3234494414848.0,raw_market_cap,4658550000000.0,464391000000.0,0.6381434,5.930986,1.440271462091525,book_equity_over_market_equity,0.1435745252390004,net_income_over_market_equity,1.440271462091525,0.1435745252390004,True,True,A_raw_market_cap,,1,1,1,1,0,1,5,6,-0.015562683530232567,-0.015562683530232567,True,True,True,True,True
9501,9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Electric Power and Gas,Prime Market (Domestic),558.9000244140625,Electric Power and Gas,895750242304.0,raw_market_cap,3786130000000.0,161846000000.0,0.26426095,2.6368184,4.226769719047491,book_equity_over_market_equity,0.1806820610884888,net_income_over_market_equity,4.226769719047491,0.1806820610884888,True,True,A_raw_market_cap,,1,1,0,1,1,1,5,6,-0.009385560067104334,-0.009385560067104334,True,True,True,True,True
3449,3449.T,TECHNOFLEX CORPORATION,Metal Products,Standard Market(Domestic),6830.0,Metal Products,125215073000.0,close_times_edinet_shares_outstanding,25688017000.0,3123183000.0,,,0.2051511562030555,book_equity_over_market_equity,0.0249425482505608,net_income_over_market_equity,0.2051511562030555,0.0249425482505608,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.05597385816278888,-0.05597385816278888,False,True,True,True,False
6178,6178.T,"JAPAN POST HOLDINGS Co.,Ltd.",Services,Prime Market (Domestic),2035.0,Services,5710855274496.0,raw_market_cap,15289540000000.0,599405000000.0,0.5878693,15.770305,2.6772767414158203,book_equity_over_market_equity,0.1049588846484818,net_income_over_market_equity,2.6772767414158203,0.1049588846484818,True,True,A_raw_market_cap,,1,1,1,1,0,0,4,6,-0.007202689019998168,-0.007202689019998168,True,True,True,True,True
6777,6777.T,santec Holdings Corporation,Electric Appliances,Standard Market(Domestic),25380.0,Electric Appliances,298478436352.0,raw_market_cap,21428211000.0,5067844000.0,12.032057,38.927574,0.0717914877265351,book_equity_over_market_equity,0.0169789284007887,net_income_over_market_equity,0.0974144095975895,0.0169789284007887,True,True,A_raw_market_cap,,1,1,1,1,1,1,6,6,-0.03373939872026546,-0.03373939872026546,False,True,True,True,False
6627,6627.T,"Tera Probe,Inc.",Electric Appliances,Standard Market(Domestic),11040.0,Electric Appliances,100430880000.0,close_times_edinet_shares_outstanding,59928689000.0,6952842000.0,,,0.5967157611284497,book_equity_over_market_equity,0.0692301212535427,net_income_over_market_equity,0.5967157611284497,0.0692301212535427,True,True,B_price_times_shares,,1,1,0,1,0,0,3,6,-0.1499138838245903,-0.1499138838245903,False,False,True,True,False
6524,6524.T,"KOHOKU KOGYO CO.,LTD.",Electric Appliances,Standard Market(Domestic),6070.0,Electric Appliances,157246992000.0,close_times_edinet_shares_outstanding,23441000000.0,2992000000.0,,,0.1490712140299637,book_equity_over_market_equity,0.0190273909977241,net_income_over_market_equity,0.1490712140299637,0.0190273909977241,True,True,B_price_times_shares,,1,1,0,1,1,1,5,6,-0.012315141308352193,-0.012315141308352193,False,True,True,True,False
6387,6387.T,SAMCO INC.,Machinery,Prime Market (Domestic),11050.0,Machinery,88758915050.0,close_times_edinet_shares_outstanding,13558675000.0,1697328000.0,,,0.1527584580361542,book_equity_over_market_equity,0.0191229016155036,net_income_over_market_equity,0.1527584580361542,0.0191229016155036,True,True,B_price_times_shares,,1,1,1,0,1,0,4,6,0.028995065807867034,0.028995065807867034,False,True,False,True,False
5076,5076.T,INFRONEER Holdings Inc.,Construction,Prime Market (Domestic),2421.0,Construction,611770695680.0,raw_market_cap,366903000000.0,9963000000.0,0.9985165,9.3764515,0.5997394164036857,book_equity_over_market_equity,0.0162855136252086,net_income_over_market_equity,0.5997394164036857,0.0162855136252086,True,True,A_raw_market_cap,,1,0,0,0,0,0,1,6,,,False,False,False,True,False
6800,6800.T,"YOKOWO CO.,LTD.",Electric Appliances,Prime Market (Domestic),5170.0,Electric Appliances,120516722260.0,close_times_edinet_shares_outstanding,52030000000.0,2240000000.0,,,0.4317243202794022,book_equity_over_market_equity,0.0185866322780292,net_income_over_market_equity,0.4317243202794022,0.0185866322780292,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.06548079064223308,-0.06548079064223308,False,True,True,True,False
9513,9513.T,"Electric Power Development Co.,Ltd.",Electric Power and Gas,Prime Market (Domestic),3954.0,Electric Power and Gas,695936745472.0,raw_market_cap,1463502000000.0,102530000000.0,0.49702734,12.151945,2.1029238785306843,book_equity_over_market_equity,0.1473266078664402,net_income_over_market_equity,2.1029238785306843,0.1473266078664402,True,True,A_raw_market_cap,,1,1,1,1,0,1,5,6,-0.03893715694871046,-0.03893715694871046,True,True,True,True,True
8050,8050.T,SEIKO GROUP CORPORATION,Precision Instruments,Prime Market (Domestic),7420.0,Precision Instruments,306377446620.0,close_times_edinet_shares_outstanding,158014000000.0,13508000000.0,,,0.5157494513490897,book_equity_over_market_equity,0.0440894071969794,net_income_over_market_equity,0.5157494513490897,0.0440894071969794,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.05124359823902948,-0.05124359823902948,False,True,True,True,False
6617,6617.T,"TAKAOKA TOKO CO.,LTD.",Electric Appliances,Prime Market (Domestic),8180.0,Electric Appliances,132633832900.0,close_times_edinet_shares_outstanding,66456000000.0,4280000000.0,,,0.5010486279930164,book_equity_over_market_equity,0.0322692928826608,net_income_over_market_equity,0.5010486279930164,0.0322692928826608,True,True,B_price_times_shares,,1,1,0,1,1,1,5,6,-0.0065920036130085674,-0.0065920036130085674,False,True,True,True,False
6356,6356.T,"NIPPON GEAR CO.,LTD.",Machinery,Standard Market(Domestic),1492.0,Machinery,21241489408.0,raw_market_cap,12561580000.0,1550400000.0,3.8963141,12.129095,0.5913700192449329,book_equity_over_market_equity,0.0729892320740976,net_income_over_market_equity,0.5913700192449329,0.0729892320740976,True,True,A_raw_market_cap,,1,1,0,0,0,1,3,6,0.017416952634740433,0.017416952634740433,False,False,False,True,False
1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Machinery,Standard Market(Domestic),3750.0,Machinery,25129170000.0,close_times_edinet_shares_outstanding,30517857000.0,4204018000.0,,,1.2144395139194808,book_equity_over_market_equity,0.1672963333050793,net_income_over_market_equity,1.2144395139194808,0.1672963333050793,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.09028682563608767,-0.09028682563608767,False,True,True,True,False
4971,4971.T,MEC COMPANY LTD.,Chemicals,Prime Market (Domestic),11100.0,Chemicals,204118932300.0,close_times_edinet_shares_outstanding,30472068000.0,5766868000.0,,,0.1492858484837371,book_equity_over_market_equity,0.0282524895413633,net_income_over_market_equity,0.1492858484837371,0.0282524895413633,True,True,B_price_times_shares,,1,1,1,0,1,1,5,6,0.04354838666454326,0.04354838666454326,False,True,False,True,False
6278,6278.T,UNION TOOL CO.,Machinery,Prime Market (Domestic),23070.0,Machinery,443256012800.0,raw_market_cap,79998000000.0,6114000000.0,4.873522,65.073906,0.1804780932235105,book_equity_over_market_equity,0.0137933831091845,net_income_over_market_equity,0.1804780932235105,0.0137933831091845,True,True,A_raw_market_cap,,1,1,1,1,1,0,5,6,-0.015009643669119787,-0.015009643669119787,False,True,True,True,False
9503,9503.T,"The Kansai Electric Power Company,Incorporated",Electric Power and Gas,Prime Market (Domestic),2288.5,Electric Power and Gas,2549534162944.0,raw_market_cap,3107452000000.0,451137000000.0,0.73788524,6.7068167,1.2188312850108118,book_equity_over_market_equity,0.1769487958063141,net_income_over_market_equity,1.2188312850108118,0.1769487958063141,True,True,A_raw_market_cap,,1,1,0,1,1,1,5,6,-0.01015563447257252,-0.01015563447257252,False,True,True,True,False
6941,6941.T,"YAMAICHI ELECTRONICS CO.,LTD.",Electric Appliances,Prime Market (Domestic),10080.0,Electric Appliances,186045759488.0,raw_market_cap,39676501000.0,5240971000.0,3.9948258,20.459528,0.2132620550405995,book_equity_over_market_equity,0.0281703330106701,net_income_over_market_equity,0.2132620550405995,0.0281703330106701,True,True,A_raw_market_cap,,1,1,1,1,1,0,5,6,-0.07209087102378813,-0.07209087102378813,False,True,True,True,False
6871,6871.T,"MICRONICS JAPAN CO.,LTD.",Electric Appliances,Prime Market (Domestic),14500.0,Electric Appliances,562081300480.0,raw_market_cap,66052000000.0,12063000000.0,7.5972314,46.622295,0.1175132493174806,book_equity_over_market_equity,0.0214613081589773,net_income_over_market_equity,0.1175132493174806,0.0214613081589773,True,True,A_raw_market_cap,,1,1,1,1,1,1,6,6,-0.009384636010189034,-0.009384636010189034,False,True,True,True,False
6264,6264.T,"Marumae Co.,Ltd.",Machinery,Prime Market (Domestic),2237.0,Machinery,28325565100.0,close_times_edinet_shares_outstanding,8151519000.0,1355987000.0,,,0.28777957195989,book_equity_over_market_equity,0.0478714897730319,net_income_over_market_equity,0.28777957195989,0.0478714897730319,True,True,B_price_times_shares,,1,1,1,1,1,0,5,6,-0.0923344529760236,-0.0923344529760236,False,True,True,True,False
6920,6920.T,Lasertec Corporation,Electric Appliances,Prime Market (Domestic),38380.0,Electric Appliances,3440025272320.0,raw_market_cap,209900000000.0,84652000000.0,15.255912,39.684425,0.0610169935927361,book_equity_over_market_equity,0.0246079587499395,net_income_over_market_equity,0.0974144095975895,0.0246079587499395,True,True,A_raw_market_cap,,1,1,1,0,0,1,4,6,0.0225599070710231,0.0225599070710231,False,True,False,True,False
5985,5985.T,SUNCALL CORPORATION,Metal Products,Standard Market(Domestic),1686.0,Metal Products,51071107072.0,raw_market_cap,26592000000.0,-2285000000.0,1.4927381,8.226798,0.5206857952483901,book_equity_over_market_equity,,missing,0.5206857952483901,,True,False,A_raw_market_cap,net_income_nonpositive_or_missing,0,1,1,1,1,0,4,6,-0.04623795476892822,-0.04623795476892822,False,True,True,True,False
2153,2153.T,E・J Holdings Inc.,Services,Prime Market (Domestic),1586.0,Services,29147381120.0,close_times_edinet_shares_outstanding,34053000000.0,3203000000.0,,,1.1683039330293012,book_equity_over_market_equity,0.109889804055233,net_income_over_market_equity,1.1683039330293012,0.109889804055233,True,True,B_price_times_shares,,1,1,0,1,0,0,3,6,-0.019949911167241048,-0.019949911167241048,False,False,True,True,False
6648,6648.T,KAWADEN CORPORATION,Electric Appliances,Standard Market(Domestic),1729.0,Electric Appliances,5538332800.0,close_times_edinet_shares_outstanding,17744301000.0,1963138000.0,,,3.203906598028923,book_equity_over_market_equity,0.3544637115342725,net_income_over_market_equity,3.203906598028923,0.3544637115342725,True,True,B_price_times_shares,,1,1,1,0,1,0,4,6,0.0177810487014362,0.0177810487014362,True,True,False,True,False
6327,6327.T,"KITAGAWA SEIKI CO.,LTD.",Machinery,Standard Market(Domestic),4980.0,Machinery,40559112000.0,close_times_edinet_shares_outstanding,5077610000.0,394688000.0,,,0.1251903641282876,book_equity_over_market_equity,0.0097311795189204,net_income_over_market_equity,0.1251903641282876,0.0097311795189204,True,True,B_price_times_shares,,1,1,0,0,1,1,4,6,0.008379672148367394,0.008379672148367394,False,True,False,True,False
4368,4368.T,"FUSO CHEMICAL CO.,LTD.",Chemicals,Prime Market (Domestic),4475.0,Chemicals,157775075000.0,close_times_edinet_shares_outstanding,104048977000.0,11622785000.0,,,0.6594766442037818,book_equity_over_market_equity,0.0736668006654409,net_income_over_market_equity,0.6594766442037818,0.0736668006654409,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.08050182585701394,-0.08050182585701394,False,True,True,True,False
6745,6745.T,HOCHIKI CORPORATION,Electric Appliances,Prime Market (Domestic),1930.0,Electric Appliances,48405558000.0,close_times_edinet_shares_outstanding,59321000000.0,7688000000.0,,,1.2254997659566285,book_equity_over_market_equity,0.1588247366139235,net_income_over_market_equity,1.2254997659566285,0.1588247366139235,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.047870637207813004,-0.047870637207813004,False,True,True,True,False
9502,9502.T,"Chubu Electric Power Company,Incorporated",Electric Power and Gas,Prime Market (Domestic),2836.5,Electric Power and Gas,2142673829888.0,raw_market_cap,2858530000000.0,209137000000.0,0.6827594,9.405776,1.3340947932095752,book_equity_over_market_equity,0.0976056164418323,net_income_over_market_equity,1.3340947932095752,0.0976056164418323,True,True,A_raw_market_cap,,1,1,0,1,0,1,4,6,-0.00985843362866866,-0.00985843362866866,True,True,True,True,True
6695,6695.T,"Castrico Co.,Ltd.",Electric Appliances,PRO Market,150.0,Electric Appliances,339600000.0,close_times_edinet_shares_outstanding,1475287000.0,79591000.0,,,4.3441902237926975,book_equity_over_market_equity,0.2343669022379269,net_income_over_market_equity,4.3441902237926975,0.2343669022379269,True,True,B_price_times_shares,,1,1,0,1,0,0,3,6,,,True,False,False,True,False
1662,1662.T,"Japan Petroleum Exploration Co.,Ltd.",Mining,Prime Market (Domestic),1753.0,Mining,448766967808.0,raw_market_cap,557257000000.0,82848000000.0,0.7150951,8.396399,1.2417513764926127,book_equity_over_market_equity,0.1846125181732306,net_income_over_market_equity,1.2417513764926127,0.1846125181732306,True,True,A_raw_market_cap,,1,1,1,1,1,1,6,6,-0.07138483723965122,-0.07138483723965122,False,True,True,True,False
6994,6994.T,SHIZUKI ELECTRIC COMPANY INC.,Electric Appliances,Standard Market(Domestic),1296.0,Electric Appliances,32731131888.0,close_times_edinet_shares_outstanding,23747003000.0,1254784000.0,,,0.7255173173130077,book_equity_over_market_equity,0.038336101675116,net_income_over_market_equity,0.7255173173130077,0.038336101675116,True,True,B_price_times_shares,,1,1,1,1,0,0,4,6,-0.06171374962826005,-0.06171374962826005,False,True,True,True,False
6834,6834.T,"SEIKOH GIKEN Co.,Ltd.",Electric Appliances,Standard Market(Domestic),27400.0,Electric Appliances,244936032256.0,raw_market_cap,28144241000.0,2242292000.0,7.237895,39.39215,0.1149044537905491,book_equity_over_market_equity,0.0091546024459823,net_income_over_market_equity,0.1149044537905491,0.0091546024459823,True,True,A_raw_market_cap,,1,1,1,1,1,0,5,6,-0.02480471162031353,-0.02480471162031353,False,True,True,True,False
7762,7762.T,"Citizen Watch Co.,Ltd.",Precision Instruments,Prime Market (Domestic),2309.0,Precision Instruments,564015042900.0,close_times_edinet_shares_outstanding,264147000000.0,23876000000.0,,,0.4683332533859975,book_equity_over_market_equity,0.0423322042568875,net_income_over_market_equity,0.4683332533859975,0.0423322042568875,True,True,B_price_times_shares,,1,1,0,1,1,1,5,6,-0.02861382171054769,-0.02861382171054769,False,True,True,True,False
