metric,mean,median,p25,p75,market_median
bm_raw,1.0164860913681595,0.9045357199503644,0.5413731327898939,1.3310703297332718,0.876644137710109
ep_raw,0.08939591736662296,0.0755058109581445,0.05264126290395918,0.109863915448826,0.0734587712370457
gross_profitability,0.32851792290090437,0.2568928398457142,0.17765179802092268,0.40147753178323686,0.2568928398457142
piotroski_available_ratio,0.7502777777777777,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666
sloan_accruals,-0.02170394605259892,-0.02318917273655115,-0.04779033401222722,0.003845789167230275,-0.01914358749049725
avg_daily_value_60d,2681903048.6035004,346844199.1666667,132009310.41666669,1150882148.3333333,70807621.66666667
