group,count,phase1_top5_coverage,bm_median,ep_median,gross_profitability_median,piotroski_median,sloan_median,adv60_median,distress_flag_rate,review_flag_rate,anomaly_flag_rate,gp_missing_rate,sector_hhi,max_sector_share,bm_vs_market,ep_vs_market,gp_vs_market,piotroski_vs_market,sloan_vs_market,adv60_vs_market_ratio
Top1200 formal,1200,5,0.9045357199503644,0.0755058109581445,0.2568928398457142,0.8333333333333334,-0.02318917273655115,346844199.1666667,0.0,0.0,0.0,0.0,0.07067777777777777,0.11583333333333333,0.027891582240255453,0.002047039721098806,0.0,0.16666666666666674,0.0040455852460539,4.898402050551385
Top1000 comparison,1000,5,0.9134570244853721,0.0763055071156095,0.26376402301201296,0.8333333333333334,-0.02445549900172805,403915315.8333334,0.0,0.0,0.0,0.0,0.071408,0.127,0.036812886775263176,0.002846735878563808,0.0068711831662987555,0.16666666666666674,0.0053119115112308,5.704404502311934
Top2000 reference,2000,5,0.8930095162465346,0.07642633852258596,0.26196775702737685,0.8333333333333334,-0.019308904183470352,141704676.66666666,0.0,0.0,0.0005,0.0,0.07622599999999999,0.13,0.016365378536425612,0.0029675672855402624,0.0050749171816626415,0.16666666666666674,0.0001653166929731012,2.0012630467063888
Market universe,3099,5,0.876644137710109,0.0734587712370457,0.2568928398457142,0.6666666666666666,-0.01914358749049725,70807621.66666667,0.05937399161019684,0.1181026137463698,0.14327202323330107,0.018393030009680542,0.08255595883338275,0.16101968376895773,0.0,0.0,0.0,0.0,0.0,1.0
