ticker,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,shares_outstanding,ebitda,currency,quote_type
7729.T,682683334656,668472311808,27.721924,27.580553,3.5609405,1.59,1.034,40587595,39366000640.0,JPY,EQUITY
6305.T,1084953985024,1561179848704,14.818258,11.869298,1.2052822,3.65,0.939,212736078,216029003776.0,JPY,EQUITY
3064.T,948215152640,917707948032,29.467564,31.641203,8.256385,1.96,0.748,492323542,,JPY,EQUITY
3099.T,1173349203968,1184990494720,21.444117,20.746887,1.8974956,2.36,0.142,350253505,104453996544.0,JPY,EQUITY
9005.T,929016643584,2258049433600,19.258034,14.19737,1.0619017,2.0,0.115,569948884,191776997376.0,JPY,EQUITY
1878.T,1006075576320,990937350144,10.374833,2.2221107,2.0336683,5.14,0.161,324540501,155926003712.0,JPY,EQUITY
2801.T,1293449297920,1248245710848,21.141905,21.720867,2.305925,1.79,0.068,926539665,102685999104.0,JPY,EQUITY
5831.T,1492969324544,2634813538304,16.782967,22.499401,1.211938,3.41,0.338,530550554,,JPY,EQUITY
7014.T,244865875968,159670714368,11.343524,,1.949652,1.61,0.012,69465498,31911999488.0,JPY,EQUITY
8331.T,1584691806208,1370036502528,17.054205,20.672468,1.2660328,2.75,0.13,694735530,,JPY,EQUITY
6278.T,443256012800,369221107712,65.073906,59.92986,4.873522,0.59,0.936,19213523,13437500416.0,JPY,EQUITY
3697.T,185876037632,174976106496,22.626013,0.9899804,4.818926,,1.094,255605108,17774999552.0,JPY,EQUITY
9042.T,1078914908160,2570617880576,13.775557,13.988251,0.9775201,2.14,-0.082,237228438,195426992128.0,JPY,EQUITY
3038.T,589545406464,508651864064,18.57622,25.901031,3.6549778,1.18,0.496,221716965,48203501568.0,JPY,EQUITY
7186.T,1762803318784,303039709184,16.872341,21.409286,1.2556885,2.96,0.208,1111477483,,JPY,EQUITY
1911.T,788843921408,482638135296,7.3928285,2.054193,0.6350615,3.83,0.987,613170557,78579499008.0,JPY,EQUITY
6268.T,649319415808,636924657664,44.707115,51.362625,2.3688476,1.48,0.986,117184523,41301000192.0,JPY,EQUITY
3905.T,157590716416,183776018432,58.830044,,8.199544,,-0.256,29678099,4116000000.0,JPY,EQUITY
7309.T,1384002617344,974309031936,41.77946,17.60724,1.6087762,2.2,0.408,85405903,73687752704.0,JPY,EQUITY
5844.T,1229082460160,1030209404928,12.807576,31.207764,1.0852517,2.49,0.182,283133476,,JPY,EQUITY
5714.T,616916844544,721806426112,9.937404,21.578566,1.3541874,3.28,0.818,59148307,65657999360.0,JPY,EQUITY
9147.T,1272566382592,1920077791232,475.36234,8.500438,1.5407959,1.9,0.555,242485987,184720998400.0,JPY,EQUITY
6855.T,109563117568,82974457856,17.561983,24.2228,2.210824,1.03,2.008,14647476,8677000192.0,JPY,EQUITY
9602.T,1007371878400,938397007872,19.787582,4.9243655,1.9722998,1.79,-0.056,831851262,82816999424.0,JPY,EQUITY
9513.T,695936745472,2117931368448,12.151945,10.946238,0.49702734,2.74,-0.234,176008295,217066995712.0,JPY,EQUITY
3391.T,881590468608,919289069568,13.502637,3.1156437,1.006481,2.43,0.187,453026961,93736001536.0,JPY,EQUITY
3092.T,900242931712,826242629632,18.79616,5.9493895,8.430363,4.04,0.602,884325031,76956999680.0,JPY,EQUITY
2371.T,667499560960,617672146944,35.568207,27.196518,10.271116,1.5,0.623,197836267,31655999488.0,JPY,EQUITY
1944.T,1350851493888,1244335702016,19.475367,34.327835,2.0425544,1.95,0.523,197984982,100909998080.0,JPY,EQUITY
6356.T,21241489408,23802957824,12.129095,,3.8963141,0.6,0.395,14236923,1256057984.0,JPY,EQUITY
7550.T,1237773189120,1513036316672,28.644363,25.09278,3.6302378,0.99,-0.114,156462287,135936999424.0,JPY,EQUITY
7211.T,466683592704,497575034880,46.680058,3.8209512,0.50755805,2.69,0.165,1338352676,158153998336.0,JPY,EQUITY
9024.T,708266426368,1307750301696,18.473217,19.756807,1.2449007,1.49,0.385,254177788,102865002496.0,JPY,EQUITY
7912.T,1184930332672,1237311684608,11.662915,13.992765,0.99531823,1.48,0.463,431432864,155807006720.0,JPY,EQUITY
4751.T,686612152320,626672664576,16.85547,26.419512,3.457495,1.47,0.564,507099063,106023002112.0,JPY,EQUITY
5214.T,507534180352,478225956864,18.025751,36.348286,1.0313244,2.45,0.449,73683821,55223250944.0,JPY,EQUITY
4768.T,1161493217280,846718238720,18.123188,20.142038,2.96047,3.29,0.132,379201199,101954002944.0,JPY,EQUITY
2432.T,281333858304,208187604992,16.009592,28.728876,1.2634971,2.48,0.13,102789132,35629998080.0,JPY,EQUITY
4528.T,1091124723712,1013999271936,15.65323,13.727461,1.2825797,3.34,0.111,469907311,129988001792.0,JPY,EQUITY
4091.T,2585001197568,3436790939648,20.85778,21.5806,2.1234534,1.07,0.418,432853497,320233013248.0,JPY,EQUITY
6586.T,1378974957568,1197432897536,17.843569,21.749908,1.3867251,3.78,0.813,257656022,135168999424.0,JPY,EQUITY
4324.T,785767858176,1036944605184,,9.374419,1.8832966,4.14,0.353,259586355,231565000704.0,JPY,EQUITY
2267.T,803197812736,714034642944,18.297943,15.565025,1.328737,2.69,0.089,291277528,73758998528.0,JPY,EQUITY
6113.T,930356527104,868011147264,30.966408,23.36791,1.7374673,2.12,0.747,310532887,67641999360.0,JPY,EQUITY
4088.T,564790689792,970206019584,52.672085,11.360074,1.2699087,2.89,0.281,229217006,80881999872.0,JPY,EQUITY
5076.T,611770695680,904115191808,9.3764515,25.752579,0.9985165,4.08,0.241,252693368,106084999168.0,JPY,EQUITY
6141.T,484537991168,582396739584,101.71802,12.070724,1.4274509,3.05,0.885,141100178,44132999168.0,JPY,EQUITY
5406.T,775087915008,1432808062976,8.24222,7.1011915,0.6145048,4.04,0.554,395453033,243142000640.0,JPY,EQUITY
6521.T,61808689152,67939594240,,115.11879,13.129631,,1.337,11596377,1427220992.0,JPY,EQUITY
5985.T,51071107072,49894641664,8.226798,,1.4927381,1.76,0.752,30291286,9696000000.0,JPY,EQUITY
6724.T,936770535424,881072209920,51.479134,14.475638,1.0975599,2.73,0.566,320427751,126976000000.0,JPY,EQUITY
4021.T,1000488501248,1013562146816,20.275045,23.134653,3.919292,2.82,0.475,134113748,79064997888.0,JPY,EQUITY
6134.T,720535552000,643135569920,45.887688,43.944027,3.1018324,2.39,1.137,87913069,39741001728.0,JPY,EQUITY
3003.T,1253636833280,3233318436864,10.967914,12.1201,1.3791306,3.94,0.362,759319729,206600994816.0,JPY,EQUITY
7826.T,234923360256,226681798656,31.023619,23.921648,3.1766477,3.53,0.769,24599305,1740749952.0,JPY,EQUITY
4588.T,68731887616,70459662336,,-31.293333,34.25877,,1.161,29284998,-2031649280.0,JPY,EQUITY
9962.T,973560741888,896800456704,24.659464,26.165895,2.5546327,1.4,0.843,264914473,67761999872.0,JPY,EQUITY
2269.T,1015819010048,1109812183040,28.99257,17.893984,1.3148315,2.92,0.114,271101956,148260995072.0,JPY,EQUITY
1893.T,461920993280,610810265600,13.471647,24.383738,2.3298643,2.92,0.075,273083661,65348001792.0,JPY,EQUITY
6856.T,1117526163456,1013108113408,30.237078,27.55196,3.2420392,1.14,1.081,42004368,67757498368.0,JPY,EQUITY
6370.T,951915446272,1000746975232,24.063623,25.916878,2.7996726,1.53,0.931,109428146,93446995968.0,JPY,EQUITY
4612.T,2377445015552,3495202127872,19.137415,17.279163,1.2496601,1.61,0.8,2319458588,358796001280.0,JPY,EQUITY
9435.T,1516946718720,2182311051264,10.082371,15.510262,1.2802994,2.13,0.273,43791764,133138997248.0,JPY,EQUITY
8354.T,1205959655424,4218444578816,14.128534,15.690614,1.1204748,3.2,0.161,188962650,,JPY,EQUITY
4716.T,1170294964224,1066965467136,19.095015,17.637516,6.2223406,2.23,-0.036,128153191,90854998016.0,JPY,EQUITY
6302.T,616368701440,781611827200,20.04739,15.442848,0.9007285,2.78,0.8,119428157,94179999744.0,JPY,EQUITY
5110.T,530796838912,824697618432,10.536888,10.827257,0.7314066,4.04,0.43,262835772,171931992064.0,JPY,EQUITY
6368.T,724221952000,737217085440,25.499878,34.74137,5.0657797,0.28,1.245,45982348,39630000128.0,JPY,EQUITY
5938.T,484985700352,1019884404736,59.530533,20.973759,0.72916013,5.34,0.594,287569357,111486001152.0,JPY,EQUITY
3656.T,18141147136,14655300608,,6.0263157,1.7041861,,-0.192,79218983,-1415757952.0,JPY,EQUITY
7731.T,613030297600,670927028224,,17.574842,1.0447273,1.08,0.163,329409077,28628000768.0,JPY,EQUITY
7181.T,1523559038976,4389452906496,9.217859,6.1392016,0.36680195,3.5,0.051,1083612396,235690000384.0,JPY,EQUITY
2587.T,1337041485824,1392149528576,15.076129,13.044133,1.0166812,2.77,-0.003,308999660,227180003328.0,JPY,EQUITY
3197.T,616691400704,732523069440,36.84282,51.83486,3.245304,0.93,-0.068,227393580,87479001088.0,JPY,EQUITY
6728.T,441187270656,420270211072,35.356243,13.68413,1.9213357,1.6,1.373,49173790,31253000192.0,JPY,EQUITY
6952.T,404490420224,303308800000,22.490313,34.078423,1.7329503,2.51,0.284,224841810,33287000064.0,JPY,EQUITY
6941.T,186045759488,149209038848,20.459528,31.091917,3.9948258,1.72,0.851,18456920,14830999552.0,JPY,EQUITY
2875.T,1053244063744,840859975680,15.172762,17.105368,1.9838775,1.97,0.235,97342337,104163000320.0,JPY,EQUITY
2702.T,1030430195712,976505536512,30.424372,32.471615,3.6280324,0.82,0.005,132958736,76176998400.0,JPY,EQUITY
5105.T,566550134784,540950921216,8.903248,9.454424,1.0634052,3.69,0.549,153995698,131208249344.0,JPY,EQUITY
3861.T,662417571840,1601147895808,22.324638,10.087754,0.6124871,4.6,0.065,860059161,143724003328.0,JPY,EQUITY
2160.T,143510552576,127592456192,,13.369345,2.8654985,,1.268,55753902,-3313246976.0,JPY,EQUITY
6407.T,449131282432,430200684544,33.044846,26.64552,2.9252317,1.23,1.556,66835011,26642999296.0,JPY,EQUITY
