ticker,annualized_return,annualized_volatility
9022.T,0.01642460540300461,0.23271911196613473
7181.T,0.19731199175394631,0.28364577492138054
9501.T,0.10937603847216537,0.46994069778928405
3449.T,0.5474817155929106,0.2655215031428141
6627.T,0.5047327003800846,0.5998656684228829
6524.T,0.3596548545980529,0.5438920731585133
6777.T,0.8203286286815425,0.5776400668276193
8473.T,0.22134193539220148,0.31938094694547364
9513.T,0.2624176140006007,0.2605049348436094
6387.T,0.3077763837871035,0.5170593993152873
8309.T,0.2967883077153959,0.2731632091504134
6356.T,0.3859432681168766,0.5388403879290268
9503.T,0.2168420721199722,0.3025433441481986
4971.T,0.3432698021155385,0.4891852339921811
1662.T,0.42677032153424443,0.3869032163972441
4368.T,0.3076627624104662,0.36369430873927355
6920.T,0.14392117788227266,0.5691391776085571
3723.T,0.1173228321848323,0.3060472156030265
6419.T,0.188013584963018,0.3067687712421579
6861.T,0.09188031354206982,0.3397606898315455
1306.T,0.16295282262776611,0.1907729411637874
^N225,0.18999842729637617,0.22305526249768215
