code,ticker,company_name,company_name_ja,market,sector_33,sector_17,scale_category,is_financial,revenue,operating_income,ordinary_income,net_income,total_assets,equity,operating_cf,investing_cf,financing_cf,rd_expense,capex,employees,revenue_growth,operating_income_growth,operating_margin,roe,equity_ratio,ocf_margin,rd_ratio,capex_ratio,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,shares_outstanding,ebitda
1401,1401.T,"mbs,inc.",株式会社エムビーエス,Growth Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,4713002000.0,911125000.0,672365000.0,472287000.0,4878389000.0,3696628000.0,567895000.0,,-233686000.0,,,94.0,0.08491429734137124,0.18012696252112814,0.19332158144639022,0.12776157081534847,0.75775589031543,0.12049538701659791,,,,,,,,,,,
1407,1407.T,West Holdings Corporation,株式会社ウエストホールディングス,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,47859000000.0,8646000000.0,7961000000.0,5501000000.0,148546000000.0,39130000000.0,3263000000.0,,10064000000.0,,,359.0,0.04230318630070884,0.008611001570242749,0.18065567604839214,0.1405826731408127,0.26342008536076367,0.06817944378277858,,,,,,,,,,,
1414,1414.T,"SHO-BOND Holdings Co.,Ltd.",ショーボンドホールディングス株式会社,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Mid400,False,93212000000.0,20794000000.0,21139000000.0,15061000000.0,129155000000.0,106392000000.0,9473000000.0,,-12697000000.0,,,1051.0,0.037227887967678175,0.07112953126282728,0.22308286486718448,0.14156139559365366,0.8237544036235531,0.10162854568081363,,,,,,,,,,,
1417,1417.T,MIRAIT ONE Corporation,株式会社ミライト・ワン,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Mid400,False,586963000000.0,28434000000.0,27470000000.0,17876000000.0,598532000000.0,269877000000.0,18049000000.0,,-6412000000.0,,,17115.0,0.09514271413028919,0.12706803012586976,0.04844257644860068,0.06623758230601348,0.4508981975901038,0.030749808761369967,,,,,,,,,,,
1418,1418.T,"INTERLIFE HOLDINGS CO.,LTD.",インターライフホールディングス株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,16341737000.0,1320771000.0,1156037000.0,828031000.0,9269141000.0,4676056000.0,2228928000.0,,-1014961000.0,,,238.0,0.12896127816613823,0.6937963713002464,0.08082194689585324,0.1770789314755854,0.5044756574530477,0.13639480307387153,,,,,,,,,,,
1419,1419.T,"Tama Home Co.,Ltd.",タマホーム株式会社,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Small 1,False,212860000000.0,4113000000.0,3789000000.0,1488000000.0,96816000000.0,34368000000.0,2248000000.0,,4390000000.0,,,3272.0,-0.1094734461169985,-0.4431450325580485,0.0193225594287325,0.04329608938547486,0.3549826474962816,0.010560932068025932,,,,,,,,,,,
1420,1420.T,Sanyo Homes Corporation,サンヨーホームズ株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,45598390000.0,1767759000.0,1167758000.0,673078000.0,50553241000.0,15350070000.0,-2371596000.0,,1210299000.0,,,763.0,0.05464332063507982,-0.20530798963163166,0.03876801351977559,0.04384852968097214,0.30364165969101764,-0.05201052054688773,,,,,,,,,,,
1429,1429.T,"Nippon Aqua Co.,Ltd.",株式会社日本アクア,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,,False,33670846000.0,2774429000.0,2794127000.0,1895906000.0,25810383000.0,11633907000.0,1510471000.0,,-755491000.0,,,710.0,0.0899669330289623,-0.01883543813742805,0.0823985533360225,0.16296382633968107,0.45074522915835846,0.04485990640092619,,,,,,,,,,,
1430,1430.T,First-corporation Inc.,ファーストコーポレーション株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,43194307000.0,3928344000.0,2582532000.0,1669537000.0,24889765000.0,9784096000.0,2094972000.0,,-762561000.0,,,180.0,0.3003877391292762,0.15807422572574814,0.09094587395510247,0.17063783920354011,0.3930971626288959,0.0485011138157628,,,,,,,,,,,
1431,1431.T,"Lib Work Co.,Ltd.",株式会社Ｌｉｂ　Ｗｏｒｋ,Growth Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,16004726000.0,833260000.0,854881000.0,494687000.0,11523490000.0,4714566000.0,1384878000.0,,-856881000.0,,,324.0,0.06227743794047069,0.6686972164962091,0.05206337178156002,0.10492736765165658,0.4091265753690939,0.08652931640316741,,,,,,,,,,,
1432,1432.T,"DORYOKU Co.,Ltd.",,PRO Market,Construction,CONSTRUCTION & MATERIALS,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,1433.T,"BESTERRA CO.,LTD",ベステラ株式会社,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,,False,11140386000.0,2237610000.0,763546000.0,732617000.0,8333903000.0,5397535000.0,1644324000.0,,-3300510000.0,,,185.0,0.08894439208131022,0.2134143360589411,0.2008556974596751,0.13573177385602872,0.6476599259674609,0.1476002716602459,,,,,,,,,,,
