label,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,capm_alpha,capm_beta,information_ratio
final BEYOND BUFFETT portfolio,1222,3.3367663552221787,0.35330578931407897,0.21488835273691656,1.6441365239865935,-0.3390491678602282,0.15435547816335377,0.9840866640694539,1.44771407960546
moat_score top20,1222,0.5952830341140574,0.10110582634113285,0.17982715226126056,0.5622389337192083,-0.22438517931118696,-0.015689257357071072,0.7511064773726405,-0.4863597049394194
transformation_score top20,1222,2.3553081116295864,0.28356000285433836,0.20895017951116232,1.357069917421106,-0.25886113840888203,0.12076631796662327,0.8870378856127767,0.8140442085779003
future_moat_score top20,1222,1.9449996179364981,0.24949475180171943,0.21651791773058982,1.1523053353587218,-0.26914850353479003,0.0735726644602914,0.9794568025478447,0.6407584997499142
valuation_score top20,1222,1.6259227683695885,0.2202927618545445,0.1917664828772321,1.1487552910670775,-0.23338795917080501,0.07417758496564208,0.8392982703072105,0.4261929814471917
equal_weight_final20,1222,3.420544735361685,0.3586561960712715,0.2185431402582166,1.6411231011300849,-0.3448523899461374,0.1557670307820586,1.000598076761877,1.463314405381458
TOPIX ETF 1306.T,1222,1.0755998776678974,0.16252189910982318,0.1905391635369917,0.852957975110827,-0.23296328694444624,4.098284211995207e-17,0.9999999999999993,
Nikkei 225 ^N225,1222,1.3229519915417507,0.18982904279845236,0.22296419070294857,0.8513880287232239,-0.26258607248225596,0.00812736581451039,1.0824691840004856,0.2587383862172628
