ticker,latest_date,close,adj_close,volume,avg_trading_value_60d,history_days
4584.T,2026-06-01,149.0,149.0,994200.0,162284851.66666666,1222
4586.T,2026-06-01,62.0,62.0,323800.0,145580766.66666666,1222
4587.T,2026-06-01,1047.5,1047.5,1510500.0,1307250686.6666667,1222
4588.T,2026-06-01,2347.0,2347.0,2499100.0,4454590498.333333,1222
4591.T,2026-06-01,69.0,69.0,439000.0,252930008.33333334,1222
4592.T,2026-06-01,1292.0,1292.0,1784300.0,2707681278.3333335,1222
4593.T,2026-06-01,326.0,326.0,1462500.0,856627866.6666666,1222
4594.T,2026-06-01,54.0,54.0,3870000.0,480287226.6666667,1222
4595.T,2026-06-01,1693.0,1693.0,284100.0,152895988.33333334,1222
4596.T,2026-06-01,58.0,58.0,2872700.0,433785928.3333333,1222
4597.T,2026-06-01,25.0,25.0,89951800.0,1810252258.3333333,1222
4598.T,2026-06-01,145.0,145.0,381600.0,80500283.33333333,1222
4599.T,2026-06-01,286.0,286.0,128800.0,49967063.333333336,1222
4611.T,2026-06-01,1275.0,1275.0,141100.0,213811660.0,1222
4612.T,2026-06-01,1025.0,1025.0,5267200.0,4366420165.82784,1222
4613.T,2026-06-01,2419.0,2419.0,866600.0,3023000225.8333335,1222
4615.T,2026-06-01,127.0,127.0,14600.0,4791101.666666667,1222
4616.T,2026-06-01,1807.0,1807.0,400.0,1167893.3333333333,1222
4617.T,2026-06-01,3285.0,3285.0,275500.0,1528042148.3333333,1222
4619.T,2026-06-01,2325.0,2325.0,40100.0,119799161.66666667,1222
4620.T,2026-06-01,994.0,994.0,204400.0,276325670.0,1222
4623.T,2026-06-01,1708.0,1708.0,300.0,1876161.6666666667,1222
4624.T,2026-06-01,3580.0,3580.0,2000.0,4887366.666666667,1222
4625.T,2026-06-01,720.0,720.0,9700.0,23745646.666666668,1222
4626.T,2026-06-01,4995.0,4995.0,213000.0,1867619876.6666667,1222
4627.T,2026-06-01,1856.0,1856.0,54200.0,11462866.666666666,1222
4628.T,2026-06-01,9790.0,9790.0,1700.0,27745850.0,1222
4629.T,2026-06-01,1930.0,1930.0,7700.0,20421610.0,1222
