code,ticker,company_name,market,sector_33,investment_eligible,profitability_score,cash_generation_score,stability_score,competitive_position_score,moat_score,transformation_score,future_moat_score,valuation_score,momentum_score,risk_score,adjusted_bb_score
2388,2388.T,"Wedge Holdings CO.,LTD.",Growth Market(Domestic),Other Financing Business,False,-0.5309478010910534,-0.1771326894217904,-1.183416892281605,-1.3275637460242424,-0.7323110303984859,-0.10627961365307424,-0.411080513804854,0.0,-0.7650837390516296,2.0857237772185933,-0.6546681183012928
3113,3113.T,UNIVA Oak Holdings Limited,Standard Market(Domestic),Securities and Commodities Futures,False,-1.5157615282636412,-1.1626199616398172,-0.20483353358450992,-1.604751803252599,-1.1830885926696504,-0.6975719769838904,-0.411080513804854,0.0,-0.4369955705039925,0.23953761171529242,-0.7202970444102526
4346,4346.T,NEXYZ.Group Corporation,Standard Market(Domestic),Other Financing Business,True,0.12141518620661791,0.3758680507507001,-0.10833623468540592,-1.4104198191269406,-0.16728888290247804,0.22552083045042007,-0.411080513804854,0.0,-0.6794163150076594,0.10846862755219917,-0.19591910565558046
4351,4351.T,YAMADA SERVICER SYNTHETIC OFFICE,Standard Market(Domestic),Other Financing Business,True,-0.4764779588788249,-0.2171294120619651,-0.2687543966471953,-1.677666804155774,-0.6103338787836738,-0.13027764723717905,-0.411080513804854,0.0,-0.39447352626919135,-0.48290894627037406,-0.33015018758573483
5830,5830.T,"Iyogin Holdings,Inc.",Prime Market (Domestic),Banks,True,0.4206441643273904,-0.026255270211906392,0.5349258560942095,0.8598904919147099,0.41962490956339393,-0.015753162127143835,-0.411080513804854,0.0,1.108951576432502,-0.4103069205731995,0.15055087789634616
5831,5831.T,"Shizuoka Financial Group,Inc.",Prime Market (Domestic),Banks,True,0.2827724769843048,-0.3344517729076623,3.113729082860516,1.1008161046375955,0.8582664612172135,-0.24042117064413057,-0.411080513804854,-0.3482005704615877,0.8665138899233549,-0.5658458754074629,0.1650563825265188
5832,5832.T,"Chugin Financial Group,Inc.",Prime Market (Domestic),Banks,True,0.0640779554978516,-0.09304742429327573,0.4168009326445043,0.6980187550494369,0.22212936588971738,-0.05582845457596544,-0.411080513804854,0.0,0.8209084212184049,-0.5426269648169967,0.0657110805850078
5834,5834.T,"SBI Leasing Services Co.,Ltd.",Growth Market(Domestic),Securities and Commodities Futures,True,0.19369230274559124,0.4285876849087453,-0.570405715003661,-0.6435761221607937,-0.06785714024474769,0.2571526109452472,-0.411080513804854,0.0,0.2962287817000196,0.3734828752268375,-0.08711855283125049
5838,5838.T,"Rakuten Bank,Ltd.",Prime Market (Domestic),Banks,True,0.03583649494072616,0.4981722056953946,-0.6645794870825902,0.9850146025538482,0.20117284774735442,-0.02619961406513105,-0.411080513804854,-0.21406004043427984,-0.6009992985294924,0.6484048011450284,-0.2265716193661267
5840,5840.T,"Nippon Souken Co.,Ltd.",PRO Market,Insurance,False,0.0,0.0,0.5434936280449961,-0.7086993090396585,-0.03304113619893248,0.0,-0.1926235192046947,0.0,-0.4913548766406238,-2.1700837672084066,0.10017349243569013
5842,5842.T,Integral Corporation,Growth Market(Domestic),Securities and Commodities Futures,True,0.08486284475542565,0.15750710660873182,-1.2799649718160346,-0.6882402036124139,-0.3245622627691078,0.0945042639652391,-0.411080513804854,0.0,-0.02529570616688061,0.8730486330509013,-0.28690120090265697
5843,5843.T,"Nippon Insure Co.,Ltd.",Standard Market(Domestic),Other Financing Business,True,0.36402495997827566,0.5867599493819534,-0.3076949407293894,-1.6910445834383407,-0.12564918149566123,0.35205596962917207,-0.411080513804854,0.0,-0.07487702205683427,-0.0239842034799157,-0.07809419804055341
5844,5844.T,"Kyoto Financial Group,Inc.",Prime Market (Domestic),Banks,True,0.037027573622614975,-0.28336605450774566,2.350592535818473,1.0409597115351834,0.6204285866117101,-0.0861192864418926,-0.411080513804854,0.020707154893424375,1.0103098320813748,-0.3607804828250046,0.18148970495623526
5845,5845.T,"ZENHOREN CO.,LTD.",Standard Market(Domestic),Other Financing Business,True,0.39513740179226026,0.6437829278755358,-0.4967972011750152,-1.3082029677694154,-0.061756211192711075,0.3862697567253215,-0.411080513804854,0.0,-0.2165311913062239,0.26736746690375246,-0.09367344413893679
7148,7148.T,"Financial Partners Group Co.,Ltd.",Prime Market (Domestic),Securities and Commodities Futures,True,0.7976486750520454,1.0204933425699398,-0.08279674147983829,-0.20278143028551399,0.47718473755763047,0.612296005541964,-0.411080513804854,0.0,-1.112896032741371,0.12956382509792036,0.048659282727394775
7150,7150.T,"THE SHIMANE BANK,LTD.",Standard Market(Domestic),Banks,False,-0.20002974080827654,-0.20002974080827654,0.15231465965987195,-0.8577552682162967,-0.26110596619625087,-0.12001784448496594,-0.411080513804854,0.0,-0.26047212591237,-0.44192309463521195,-0.21351530824928872
7157,7157.T,LIFENET INSURANCE COMPANY,Prime Market (Domestic),Insurance,False,0.06454956156399884,0.06454956156399884,-0.3091441496475183,-0.23980790585461373,-0.0710606741620271,0.03872973693839931,-0.1926235192046947,0.0,-0.33372784726251,0.6340971895893994,-0.16620532746060768
7161,7161.T,"Jimoto Holdings,Inc.",Standard Market(Domestic),Banks,True,0.8301057626188526,-0.25047850989233017,-1.1478941866485546,-0.2217660297126461,-0.0460146538287243,-0.15028710593539812,-0.411080513804854,0.0,0.29788257544198343,0.48304144209157146,-0.19321621343888185
7164,7164.T,"ZENKOKU HOSHO Co.,Ltd.",Prime Market (Domestic),Other Financing Business,True,0.17751232057101898,0.2605055886175445,0.23270557263463298,0.2058561336881234,0.21496805061879407,0.15630335317052674,-0.411080513804854,0.0,-0.46796493379056214,-1.0212066515502816,0.03556627111278565
7167,7167.T,"Mebuki Financial Group,Inc.",Prime Market (Domestic),Banks,True,0.24438284526950693,-0.05217635075228098,-0.31687877704284795,1.0048677838907354,0.21008770952583466,-0.03130581045136859,-0.411080513804854,0.0,0.927989888601301,-0.516302301170632,0.07630492508064536
7170,7170.T,"CHUOU INTERNATIONAL GROUP CO.,LTD.",PRO Market,Insurance,False,0.0,0.0,-0.022539709713510978,0.0,-0.0045079419427021955,0.0,-0.1926235192046947,0.0,0.37070382782532507,0.029229246998851516,-0.024991980261571706
7172,7172.T,"Japan Investment Adviser Co.,Ltd.",Prime Market (Domestic),Securities and Commodities Futures,True,0.08002235724134606,0.25756654158904624,0.10544609245956406,-0.1566156090486078,0.08216555711392393,0.15453992495342775,-0.411080513804854,0.0,-0.1266329362558768,0.4472738143320959,-0.11743018082771936
7173,7173.T,"Tokyo Kiraboshi Financial Group,Inc.",Prime Market (Domestic),Banks,True,0.6237945836479712,0.044937607378084,0.4627693489671887,0.7194692439284044,0.4660102247004295,0.0269625644268504,-0.411080513804854,0.0,1.4311151907514743,-0.3713074061981345,0.20346181407034614
7175,7175.T,"The Imamura Securities Co.,Ltd.",Standard Market(Domestic),Securities and Commodities Futures,False,-0.04109367232658092,-0.04109367232658092,0.0923604674088966,-1.5671574484742046,-0.31961559960901015,-0.024656203395948553,-0.411080513804854,0.0,0.23761434745252263,-0.47376487136042145,-0.15423496299185196
7176,7176.T,"Simplex Financial Holdings Co.,Ltd.",PRO Market,Securities and Commodities Futures,False,0.0,0.0,-0.8738850878729102,0.0,-0.17477701757458206,0.0,-0.411080513804854,0.0,0.9199594435150646,-0.36716826443659434,-0.04704448861866489
7177,7177.T,"GMO Financial Holdings,Inc.",Standard Market(Domestic),Securities and Commodities Futures,True,0.3248405554403942,0.5245200147459819,-0.04573664008133016,-0.14028002306185983,0.20762086546199543,0.31471200884758915,-0.411080513804854,0.0,0.3317467097525639,-0.3897274336155163,0.08978752204584775
7180,7180.T,"Kyushu Financial Group,Inc.",Prime Market (Domestic),Banks,True,0.4991570090638122,-0.12443801830599623,-0.22766846938072816,0.7952436541814167,0.25711048555597293,-0.07466281098359774,-0.411080513804854,0.0,0.9756000473557207,0.12154510401055146,0.020548783113953174
7181,7181.T,"JAPAN POST INSURANCE Co.,Ltd.",Prime Market (Domestic),Insurance,True,1.2273751865092322,0.09428394896756527,0.16760428093820876,1.3742572226929417,0.7615246032463526,1.542954843810575,-0.1926235192046947,2.027106144727151,0.3698993353137712,-0.7858874466744611,0.976053636073037
7182,7182.T,"JAPAN POST BANK Co.,Ltd.",Prime Market (Domestic),Banks,True,-0.0980496135622867,-0.4710797806014313,0.20487066287110814,1.9774933087409867,0.28438548442526085,-0.3070519057241788,-0.411080513804854,-0.4380222992716039,1.075279795109792,-0.7748878921240201,0.004541938587717995
7183,7183.T,"Anshin Guarantor Service Co.,Ltd.",Standard Market(Domestic),Other Financing Business,True,-0.41042105629506964,-0.14636695182591003,-0.7279271008934103,-1.5813147104810727,-0.6420874699346486,-0.08782017109554602,-0.411080513804854,0.0,-0.33518493505164626,0.3409253047111923,-0.4055164618720211
7184,7184.T,"THE FIRST BANK OF TOYAMA,LTD.",Prime Market (Domestic),Banks,True,0.0793326370153014,0.0793326370153014,-0.31762361929163896,0.13751288186603053,0.011577434724059157,0.04759958220918084,-0.411080513804854,0.0,2.4198193186149926,-0.18708430821478986,0.15273933451103502
7185,7185.T,Hirose Tusyo Inc.,Standard Market(Domestic),Securities and Commodities Futures,False,-0.027970460073702557,0.1692211931753045,0.05971809426830473,-1.1350248795216709,-0.182545719782643,0.10153271590518272,-0.411080513804854,0.0,-0.6435794744373233,-0.8176990372077002,-0.1352927348229157
7186,7186.T,"Yokohama Financial Group,Inc.",Prime Market (Domestic),Banks,True,0.09017663749715547,-0.2489538616994891,1.7148836283666675,1.1633582256300323,0.5449717284984721,-0.21749339317298,-0.411080513804854,-0.38993300502525824,0.6762854975433295,-0.4941110513808106,0.04434372025346568
7187,7187.T,"J-LEASE CO.,LTD.",Prime Market (Domestic),Other Financing Business,True,1.0284948699019003,1.2551067335219437,-0.45447604438136985,-1.2213519031868076,0.33858429833251547,0.7530640401131663,-0.411080513804854,0.0,-0.4587127117312543,0.30194335293576097,0.0904515389198885
7189,7189.T,"Nishi-Nippon Financial Holdings,Inc.",Prime Market (Domestic),Banks,True,0.18866915979538526,-0.06824443595336066,0.28131574330054154,0.7820117302888824,0.26163859165792946,-0.0409466615720164,-0.411080513804854,0.0,1.0295132580643431,-0.39659956273875335,0.08754204004322819
7191,7191.T,Entrust Inc.,Standard Market(Domestic),Other Financing Business,True,0.3190568260377633,0.5435646974222208,0.08159269439364701,-1.4493020810481045,-0.0259808138621192,0.3261388184533325,-0.411080513804854,0.0,-0.04094458562845075,-0.24595594757661546,-0.029082557491942367
7192,7192.T,Mortgage Service Japan Limited,Standard Market(Domestic),Other Financing Business,True,-0.0610863557335267,0.16570252389814957,-0.00608564121408887,-1.2331336820236167,-0.22779845817973807,0.09942151433888974,-0.411080513804854,0.0,0.426881573657978,0.05800464066660688,-0.12992061971151805
7196,7196.T,Casa Inc.,Standard Market(Domestic),Other Financing Business,False,-0.4953531988743369,-0.22898590239893687,0.7145445403229717,-1.6152881269938684,-0.41076881253993147,-0.13739154143936214,-0.411080513804854,0.0,-0.6394651709718662,-1.1209734238277398,-0.23275185797768883
7198,7198.T,SBI ARUHI Corporation,Prime Market (Domestic),Other Financing Business,False,-0.6218918773417665,-0.34764057249421304,-0.5687039459180806,-0.7279876962944871,-0.5639106286356851,-0.20858434349652782,-0.411080513804854,0.0,-0.18985608389842806,-0.1587991314022828,-0.34774912385590817
7199,7199.T,"Premium Group Co.,Ltd.",Prime Market (Domestic),Other Financing Business,True,1.2784195165363506,1.3713356283905347,0.2004026095191951,-0.8898130768437053,0.6523986444204544,0.8228013770343209,-0.411080513804854,0.0,-0.602103045677412,-0.188072535368183,0.2366927324123374
7320,7320.T,Solvvy Inc.,Growth Market(Domestic),Other Financing Business,True,-1.2945566849839678,-0.9894434189906027,0.07440591623361699,-1.2966740238678063,-0.9449093160188773,-0.5936660513943617,-0.411080513804854,0.0,-0.45407121824777874,0.9359435364877913,-0.6942149372692669
