code,company_name,score_rank,selected,reason,risk_note,qualitative_check_needed
9022,東海旅客鉄道株式会社,1,True,,,True
9501,東京電力ホールディングス株式会社,3,True,,,True
8309,三井住友トラストグループ株式会社,4,True,,,True
3449,株式会社テクノフレックス,5,True,,,True
8630,ＳＯＭＰＯホールディングス株式会社,6,True,,,True
8473,ＳＢＩホールディングス株式会社,7,True,,,True
6178,日本郵政株式会社,9,True,,,True
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ株式会社,10,True,,,True
5844,株式会社京都フィナンシャルグループ,11,True,,,True
6627,株式会社テラプローブ,12,True,,,True
6524,湖北工業株式会社,13,True,,,True
6387,サムコ　株式会社,14,True,,,True
6800,株式会社ヨコオ,16,True,,,True
9513,電源開発株式会社,17,True,,,True
8050,セイコーグループ株式会社,18,True,,,True
9984,ソフトバンクグループ株式会社,20,True,,,True
6617,株式会社東光高岳,21,True,,,True
6356,日本ギア工業株式会社,22,True,,,True
1909,日本ドライケミカル株式会社,23,False,,,True
4971,メック株式会社,24,True,,,True
6278,ユニオンツール株式会社,25,False,,,True
9503,関西電力株式会社,26,True,,,True
6941,山一電機株式会社,27,False,,,True
7186,株式会社コンコルディア・フィナンシャルグループ,28,False,,,True
6871,株式会社日本マイクロニクス,30,False,,,True
6264,株式会社マルマエ,31,False,,,True
6920,レーザーテック株式会社,32,False,,,True
5985,サンコール株式会社,33,False,,,True
6648,株式会社かわでん,35,False,,,True
6327,北川精機株式会社,36,False,,,True
4368,扶桑化学工業株式会社,37,False,,,True
6745,ホーチキ株式会社,38,False,,,True
9502,中部電力株式会社,39,False,,,True
1662,石油資源開発株式会社,42,False,,,True
7322,株式会社三十三フィナンシャルグループ,44,False,,,True
6994,株式会社指月電機製作所,45,False,,,True
6834,株式会社　精工技研,47,False,,,True
7762,シチズン時計株式会社,49,False,,,True
6492,岡野バルブ製造株式会社,51,False,,,True
6914,オプテックスグループ株式会社,52,False,,,True
7999,ＭＵＴＯＨホールディングス株式会社,53,False,,,True
6741,日本信号株式会社,54,False,,,True
6929,日本セラミック株式会社,56,False,,,True
6785,株式会社鈴木,57,False,,,True
6824,新コスモス電機株式会社,58,False,,,True
6703,沖電気工業株式会社,59,False,,,True
8600,トモニホールディングス株式会社,60,False,,,True
3723,日本ファルコム株式会社,63,False,,,True
6814,古野電気株式会社,64,False,,,True
3105,日清紡ホールディングス株式会社,65,False,,,True
9880,イノテック株式会社,66,False,,,True
6490,株式会社ＰＩＬＬＡＲ,67,False,,,True
6961,株式会社エンプラス,70,False,,,True
6960,フクダ電子株式会社,71,False,,,True
6419,株式会社マースグループホールディングス,72,False,,,True
8766,東京海上ホールディングス株式会社,73,False,,,True
7747,朝日インテック株式会社,74,False,,,True
8316,株式会社三井住友フィナンシャルグループ,75,False,,,True
5214,日本電気硝子株式会社,76,False,,,True
6866,日置電機株式会社,79,False,,,True
8418,株式会社山口フィナンシャルグループ,80,False,,,True
6996,ニチコン株式会社,81,False,,,True
6925,ウシオ電機株式会社,82,False,,,True
5832,株式会社ちゅうぎんフィナンシャルグループ,83,False,,,True
1948,株式会社弘電社,84,False,,,True
5706,三井金属鉱業株式会社,86,False,,,True
6136,オーエスジー株式会社,87,False,,,True
6855,日本電子材料株式会社,88,False,,,True
6643,株式会社戸上電機製作所,90,False,,,True
4099,四国化成ホールディングス株式会社,91,False,,,True
6480,日本トムソン株式会社,92,False,,,True
6877,ＯＢＡＲＡ　ＧＲＯＵＰ株式会社,93,False,,,True
7725,株式会社インターアクション,94,False,,,True
7711,助川電気工業株式会社,95,False,,,True
7746,岡本硝子株式会社,96,False,,,True
6809,ＴＯＡ株式会社,97,False,,,True
6454,マックス株式会社,98,False,,,True
7730,マニー株式会社,102,False,,,True
7716,株式会社ナカニシ,103,False,,,True
8750,第一生命ホールディングス株式会社,105,False,,,True
