code,bm_raw,ep_raw,gross_profitability,sloan_accruals
9022,1.440271462091525,0.1435745252390004,,-0.015562683530232567
9501,4.226769719047491,0.1806820610884888,,-0.009385560067104334
3449,0.2051511562030555,0.0249425482505608,0.2281266765761364,-0.05597385816278888
6178,2.6772767414158203,0.1049588846484818,,-0.007202689019998168
6777,0.0717914877265351,0.0169789284007887,0.4748010261529192,-0.03373939872026546
6627,0.5967157611284497,0.0692301212535427,0.11709895819242198,-0.1499138838245903
6524,0.1490712140299637,0.0190273909977241,0.26875949009498923,-0.012315141308352193
6387,0.1527584580361542,0.0191229016155036,0.26265647377910845,0.028995065807867034
5076,0.5997394164036857,0.0162855136252086,0.15532129459063346,
6800,0.4317243202794022,0.0185866322780292,0.20589160701643985,-0.06548079064223308
9513,2.1029238785306843,0.1473266078664402,,-0.03893715694871046
8050,0.5157494513490897,0.0440894071969794,0.37122057437519634,-0.05124359823902948
6617,0.5010486279930164,0.0322692928826608,0.2240611691831204,-0.0065920036130085674
6356,0.5913700192449329,0.0729892320740976,0.2800242960595509,0.017416952634740433
1909,1.2144395139194808,0.1672963333050793,0.29082729560839127,-0.09028682563608767
4971,0.1492858484837371,0.0282524895413633,0.3103557016798286,0.04354838666454326
6278,0.1804780932235105,0.0137933831091845,0.1640053023350668,-0.015009643669119787
9503,1.2188312850108118,0.1769487958063141,,-0.01015563447257252
6941,0.2132620550405995,0.0281703330106701,0.3277803637892563,-0.07209087102378813
6871,0.1175132493174806,0.0214613081589773,0.3413648940682245,-0.009384636010189034
6264,0.28777957195989,0.0478714897730319,0.1395633778363484,-0.0923344529760236
6920,0.0610169935927361,0.0246079587499395,0.44980446054471923,0.0225599070710231
5985,0.5206857952483901,,0.15309399870259324,-0.04623795476892822
2153,1.1683039330293012,0.109889804055233,0.2740189575282152,-0.019949911167241048
6648,3.203906598028923,0.3544637115342725,0.3153164610373536,0.0177810487014362
6327,0.1251903641282876,0.0097311795189204,0.15860348128659757,0.008379672148367394
4368,0.6594766442037818,0.0736668006654409,0.18353903809648128,-0.08050182585701394
