trial_id,algorithm,seed,weights_json,penalty_weights_json,normalization_method,missing_handling,overall_weight_objective,phase1_top5_rank_score,quality_preservation_score,value_discipline_score,distress_control_score,liquidity_adequacy_score,sector_diversity_score,stability_score,interpretability_score,weight_concentration,effective_number_of_weights,top1000_sector_hhi,top1000_distress_flag_rate,top1000_anomaly_flag_rate,top20_phase1_top5_count,top50_phase1_top5_count,top100_phase1_top5_count,top300_phase1_top5_count,top500_phase1_top5_count,top1000_phase1_top5_count,notes
300,random_search,42,"{""bm"": 0.2210292962924254, ""distress"": 0.16007231530469315, ""ep"": 0.006974743113675541, ""gp"": 0.025436402184009756, ""liquidity"": 0.4050375120149308, ""piotroski"": 0.1781269383391536, ""sloan"": 0.0033227927511116045}","{""anomaly"": 0.24040467942658167, ""microcap"": 0.18129219113967637, ""missing"": 0.12195066113013309, ""onetime"": 0.2540622609341738}",market_percentile,median_impute_with_missing_penalty,0.827777956077558,0.8812040025823111,0.6666666666666666,1.0,1.0,1.0,0.6827200000000001,0.5272096296757984,0.5272096296757984,0.270968386797091,3.690467407730589,0.06345599999999998,0.0,0.0,0,0,0,3,4,5,lightweight deterministic proxy for requested large search budget
820,nsga2_proxy,42,"{""bm"": 0.10408739239645427, ""distress"": 0.11482346127324403, ""ep"": 0.07604880355750646, ""gp"": 0.08007590917743375, ""liquidity"": 0.011695187643807512, ""piotroski"": 0.3252655355557228, ""sloan"": 0.2880037103958313}","{""anomaly"": 0.11918118548672005, ""microcap"": 0.1836577319496034, ""missing"": 0.0487599564650717, ""onetime"": 0.0373821496333143}",market_percentile,median_impute_with_missing_penalty,0.8277196076392713,0.8123660426081343,1.0,1.0,0.998,0.5,0.5938800000000002,0.634653325980369,0.634653325980369,0.22509476750392335,4.442573281862583,0.08122399999999998,0.0,0.004,0,1,2,4,4,4,lightweight deterministic proxy for requested large search budget
50,random_search,42,"{""bm"": 0.008799441644908642, ""distress"": 0.46430160505303025, ""ep"": 0.22316624612025446, ""gp"": 0.22842702060059714, ""liquidity"": 0.04653919164628907, ""piotroski"": 0.01598264292795112, ""sloan"": 0.012783852006969246}","{""anomaly"": 0.12942545855396703, ""microcap"": 0.18780374428231714, ""missing"": 0.15382177338202746, ""onetime"": 0.10819720033507628}",market_percentile,median_impute_with_missing_penalty,0.8275568157295393,0.9978211749515816,1.0,1.0,0.9995,0.5,0.44533,0.44612150616019014,0.44612150616019014,0.32022025588214237,3.122850543121331,0.110934,0.0,0.001,2,4,4,5,5,5,lightweight deterministic proxy for requested large search budget
129,random_search,42,"{""bm"": 0.033405635088148575, ""distress"": 0.028448640488621446, ""ep"": 0.2966899449359801, ""gp"": 0.014993719471338079, ""liquidity"": 0.010051184445838808, ""piotroski"": 0.24400645846642, ""sloan"": 0.3724044171036528}","{""anomaly"": 0.25041229929808073, ""microcap"": 0.04672730129237381, ""missing"": 0.27472345736361287, ""onetime"": 0.16046944589276116}",market_percentile,median_impute_with_missing_penalty,0.8273622086111094,0.8844480309877341,1.0,1.0,1.0,0.5,0.6105200000000001,0.4951716867796882,0.4951716867796882,0.28850022461139396,3.4662018074578174,0.07789599999999999,0.0,0.0,0,1,1,3,4,5,lightweight deterministic proxy for requested large search budget
68,random_search,42,"{""bm"": 0.24169161974986322, ""distress"": 0.03196139017142872, ""ep"": 0.21736779595618583, ""gp"": 0.10772471768837323, ""liquidity"": 0.06310813573321102, ""piotroski"": 0.20765686522689936, ""sloan"": 0.13048947547403877}","{""anomaly"": 0.046632469225026736, ""microcap"": 0.2622943095872422, ""missing"": 0.16844681832431538, ""onetime"": 0.08497407997503421}",market_percentile,median_impute_with_missing_penalty,0.8273288132186902,0.996969012265978,0.6666666666666666,1.0,0.978,0.5,0.6726100000000002,0.7831167563791206,0.7831167563791206,0.1824212567199663,5.481817294653844,0.06547799999999998,0.001,0.034,1,3,4,5,5,5,lightweight deterministic proxy for requested large search budget
882,nsga2_proxy,42,"{""bm"": 0.007906534745251931, ""distress"": 0.07968470733517642, ""ep"": 0.3502078517977101, ""gp"": 0.04257699503513599, ""liquidity"": 0.28108414784484725, ""piotroski"": 0.020007355013217862, ""sloan"": 0.2185324082286606}","{""anomaly"": 0.017981332980113972, ""microcap"": 0.27775753758080635, ""missing"": 0.12705905846817556, ""onetime"": 0.017408266200782053}",market_percentile,median_impute_with_missing_penalty,0.8268804192063252,0.9404519044544868,0.6666666666666666,1.0,0.9079999999999999,1.0,0.6615400000000001,0.5536336526285649,0.5536336526285649,0.25803551171226635,3.875435568399954,0.06769199999999997,0.012,0.064,0,1,1,4,5,5,lightweight deterministic proxy for requested large search budget
257,random_search,42,"{""bm"": 0.07751855076467241, ""distress"": 0.28346655188671, ""ep"": 0.05168852897648392, ""gp"": 0.19901454622010958, ""liquidity"": 0.0765770292171217, ""piotroski"": 0.08314147181296885, ""sloan"": 0.2285933211219335}","{""anomaly"": 0.013698685631011842, ""microcap"": 0.23608234074363713, ""missing"": 0.13147150712627206, ""onetime"": 0.12989946455094414}",market_percentile,median_impute_with_missing_penalty,0.8266990435051766,0.9374015493867012,1.0,0.5,0.9915,1.0,0.46979000000000004,0.7376227802319706,0.7376227802319706,0.1936723575866469,5.163359461623794,0.10604199999999998,0.0,0.017,0,1,1,4,4,5,lightweight deterministic proxy for requested large search budget
32,random_search,42,"{""bm"": 0.013895932676662113, ""distress"": 0.04570003097259859, ""ep"": 0.18094095156675483, ""gp"": 0.009411023762519762, ""liquidity"": 0.2032703475270512, ""piotroski"": 0.49938225245443557, ""sloan"": 0.047399461039977775}","{""anomaly"": 0.2938712041759778, ""microcap"": 0.24060776408207807, ""missing"": 0.19274498279866428, ""onetime"": 0.23384326223139867}",market_percentile,median_impute_with_missing_penalty,0.8266771692835252,0.9401129761136218,0.6666666666666666,1.0,1.0,1.0,0.6639900000000001,0.4354631171733409,0.4354631171733409,0.3280579622551064,3.0482418202133865,0.067202,0.0,0.0,1,2,3,4,4,5,lightweight deterministic proxy for requested large search budget
174,random_search,42,"{""bm"": 0.05941214074909015, ""distress"": 0.43687237002748097, ""ep"": 0.05394069504854354, ""gp"": 0.027254078906042315, ""liquidity"": 0.04959173459532526, ""piotroski"": 0.36458300370339036, ""sloan"": 0.008345976970127296}","{""anomaly"": 0.18196990055862894, ""microcap"": 0.1334064084032237, ""missing"": 0.02153914270801376, ""onetime"": 0.13285545636957075}",market_percentile,median_impute_with_missing_penalty,0.826106223187803,0.940093608779858,0.6666666666666666,1.0,1.0,1.0,0.66683,0.42837084526526165,0.42837084526526165,0.3334894156223001,2.9985959168568317,0.06663399999999998,0.0,0.0,2,4,4,4,4,5,lightweight deterministic proxy for requested large search budget
612,optuna_tpe_proxy,42,"{""bm"": 0.16872661170974274, ""distress"": 0.009217898988180158, ""ep"": 0.06887470295743302, ""gp"": 0.08421587713753761, ""liquidity"": 0.04506510845525758, ""piotroski"": 0.3341818731901237, ""sloan"": 0.28971792756172504}","{""anomaly"": 0.16749866605071254, ""microcap"": 0.004492681780978191, ""missing"": 0.1859912041849274, ""onetime"": 0.25837261332054945}",market_percentile,median_impute_with_missing_penalty,0.8259301933820242,0.814719173660426,1.0,1.0,0.9945,0.5,0.61793,0.6001529887494922,0.6001529887494922,0.23803454374993102,4.201070921246445,0.07641400000000001,0.001,0.001,0,1,2,4,4,4,lightweight deterministic proxy for requested large search budget
96,random_search,42,"{""bm"": 0.11381510107760702, ""distress"": 0.09511273900773638, ""ep"": 0.03922507711134227, ""gp"": 0.0383047205875481, ""liquidity"": 0.4014931343134297, ""piotroski"": 0.30157839349585847, ""sloan"": 0.010470834406478155}","{""anomaly"": 0.22488558567686026, ""microcap"": 0.29754231494928846, ""missing"": 0.19799871564034538, ""onetime"": 0.15942414347917314}",market_percentile,median_impute_with_missing_penalty,0.8259095459758217,0.8814073595868301,0.6666666666666666,1.0,1.0,1.0,0.6779900000000001,0.5152422838204632,0.5152422838204632,0.277262071346073,3.6066959867432424,0.06440199999999999,0.0,0.0,0,0,0,3,3,5,lightweight deterministic proxy for requested large search budget
256,random_search,42,"{""bm"": 0.12462512635518619, ""distress"": 0.07821194868859159, ""ep"": 0.01700969146956287, ""gp"": 0.3380251583842369, ""liquidity"": 0.12918831588471247, ""piotroski"": 0.2415502254636787, ""sloan"": 0.07138953375403115}","{""anomaly"": 0.2437549020743894, ""microcap"": 0.22090622914410668, ""missing"": 0.1353645882471797, ""onetime"": 0.06658621186828471}",market_percentile,median_impute_with_missing_penalty,0.8258219714727923,0.9960974822466107,1.0,0.5,1.0,1.0,0.4235899999999999,0.660362291862251,0.660362291862251,0.21633146625359143,4.622536043035757,0.11528200000000002,0.0,0.0,2,3,4,5,5,5,lightweight deterministic proxy for requested large search budget
889,nsga2_proxy,42,"{""bm"": 0.20179446065369433, ""distress"": 0.1208708900244932, ""ep"": 0.0478996947231662, ""gp"": 0.09066356927359785, ""liquidity"": 0.4558143763549107, ""piotroski"": 0.044464965939100994, ""sloan"": 0.038492043031036864}","{""anomaly"": 0.21183560111415964, ""microcap"": 0.2709437056411072, ""missing"": 0.2359093786628425, ""onetime"": 0.06880176587528392}",market_percentile,median_impute_with_missing_penalty,0.8256976136511693,0.881969012265978,0.6666666666666666,1.0,0.999,1.0,0.6758200000000001,0.5155984266497822,0.5155984266497822,0.2770705562183143,3.609188986548475,0.06483599999999999,0.0,0.002,0,0,0,3,4,5,lightweight deterministic proxy for requested large search budget
866,nsga2_proxy,42,"{""bm"": 0.060284018225755215, ""distress"": 0.5594834168262887, ""ep"": 0.14209352695335944, ""gp"": 0.10377964778108786, ""liquidity"": 0.015081301694578013, ""piotroski"": 0.09824215634312193, ""sloan"": 0.021035932175809024}","{""anomaly"": 0.04226725853066403, ""microcap"": 0.0016465188403771201, ""missing"": 0.2589622127399007, ""onetime"": 0.257067462415714}",market_percentile,median_impute_with_missing_penalty,0.8255427068949187,0.9989638476436411,1.0,1.0,0.9935,0.5,0.58315,0.3991112849373258,0.3991112849373258,0.35793811963892813,2.7937789945612805,0.08337000000000001,0.0,0.013,3,4,5,5,5,5,lightweight deterministic proxy for requested large search budget
508,optuna_tpe_proxy,42,"{""bm"": 0.11466398565097545, ""distress"": 0.20502354611923332, ""ep"": 0.0241319144860854, ""gp"": 0.28302687454414693, ""liquidity"": 0.0889517769598769, ""piotroski"": 0.18817489152395805, ""sloan"": 0.09602701071572403}","{""anomaly"": 0.004618996488170956, ""microcap"": 0.1585101961128666, ""missing"": 0.0629802939280784, ""onetime"": 0.03901393202545983}",market_percentile,median_impute_with_missing_penalty,0.8254750074771933,0.9458360232408005,1.0,0.5,0.9905,1.0,0.4174699999999999,0.7582150235752769,0.7582150235752769,0.18841244029103538,5.307505165026939,0.11650600000000001,0.0,0.019,2,3,4,4,5,5,lightweight deterministic proxy for requested large search budget
